Considering	consid	Considering
the	the	the
field	field	field
that	that	that
Megyn	megyn	Megyn
Kelly	kelli	Kelly
is	is	is
in	in	in
,	,	,
one	one	one
would	would	would
think	think	think
she	she	she
would	would	would
be	be	be
critical	critic	critical
of	of	of
Russian	russian	Russian
President	presid	President
Vladimir	vladimir	Vladimir
Putin	putin	Putin
.	.	.
On	on	On
the	the	the
other	other	other
hand	hand	hand
,	,	,
his	his	his
critics	critic	critic
are	are	are
often	often	often
murdered	murder	murdered
,	,	,
especially	especi	especially
journalists	journalist	journalist
.	.	.
Conservatives	conserv	Conservatives
don	don	don
t	t	t
seem	seem	seem
to	to	to
have	have	have
a	a	a
problem	problem	problem
with	with	with
the	the	the
Russian	russian	Russian
leader	leader	leader
,	,	,
often	often	often
times	time	time
during	dure	during
former	former	former
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
s	s	s
time	time	time
in	in	in
office	offic	office
,	,	,
they	they	they
praised	prais	praised
Putin	putin	Putin
while	while	while
slamming	slam	slamming
Trump	trump	Trump
s	s	s
predecessor	predecessor	predecessor
.	.	.
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
repeatedly	repeat	repeatedly
praised	prais	praised
Putin	putin	Putin
,	,	,
even	even	even
to	to	to
the	the	the
point	point	point
of	of	of
defending	defend	defending
the	the	the
Russian	russian	Russian
President	presid	President
for	for	for
murdering	murder	murdering
journalists	journalist	journalist
.	.	.
Trump	trump	Trump
did	did	did
that	that	that
at	at	at
least	least	least
twice	twice	twice
.	.	.
Kelly	kelli	Kelly
,	,	,
the	the	the
former	former	former
Fox	fox	Fox
News	news	News
host	host	host
who	who	who
is	is	is
not	not	not
besties	besti	besties
with	with	with
Trump	trump	Trump
,	,	,
said	said	said
that	that	that
Putin	putin	Putin
was	was	wa
very	veri	very
personable	person	personable
when	when	when
the	the	the
cameras	camera	camera
were	were	were
off	off	off
during	dure	during
her	her	her
exclusive	exclus	exclusive
interview	interview	interview
on	on	on
NBC	nbc	NBC
News	news	News
with	with	with
the	the	the
Russian	russian	Russian
