Everyone	everyon	Everyone
has	has	ha
had	had	had
it	it	it
with	with	with
the	the	the
Donald	donald	Donald
Trump	trump	Trump
campaign	campaign	campaign
.	.	.
One	one	One
person	person	person
,	,	,
in	in	in
particular	particular	particular
,	,	,
has	has	ha
decided	decid	decided
that	that	that
enough	enough	enough
is	is	is
enough	enough	enough
a	a	a
19	19	19
-year-old	-year-old	-year-old
named	name	named
Cameron	cameron	Cameron
Edwards	edward	Edwards
from	from	from
Flint	flint	Flint
,	,	,
Michigan	michigan	Michigan
.	.	.
Edwards	edward	Edwards
wrote	wrote	wrote
a	a	a
letter	letter	letter
to	to	to
Trump	trump	Trump
calling	call	calling
for	for	for
him	him	him
to	to	to
end	end	end
his	his	his
campaign	campaign	campaign
.	.	.
In	in	In
the	the	the
letter	letter	letter
,	,	,
Edward	edward	Edward
writes	write	writes
that	that	that
he	he	he
did	did	did
not	not	not
view	view	view
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
as	as	a
a	a	a
joke	joke	joke
like	like	like
most	most	most
people	peopl	people
did	did	did
.	.	.
Edwards	edward	Edwards
writes	write	writes
in	in	in
the	the	the
letter	letter	letter
Mr	mr	Mr
.	.	.
Trump	trump	Trump
,	,	,
when	when	when
you	you	you
first	first	first
announced	announc	announced
your	your	your
bid	bid	bid
to	to	to
be	be	be
Commander	command	Commander
and	and	and
Chief	chief	Chief
of	of	of
this	this	this
nation	nation	nation
,	,	,
the	the	the
american	american	american
people	peopl	people
immediately	immedi	immediately
dismissed	dismiss	dismissed
your	your	your
campaign	campaign	campaign
as	as	a
a	a	a
complete	complet	complete
joke	joke	joke
,	,	,
but	but	but
not	not	not
me	me	me
.	.	.
I	i	I
genuinely	genuin	genuinely
believed	believ	believed
that	that	that
the	the	the
people	peopl	people
should	should	should
take	take	take
the	the	the
time	time	time
to	to	to
listen	listen	listen
to	to	to
your	your	your
campaign	campaign	campaign
,	,	,
I	i	I
told	told	told
others	other	others
that	that	that
it	it	it
s	s	s
possible	possibl	possible
that	that	that
you	you	you
may	may	may
have	have	have
something	someth	something
to	to	to
offer	offer	offer
,	,	,
but	but	but
in	in	in
reality	realiti	reality
,	,	,
I	i	I
was	was	wa
very	veri	very
wrong	wrong	wrong
.	.	.
At	at	At
that	that	that
point	point	point
,	,	,
Edwards	edward	Edwards
goes	goe	go
on	on	on
to	to	to
list	list	list
some	some	some
of	of	of
the	the	the
things	thing	thing
that	that	that
Trump	trump	Trump
has	has	ha
become	becom	become
known	known	known
for	for	for
over	over	over
the	the	the
past	past	past
few	few	few
months	month	month
in	in	in
the	the	the
election	elect	election
.	.	.
This	this	This
includes	includ	includes
the	the	the
endorsement	endors	endorsement
that	that	that
Trump	trump	Trump
received	receiv	received
from	from	from
former	former	former
KKK	kkk	KKK
leader	leader	leader
,	,	,
David	david	David
Duke	duke	Duke
.	.	.
Trump	trump	Trump
s	s	s
non	non	non
-stop	-stop	-stop
scapegoating	scapego	scapegoating
of	of	of
Muslims	muslim	Muslims
,	,	,
immigrants	immigr	immigrant
,	,	,
and	and	and
people	peopl	people
of	of	of
color	color	color
.	.	.
Those	those	Those
,	,	,
however	howev	however
,	,	,
are	are	are
criticisms	critic	criticism
anyone	anyon	anyone
can	can	can
make	make	make
.	.	.
Edwards	edward	Edwards
,	,	,
on	on	on
the	the	the
other	other	other
hand	hand	hand
,	,	,
has	has	ha
a	a	a
very	veri	very
good	good	good
question	question	question
that	that	that
Trump	trump	Trump
would	would	would
hate	hate	hate
to	to	to
answer	answer	answer
.	.	.
What	what	What
exactly	exact	exactly
is	is	is
so	so	so
great	great	great
that	that	that
Trump	trump	Trump
is	is	is
offering	offer	offering
?	?	?
Which	which	Which
is	is	is
exactly	exact	exactly
what	what	what
every	everi	every
Trump	trump	Trump
supporter	support	supporter
should	should	should
be	be	be
asked	ask	asked
.	.	.
Why	whi	Why
would	would	would
Trump	trump	Trump
s	s	s
America	america	America
be	be	be
great	great	great
for	for	for
a	a	a
young	young	young
black	black	black
man	man	man
living	live	living
in	in	in
Flint	flint	Flint
?	?	?
Do	do	Do
you	you	you
not	not	not
see	see	see
the	the	the
message	messag	message
that	that	that
you	you	you
are	are	are
sending	send	sending
to	to	to
us	us	u
?	?	?
Why	whi	Why
would	would	would
someone	someon	someone
like	like	like
me	me	me
even	even	even
be	be	be
interested	interest	interested
in	in	in
your	your	your
America	america	America
?	?	?
Can	can	Can
you	you	you
even	even	even
give	give	give
me	me	me
ONE	one	ONE
real	real	real
reason	reason	reason
why	whi	why
I	i	I
should	should	should
believe	believ	believe
that	that	that
I	i	I
have	have	have
an	an	an
actual	actual	actual
shot	shot	shot
as	as	a
a	a	a
black	black	black
teenager	teenag	teenager
in	in	in
your	your	your
America	america	America
?	?	?
As	as	As
far	far	far
as	as	a
I	i	I
know	know	know
,	,	,
you	you	you
haven	haven	haven
t	t	t
done	done	done
anything	anyth	anything
to	to	to
reach	reach	reach
out	out	out
to	to	to
OBVIOUSLY	obvious	OBVIOUSLY
concerned	concern	concerned
communities	communiti	community
like	like	like
mine	mine	mine
.	.	.
Please	pleas	Please
remember	rememb	remember
,	,	,
I	i	I
am	am	am
a	a	a
Flint	flint	Flint
resident	resid	resident
,	,	,
and	and	and
like	like	like
other	other	other
members	member	member
of	of	of
this	this	this
community	communiti	community
,	,	,
we	we	we
are	are	are
wondering	wonder	wondering
why	whi	why
you	you	you
and	and	and
other	other	other
republicans	republican	republican
alike	alik	alike
haven	haven	haven
t	t	t
reached	reach	reached
out	out	out
to	to	to
us	us	u
.	.	.
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
is	is	is
a	a	a
mosaic	mosaic	mosaic
of	of	of
people	peopl	people
.	.	.
Trump	trump	Trump
s	s	s
America	america	America
might	might	might
be	be	be
great	great	great
for	for	for
you	you	you
if	if	if
you	you	you
are	are	are
well	well	well
of	of	of
financially	financi	financially
and	and	and
are	are	are
white	white	white
it	it	it
still	still	still
probably	probabl	probably
won	won	won
t	t	t
be	be	be
,	,	,
though	though	though
.	.	.
For	for	For
everyone	everyon	everyone
else	els	else
,	,	,
it	it	it
would	would	would
be	be	be
a	a	a
disaster	disast	disaster
.	.	.
Every	everi	Every
WASP	wasp	WASP
supporter	support	supporter
that	that	that
Trump	trump	Trump
has	has	ha
to	to	to
have	have	have
at	at	at
least	least	least
one	one	one
person	person	person
in	in	in
their	their	their
life	life	life
that	that	that
would	would	would
fall	fall	fall
into	into	into
the	the	the
everyone	everyon	everyone
else	els	else
category	categori	category
.	.	.
Edwards	edward	Edwards
ends	end	end
his	his	his
blistering	blister	blistering
letter	letter	letter
to	to	to
Trump	trump	Trump
calling	call	calling
for	for	for
him	him	him
to	to	to
end	end	end
his	his	his
campaign	campaign	campaign
.	.	.
Edwards	edward	Edwards
writes	write	writes
Mr	mr	Mr
.	.	.
Trump	trump	Trump
,	,	,
it	it	it
is	is	is
obvious	obvious	obvious
that	that	that
you	you	you
are	are	are
not	not	not
interested	interest	interested
in	in	in
uniting	unit	uniting
this	this	this
nation	nation	nation
,	,	,
and	and	and
with	with	with
the	the	the
growing	grow	growing
threat	threat	threat
of	of	of
violence	violenc	violence
within	within	within
your	your	your
campaign	campaign	campaign
,	,	,
I	i	I
believe	believ	believe
as	as	a
a	a	a
moral	moral	moral
adult	adult	adult
,	,	,
that	that	that
you	you	you
MUST	must	MUST
end	end	end
your	your	your
campaign	campaign	campaign
to	to	to
prevent	prevent	prevent
people	peopl	people
from	from	from
getting	get	getting
hurt	hurt	hurt
any	ani	any
further	further	further
.	.	.
It	it	It
is	is	is
simply	simpli	simply
the	the	the
right	right	right
thing	thing	thing
to	to	to
do	do	do
.	.	.
Outside	outsid	Outside
of	of	of
a	a	a
few	few	few
grammatical	grammat	grammatical
errors	error	error
,	,	,
there	there	there
is	is	is
only	onli	only
one	one	one
major	major	major
problem	problem	problem
with	with	with
Edwards	edward	Edwards
letter	letter	letter
.	.	.
A	a	A
reader	reader	reader
pointed	point	pointed
out	out	out
the	the	the
mistake	mistak	mistake
immediately	immedi	immediately
The	the	The
full	full	full
letter	letter	letter
is	is	is
embedded	embed	embedded
below	below	below
.	.	.
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
function	function	function
d	d	d
,	,	,
s	s	s
,	,	,
id	id	id
var	var	var
js	js	j
,	,	,
fjs	fjs	fjs
d	d	d
.	.	.
getElementsByTagName	getelementsbytagnam	getElementsByTagName
s	s	s
0	0	0
;	;	;
if	if	if
d	d	d
.	.	.
getElementById	getelementbyid	getElementById
id	id	id
return	return	return
;	;	;
js	js	j
d	d	d
.	.	.
createElement	createel	createElement
s	s	s
;	;	;
js	js	j
.	.	.
id	id	id
id	id	id
;	;	;
js	js	j
.	.	.
src	src	src
connect	connect	connect
.	.	.
facebook	facebook	facebook
.	.	.
net	net	net
en_US	en_us	en_US
sdk	sdk	sdk
.	.	.
js	js	j
"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"
fjs	fjs	fjs
.	.	.
parentNode	parentnod	parentNode
.	.	.
insertBefore	insertbefor	insertBefore
js	js	j
,	,	,
fjs	fjs	fjs
;	;	;
document	document	document
,	,	,
'script'	script	'script'
,	,	,
'facebook-jssdk'	facebook-jssdk	'facebook-jssdk'
;	;	;
gt	gt	gt
;	;	;
Dear	dear	Dear
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
My	my	My
name	name	name
is	is	is
Cameron	cameron	Cameron
,	,	,
I	i	I
am	am	am
a	a	a
19	19	19
year	year	year
old	old	old
,	,	,
Flint	flint	Flint
,	,	,
Michigan	michigan	Michigan
resident	resid	resident
,	,	,
and	and	and
today	today	today
,	,	,
I	i	I
would	would	would
like	like	like
to	to	to
Posted	post	Posted
by	by	by
Cameron	cameron	Cameron
Edwards	edward	Edwards
on	on	on
Monday	monday	Monday
,	,	,
March	march	March
14	14	14
,	,	,
2016Featured	2016featur	2016Featured
image	imag	image
from	from	from
Gage	gage	Gage
Skidmore	skidmor	Skidmore
via	via	via
Flickr	flickr	Flickr
with	with	with
screenshot	screenshot	screenshot
added	ad	added
