Beware	bewar	Beware
of	of	of
this	this	this
agenda	agenda	agenda
that	that	that
s	s	s
Agenda	agenda	Agenda
21	21	21
for	for	for
those	those	those
who	who	who
aren	aren	aren
t	t	t
familiar	familiar	familiar
with	with	with
the	the	the
term	term	term
sustainable	sustain	sustainable
development	develop	development
.	.	.

Your	your	Your
every	everi	every
move	move	move
will	will	will
be	be	be
micromanaged	micromanag	micromanaged
for	for	for
the	the	the
common	common	common
good	good	good
.	.	.

I	i	I
am	am	am
really	realli	really
disappointed	disappoint	disappointed
in	in	in
the	the	the
Pope	pope	Pope
s	s	s
position	posit	position
on	on	on
this	this	this
and	and	and
many	mani	many
other	other	other
things	thing	thing
.	.	.

He	he	He
s	s	s
so	so	so
far	far	far
left	left	left
on	on	on
so	so	so
many	mani	many
issues	issu	issue
but	but	but
the	the	the
fact	fact	fact
that	that	that
he	he	he
s	s	s
buying	buy	buying
into	into	into
the	the	the
global	global	global
warming	warm	warming
scam	scam	scam
is	is	is
very	veri	very
disturbing	disturb	disturbing
.	.	.

The	the	The
UN	un	UN
plans	plan	plan
to	to	to
launch	launch	launch
a	a	a
brand	brand	brand
new	new	new
plan	plan	plan
for	for	for
managing	manag	managing
the	the	the
entire	entir	entire
globe	globe	globe
at	at	at
the	the	the
Sustainable	sustain	Sustainable
Development	develop	Development
Summit	summit	Summit
that	that	that
it	it	it
will	will	will
be	be	be
hosting	host	hosting
from	from	from
September	septemb	September
25th	25th	25th
to	to	to
September	septemb	September
27th	27th	27th
.	.	.

Some	some	Some
of	of	of
the	the	the
biggest	biggest	biggest
names	name	name
on	on	on
the	the	the
planet	planet	planet
,	,	,
including	includ	including
Pope	pope	Pope
Francis	franci	Francis
,	,	,
will	will	will
be	be	be
speaking	speak	speaking
at	at	at
this	this	this
summit	summit	summit
.	.	.

This	this	This
new	new	new
sustainable	sustain	sustainable
agenda	agenda	agenda
focuses	focus	focus
on	on	on
climate	climat	climate
change	chang	change
of	of	of
course	cours	course
,	,	,
but	but	but
it	it	it
also	also	also
specifically	specif	specifically
addresses	address	address
topics	topic	topic
such	such	such
as	as	a
economics	econom	economics
,	,	,
agriculture	agricultur	agriculture
,	,	,
education	educ	education
and	and	and
gender	gender	gender
equality	equal	equality
.	.	.

For	for	For
those	those	those
