Bernie	berni	Bernie
Sanders	sander	Sanders
has	has	ha
a	a	a
knack	knack	knack
for	for	for
being	be	being
able	abl	able
to	to	to
look	look	look
at	at	at
issues	issu	issue
facing	face	facing
our	our	our
society	societi	society
and	and	and
to	to	to
point	point	point
them	them	them
out	out	out
bluntly	blunt	bluntly
.	.	.
Unlike	unlik	Unlike
most	most	most
politicians	politician	politician
who	who	who
dance	danc	dance
around	around	around
issues	issu	issue
,	,	,
Sanders	sander	Sanders
is	is	is
a	a	a
straight	straight	straight
talker	talker	talker
and	and	and
he	he	he
doesn	doesn	doesn
t	t	t
shy	shi	shy
away	away	away
from	from	from
telling	tell	telling
it	it	it
how	how	how
it	it	it
is	is	is
.	.	.
Whether	whether	Whether
his	his	his
style	style	style
emanates	eman	emanates
from	from	from
decades	decad	decade
of	of	of
activism	activ	activism
and	and	and
politics	polit	politics
,	,	,
or	or	or
whether	whether	whether
it	it	it
s	s	s
just	just	just
as	as	a
a	a	a
result	result	result
of	of	of
experiencing	experienc	experiencing
life	life	life
,	,	,
his	his	his
style	style	style
is	is	is
refreshing	refresh	refreshing
,	,	,
especially	especi	especially
for	for	for
a	a	a
politician	politician	politician
.	.	.
His	his	His
approach	approach	approach
was	was	wa
on	on	on
display	display	display
on	on	on
Thursday	thursday	Thursday
when	when	when
he	he	he
spoke	spoke	spoke
at	at	at
a	a	a
rally	ralli	rally
attended	attend	attended
by	by	by
thousands	thousand	thousand
of	of	of
Native	nativ	Native
Americans	american	Americans
at	at	at
Twin	twin	Twin
Arrows	arrow	Arrows
Navajo	navajo	Navajo
Casino	casino	Casino
east	east	east
of	of	of
Flagstaff	flagstaff	Flagstaff
,	,	,
Arizona	arizona	Arizona
.	.	.
The	the	The
culture	cultur	culture
of	of	of
Native	nativ	Native
Americans	american	Americans
is	is	is
so	so	so
rich	rich	rich
,	,	,
so	so	so
important	import	important
,	,	,
that	that	that
all	all	all
of	of	of
us	us	u
will	will	will
gain	gain	gain
by	by	by
preserving	preserv	preserving
it	it	it
,	,	,
he	he	he
said	said	said
.	.	.
Sanders	sander	Sanders
conceded	conced	conceded
that	that	that
the	the	the
US	us	US
government	govern	government
has	has	ha
not	not	not
treated	treat	treated
Native	nativ	Native
Americans	american	Americans
well	well	well
and	and	and
that	that	that
he	he	he
would	would	would
work	work	work
to	to	to
better	better	better
the	the	the
relationship	relationship	relationship
once	onc	once
he	he	he
becomes	becom	becomes
president	presid	president
.	.	.
He	he	He
said	said	said
Native	nativ	Native
American	american	American
people	peopl	people
have	have	have
been	been	been
lied	lie	lied
to	to	to
,	,	,
cheated	cheat	cheated
,	,	,
and	and	and
negotiated	negoti	negotiated
treaties	treati	treaty
have	have	have
been	been	been
broken	broken	broken
.	.	.
Often	often	Often
,	,	,
Native	nativ	Native
American	american	American
people	peopl	people
have	have	have
not	not	not
been	been	been
heard	heard	heard
on	on	on
issues	issu	issue
that	that	that
affect	affect	affect
their	their	their
communities	communiti	community
.	.	.
They	they	They
have	have	have
been	been	been
told	told	told
what	what	what
to	to	to
do	do	do
,	,	,
they	they	they
have	have	have
not	not	not
been	been	been
involved	involv	involved
in	in	in
the	the	the
process	process	process
.	.	.
Sanders	sander	Sanders
also	also	also
touched	touch	touched
on	on	on
issues	issu	issue
directly	direct	directly
affecting	affect	affecting
the	the	the
Native	nativ	Native
American	american	American
community	communiti	community
,	,	,
promising	promis	promising
to	to	to
work	work	work
to	to	to
raise	rais	raise
the	the	the
minimum	minimum	minimum
wage	wage	wage
once	onc	once
he	he	he
becomes	becom	becomes
president	presid	president
.	.	.
Directly	direct	Directly
addressing	address	addressing
Arizona	arizona	Arizona
Gov	gov	Gov
.	.	.
Doug	doug	Doug
Ducey	ducey	Ducey
,	,	,
who	who	who
has	has	ha
threatened	threaten	threatened
to	to	to
take	take	take
away	away	away
state	state	state
support	support	support
from	from	from
cities	citi	city
that	that	that
set	set	set
their	their	their
own	own	own
minimum	minimum	minimum
wage	wage	wage
higher	higher	higher
than	than	than
the	the	the
state	state	state
s	s	s
,	,	,
Sanders	sander	Sanders
said	said	said
I	i	I
say	say	say
to	to	to
this	this	this
,	,	,
governor	governor	governor
,	,	,
I	i	I
ve	ve	ve
got	got	got
some	some	some
bad	bad	bad
news	news	news
for	for	for
you	you	you
,	,	,
we	we	we
re	re	re
going	go	going
to	to	to
raise	rais	raise
the	the	the
minimum	minimum	minimum
wage	wage	wage
to	to	to
15	15	15
an	an	an
hour	hour	hour
.	.	.
I	i	I
will	will	will
fight	fight	fight
for	for	for
a	a	a
15	15	15
minimum	minimum	minimum
wage	wage	wage
,	,	,
there	there	there
s	s	s
nothing	noth	nothing
the	the	the
governor	governor	governor
can	can	can
do	do	do
about	about	about
it	it	it
.	.	.
It	it	It
is	is	is
stunning	stun	stunning
to	to	to
me	me	me
that	that	that
a	a	a
governor	governor	governor
would	would	would
want	want	want
to	to	to
prevent	prevent	prevent
the	the	the
minimum	minimum	minimum
wage	wage	wage
from	from	from
going	go	going
up	up	up
.	.	.
Sanders	sander	Sanders
also	also	also
discussed	discuss	discussed
his	his	his
idea	idea	idea
of	of	of
tuition	tuition	tuition
free	free	free
public	public	public
education	educ	education
,	,	,
an	an	an
idea	idea	idea
that	that	that
can	can	can
empower	empow	empower
a	a	a
generation	generat	generation
of	of	of
Americans	american	Americans
and	and	and
prevent	prevent	prevent
them	them	them
from	from	from
sinking	sink	sinking
into	into	into
college	colleg	college
debt	debt	debt
as	as	a
previous	previous	previous
generations	generat	generation
have	have	have
.	.	.
He	he	He
said	said	said
The	the	The
world	world	world
has	has	ha
changed	chang	changed
,	,	,
the	the	the
economy	economi	economy
has	has	ha
changed	chang	changed
.	.	.
People	peopl	People
today	today	today
need	need	need
more	more	more
education	educ	education
.	.	.
When	when	When
you	you	you
talk	talk	talk
about	about	about
public	public	public
education	educ	education
today	today	today
,	,	,
you	you	you
need	need	need
to	to	to
talk	talk	talk
about	about	about
making	make	making
public	public	public
colleges	colleg	college
tuition	tuition	tuition
-free	-free	-free
.	.	.
I	i	I
believe	believ	believe
we	we	we
need	need	need
to	to	to
have	have	have
the	the	the
best	best	best
-educated	-educ	-educated
workforce	workforc	workforce
in	in	in
the	the	the
global	global	global
economy	economi	economy
.	.	.
It	it	It
makes	make	make
no	no	no
sense	sens	sense
to	to	to
me	me	me
that	that	that
we	we	we
have	have	have
hundreds	hundr	hundred
of	of	of
thousands	thousand	thousand
of	of	of
people	peopl	people
who	who	who
are	are	are
not	not	not
getting	get	getting
an	an	an
education	educ	education
because	becaus	because
they	they	they
can	can	can
t	t	t
afford	afford	afford
it	it	it
.	.	.
All	all	All
people	peopl	people
would	would	would
be	be	be
eligible	elig	eligible
.	.	.
Sanders	sander	Sanders
,	,	,
whose	whose	whose
rallies	ralli	rally
have	have	have
drawn	drawn	drawn
thousands	thousand	thousand
,	,	,
drew	drew	drew
cheers	cheer	cheer
from	from	from
the	the	the
crowd	crowd	crowd
.	.	.
His	his	His
ideas	idea	idea
are	are	are
attractive	attract	attractive
to	to	to
millions	million	million
of	of	of
Americans	american	Americans
and	and	and
if	if	if
last	last	last
night	night	night
s	s	s
rally	ralli	rally
is	is	is
any	ani	any
indication	indic	indication
,	,	,
the	the	the
2016	2016	2016
Democratic	democrat	Democratic
nomination	nomin	nomination
for	for	for
the	the	the
presidency	presid	presidency
isn	isn	isn
t	t	t
over	over	over
by	by	by
a	a	a
long	long	long
shot	shot	shot
.	.	.
Watch	watch	Watch
Video	video	Video
Here	here	Here
youtube	youtub	youtube
https://www.youtube.com/watch?v=JmIYRl9Ofns]Featured	https://www.youtube.com/watch?v=jmiyrl9ofns]featur	https://www.youtube.com/watch?v=JmIYRl9Ofns]Featured
image	imag	image
via	via	via
Wikimedia	wikimedia	Wikimedia
Commons	common	Commons
