Is	is	Is
Disney	disney	Disney
officially	offici	officially
admitting	admit	admitting
they	they	they
re	re	re
in	in	in
the	the	the
business	busi	business
of	of	of
indoctrinating	indoctrin	indoctrinating
our	our	our
children	children	child
to	to	to
become	becom	become
good	good	good
little	littl	little
progressives	progress	progressive
?	?	?
For	for	For
anyone	anyon	anyone
who	who	who
says	say	say
this	this	this
book	book	book
has	has	ha
nothing	noth	nothing
to	to	to
do	do	do
with	with	with
Disney	disney	Disney
or	or	or
their	their	their
philosophy	philosophi	philosophy
,	,	,
Disney	disney	Disney
Publishing	publish	Publishing
Worldwide	worldwid	Worldwide
s	s	s
company	compani	company
overview	overview	overview
claims	claim	claim
to	to	to
publish	publish	publish
books	book	book
that	that	that
are	are	are
in	in	in
support	support	support
of	of	of
the	the	the
franchises	franchis	franchise
Disney	disney	Disney
Publishing	publish	Publishing
Worldwide	worldwid	Worldwide
,	,	,
Inc	inc	Inc
.	.	.
publishes	publish	publishes
children	children	child
s	s	s
books	book	book
,	,	,
comics	comic	comic
,	,	,
and	and	and
magazines	magazin	magazine
.	.	.
The	the	The
company	compani	company
publishes	publish	publishes
titles	titl	title
in	in	in
support	support	support
of	of	of
the	the	the
franchises	franchis	franchise
.	.	.
Disney	disney	Disney
is	is	is
selling	sell	selling
a	a	a
new	new	new
Feminist	feminist	Feminist
Baby	babi	Baby
children	children	child
s	s	s
book	book	book
so	so	so
parents	parent	parent
can	can	can
teach	teach	teach
their	their	their
toddlers	toddler	toddler
to	to	to
grow	grow	grow
up	up	up
to	to	to
be	be	be
progressive	progress	progressive
thinkers	thinker	thinker
who	who	who
smash	smash	smash
the	the	the
patriarchy	patriarchi	patriarchy
and	and	and
believe	believ	believe
gender	gender	gender
is	is	is
a	a	a
social	social	social
construct	construct	construct
.	.	.
Loryn	loryn	Loryn
Brantz	brantz	Brantz
,	,	,
the	the	the
author	author	author
and	and	and
illustrator	illustr	illustrator
behind	behind	behind
Feminist	feminist	Feminist
Baby	babi	Baby
,	,	,
told	told	told
TIME	time	TIME
that	that	that
her	her	her
22	22	22
-page	-page	-page
children	children	child
s	s	s
book	book	book
aims	aim	aim
to	to	to
make	make	make
children	children	child
liberal	liber	liberal
and	and	and
progressive	progress	progressive
thinkers	thinker	thinker
.	.	.
Here	here	Here
s	s	s
an	an	an
example	exampl	example
of	of	of
Brantz	brantz	Brantz
s	s	s
liberal	liber	liberal
propaganda	propaganda	propaganda
They	they	They
re	re	re
not	not	not
going	go	going
to	to	to
take	take	take
away	away	away
all	all	all
the	the	the
nuances	nuanc	nuance
and	and	and
important	import	important
parts	part	part
of	of	of
feminism	femin	feminism
necessarily	necessarili	necessarily
,	,	,
but	but	but
it	it	it
s	s	s
important	import	important
just	just	just
to	to	to
have	have	have
it	it	it
be	be	be
in	in	in
their	their	their
vocabulary	vocabulari	vocabulary
and	and	and
part	part	part
of	of	of
their	their	their
life	life	life
rather	rather	rather
than	than	than
discovering	discov	discovering
it	it	it
when	when	when
they	they	they
re	re	re
older	older	older
,	,	,
Brantz	brantz	Brantz
explained	explain	explained
.	.	.
It	it	It
s	s	s
so	so	so
that	that	that
they	they	they
re	re	re
aware	awar	aware
of	of	of
feminism	femin	feminism
and	and	and
see	see	see
it	it	it
as	as	a
a	a	a
good	good	good
thing	thing	thing
and	and	and
not	not	not
a	a	a
bad	bad	bad
thing	thing	thing
.	.	.
They	they	They
need	need	need
to	to	to
grow	grow	grow
up	up	up
with	with	with
feminism	femin	feminism
and	and	and
not	not	not
be	be	be
scared	scare	scared
of	of	of
it	it	it
,	,	,
and	and	and
not	not	not
think	think	think
that	that	that
it	it	it
means	mean	mean
they	they	they
re	re	re
going	go	going
to	to	to
be	be	be
overpowered	overpow	overpowered
by	by	by
women	women	woman
someday	someday	someday
,	,	,
Brantz	brantz	Brantz
said	said	said
.	.	.
It	it	It
just	just	just
means	mean	mean
wanting	want	wanting
equality	equal	equality
for	for	for
everyone	everyon	everyone
.	.	.
It	it	It
s	s	s
not	not	not
something	someth	something
they	they	they
think	think	think
they	they	they
need	need	need
to	to	to
fight	fight	fight
when	when	when
they	they	they
re	re	re
older	older	older
.	.	.
Huffington	huffington	Huffington
Post	post	Post
In	in	In
the	the	the
comics	comic	comic
,	,	,
Feminist	feminist	Feminist
Baby	babi	Baby
serves	serv	serf
as	as	a
an	an	an
underage	underag	underage
heroine	heroin	heroine
bent	bent	bent
on	on	on
smashing	smash	smashing
the	the	the
patriarchy	patriarchi	patriarchy
and	and	and
subverting	subvert	subverting
tired	tire	tired
traditions	tradit	tradition
like	like	like
the	the	the
gender	gender	gender
reveal	reveal	reveal
.	.	.
The	the	The
panels	panel	panel
provide	provid	provide
both	both	both
political	polit	political
commentary	commentari	commentary
she	she	she
punches	punch	punch
Steve	steve	Steve
Bannon	bannon	Bannon
who	who	who
is	is	is
dressed	dress	dressed
as	as	a
a	a	a
Nazi	nazi	Nazi
