Actor	actor	Actor
and	and	and
Medal	medal	Medal
of	of	of
Freedom	freedom	Freedom
recipient	recipi	recipient
Tom	tom	Tom
Hanks	hank	Hanks
is	is	is
doing	do	doing
his	his	his
part	part	part
to	to	to
support	support	support
the	the	the
free	free	free
press	press	press
against	against	against
the	the	the
tyranny	tyranni	tyranny
of	of	of
Donald	donald	Donald
Trump	trump	Trump
.	.	.
The	the	The
White	white	White
House	hous	House
Press	press	Press
Corps	corp	Corps
has	has	ha
had	had	had
to	to	to
deal	deal	deal
with	with	with
a	a	a
lot	lot	lot
of	of	of
bullshit	bullshit	bullshit
,	,	,
so	so	so
Hanks	hank	Hanks
sent	sent	sent
them	them	them
a	a	a
gift	gift	gift
that	that	that
ought	ought	ought
to	to	to
keep	keep	keep
them	them	them
going	go	going
for	for	for
the	the	the
long	long	long
haul	haul	haul
.	.	.
CNN	cnn	CNN
White	white	White
House	hous	House
producer	produc	producer
Allie	alli	Allie
Malloy	malloy	Malloy
reported	report	reported
on	on	on
Twitter	twitter	Twitter
that	that	that
Hanks	hank	Hanks
sent	sent	sent
the	the	the
White	white	White
House	hous	House
Press	press	Press
Corps	corp	Corps
an	an	an
expresso	expresso	expresso
machine	machin	machine
so	so	so
they	they	they
can	can	can
keep	keep	keep
pumping	pump	pumping
themselves	themselv	themselves
full	full	full
of	of	of
all	all	all
the	the	the
caffeine	caffein	caffeine
and	and	and
sugar	sugar	sugar
they	they	they
need	need	need
for	for	for
all	all	all
the	the	the
long	long	long
days	day	day
and	and	and
late	late	late
nights	night	night
of	of	of
keeping	keep	keeping
the	the	the
American	american	American
public	public	public
informed	inform	informed
on	on	on
what	what	what
Trump	trump	Trump
and	and	and
his	his	his
administration	administr	administration
are	are	are
doing	do	doing
.	.	.
Keep	keep	Keep
up	up	up
the	the	the
good	good	good
fight	fight	fight
for	for	for
Truth	truth	Truth
,	,	,
Justice	justic	Justice
,	,	,
and	and	and
the	the	the
American	american	American
Way	way	Way
,	,	,
Hanks	hank	Hanks
wrote	wrote	wrote
before	befor	before
taking	take	taking
a	a	a
clear	clear	clear
shot	shot	shot
at	at	at
Trump	trump	Trump
.	.	.
Especially	especi	Especially
for	for	for
the	the	the
Truth	truth	Truth
part	part	part
.	.	.
Tom	tom	Tom
Hanks	hank	Hanks
note	note	note
to	to	to
the	the	the
WH	wh	WH
press	press	press
corps	corp	corp
attached	attach	attached
to	to	to
the	the	the
espresso	espresso	espresso
machine	machin	machine
he	he	he
gifted	gift	gifted
.	.	.
pic.twitter.com/JAZy8ghetc	pic.twitter.com/jazy8ghetc	pic.twitter.com/JAZy8ghetc
Allie	alli	Allie
Malloy	malloy	Malloy
@AlliemalCNN	@alliemalcnn	@AlliemalCNN
March	march	March
2	2	2
,	,	,
2017Indeed	2017inde	2017Indeed
,	,	,
Trump	trump	Trump
lies	lie	lie
every	everi	every
time	time	time
he	he	he
opens	open	open
his	his	his
mouth	mouth	mouth
and	and	and
his	his	his
team	team	team
refers	refer	refers
to	to	to
their	their	their
lies	lie	lie
as	as	a
alternative	altern	alternative
facts	fact	fact
.	.	.
The	the	The
press	press	press
has	has	ha
had	had	had
to	to	to
dig	dig	dig
deep	deep	deep
since	sinc	since
Trump	trump	Trump
took	took	took
office	offic	office
to	to	to
keep	keep	keep
the	the	the
American	american	American
people	peopl	people
informed	inform	informed
and	and	and
fact	fact	fact
-check	-check	-check
all	all	all
of	of	of
his	his	his
claims	claim	claim
,	,	,
most	most	most
of	of	of
which	which	which
have	have	have
been	been	been
debunked	debunk	debunked
as	as	a
lies	lie	lie
.	.	.
This	this	This
isn	isn	isn
t	t	t
the	the	the
first	first	first
time	time	time
Hanks	hank	Hanks
has	has	ha
slammed	slam	slammed
Trump	trump	Trump
.	.	.
During	dure	During
the	the	the
campaign	campaign	campaign
Hanks	hank	Hanks
burned	burn	burned
Trump	trump	Trump
for	for	for
bragging	brag	bragging
about	about	about
grabbing	grab	grabbing
women	women	woman
by	by	by
the	the	the
genitals	genit	genitals
without	without	without
their	their	their
consent	consent	consent
.	.	.
He	he	He
was	was	wa
at	at	at
work	work	work
,	,	,
man	man	man
,	,	,
Hanks	hank	Hanks
said	said	said
during	dure	during
an	an	an
interview	interview	interview
in	in	in
October	octob	October
.	.	.
He	he	He
wasn	wasn	wasn
t	t	t
in	in	in
a	a	a
locker	locker	locker
room	room	room
.	.	.
He	he	He
was	was	wa
at	at	at
work	work	work
.	.	.
He	he	He
was	was	wa
showing	show	showing
up	up	up
to	to	to
do	do	do
a	a	a
thing	thing	thing
on	on	on
camera	camera	camera
.	.	.
Look	look	Look
I	i	I
m	m	m
offended	offend	offended
as	as	a
a	a	a
man	man	man
.	.	.
I	i	I
m	m	m
not	not	not
offended	offend	offended
as	as	a
a	a	a
husband	husband	husband
or	or	or
a	a	a
father	father	father
.	.	.
I	i	I
m	m	m
offended	offend	offended
as	as	a
a	a	a
guy	guy	guy
.	.	.
That	that	That
s	s	s
just	just	just
not	not	not
right	right	right
,	,	,
I	i	I
m	m	m
sorry	sorri	sorry
.	.	.
It	it	It
s	s	s
not	not	not
right	right	right
at	at	at
work	work	work
,	,	,
it	it	it
s	s	s
not	not	not
right	right	right
in	in	in
the	the	the
locker	locker	locker
room	room	room
.	.	.
It	it	It
s	s	s
wrong	wrong	wrong
,	,	,
period	period	period
.	.	.
The	the	The
end	end	end
.	.	.
That	that	That
s	s	s
all	all	all
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Wikimedia	wikimedia	Wikimedia
