You	you	You
would	would	would
think	think	think
that	that	that
a	a	a
businessman	businessman	businessman
would	would	would
understand	understand	understand
math	math	math
.	.	.

Not	not	Not
Donald	donald	Donald
Trump	trump	Trump
.	.	.
Democratic	democrat	Democratic
congressional	congression	congressional
candidate	candid	candidate
Jon	jon	Jon
Ossoff	ossoff	Ossoff
narrowly	narrowli	narrowly
missed	miss	missed
an	an	an
outright	outright	outright
victory	victori	victory
in	in	in
Georgia	georgia	Georgia
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
As	as	As
Republicans	republican	Republicans
poured	pour	poured
money	money	money
into	into	into
the	the	the
race	race	race
,	,	,
Ossoff	ossoff	Ossoff
s	s	s
anti	anti	anti
-Trump	-trump	-Trump
campaign	campaign	campaign
soared	soar	soared
and	and	and
nearly	near	nearly
cruised	cruis	cruised
to	to	to
an	an	an
easy	easi	easy
win	win	win
in	in	in
a	a	a
district	district	district
that	that	that
is	is	is
considered	consid	considered
a	a	a
Republican	republican	Republican
fortress	fortress	fortress
.	.	.
In	in	In
other	other	other
words	word	word
,	,	,
Ossoff	ossoff	Ossoff
should	should	should
not	not	not
have	have	have
been	been	been
able	abl	able
to	to	to
even	even	even
get	get	get
close	close	close
to	to	to
winning	win	winning
.	.	.

But	but	But
Donald	donald	Donald
Trump	trump	Trump
s	s	s
increasing	increas	increasing
unpopularity	unpopular	unpopularity
combined	combin	combined
with	with	with
his	his	his
incompetence	incompet	incompetence
gave	gave	gave
Democrats	democrat	Democrats
a	a	a
strategy	strategi	strategy
to	to	to
become	becom	become
competitive	competit	competitive
in	in	in
even	even	even
the	the	the
most	most	most
conservative	conserv	conservative
areas	area	area
.	.	.
After	after	After
being	be	being
upset	upset	upset
in	in	in
Delaware	delawar	Delaware
and	and	and
nearly	near	nearly
losing	lose	losing
in	in	in
Kansas	kansa	Kansas
,	,	,
Republicans	republican	Republicans
had	had	had
much	much	much
to	to	to
be	be	be
worried	worri	worried
about	about	about
on	on	on
Tuesday	tuesday	Tuesday
as	as	a
election	elect	election
results	result	result
flowed	flow	flowed
in	in	in
.	.	.
Even	even	Even
Trump	trump	Trump
recognized	recogn	recognized
that	that	that
the	the	the
race	race	race
in	in	in
Georgia	georgia	Georgia
represents	repres	represents
a	a	a
backlash	backlash	backlash
against	against	against
his	his	his
administration	administr	administration
and	and	and
Republican	republican	Republican
power	power	power
in	in	in
Congress	congress	Congress
,	,	,
which	which	which
is	is	is
why	whi	why
he	he	he
attacked	attack	attacked
Ossoff	ossoff	Ossoff
repeatedly	repeat	repeatedly
on	on	on
Twitter	twitter	Twitter
.	.	.
It	it	It
s	s	s
a	a	a
test	test	test
of	of	of
what	what	what
Republicans	republican	Republicans
could	could	could
expect	expect	expect
in	in	in
2018	2018	2018
when	when	when
the	the	the
midterm	midterm	midterm
election	elect	election
rolls	roll	roll
around	around	around
.	.	.
Instead	instead	Instead
of	of	of
a	a	a
Republican	republican	Republican
wave	wave	wave
,	,	,
however	howev	however
,	,	,
the	the	the
current	current	current
party	parti	party
that	that	that
controls	control	control
Congress	congress	Congress
could	could	could
be	be	be
swept	swept	swept
out	out	out
of	of	of
power	power	power
by	by	by
a	a	a
Democratic	democrat	Democratic
wave	wave	wave
,	,	,
paving	pave	paving
the	the	the
way	way	way
for	for	for
Trump	trump	Trump
s	s	s
impeachment	impeach	impeachment
and	and	and
the	the	the
reversal	revers	reversal
of	of	of
the	the	the
destructive	destruct	destructive
policies	polici	policy
he	he	he
and	and	and
his	his	his
Republican	republican	Republican
friends	friend	friend
in	in	in
Congress	congress	Congress
have	have	have
put	put	put
in	in	in
place	place	place
so	so	so
far	far	far
.	.	.
In	in	In
the	the	the
end	end	end
,	,	,
Ossoff	ossoff	Ossoff
did	did	did
not	not	not
secure	secur	secure
the	the	the
50	50	50
percent	percent	percent
of	of	of
the	the	the
vote	vote	vote
needed	need	needed
to	to	to
win	win	win
.	.	.

The	the	The
election	elect	election
now	now	now
heads	head	head
to	to	to
a	a	a
runoff	runoff	runoff
in	in	in
June	june	June
between	between	between
Ossoff	ossoff	Ossoff
and	and	and
Republican	republican	Republican
Karen	karen	Karen
Handel	handel	Handel
.	.	.
But	but	But
that	that	that
didn	didn	didn
t	t	t
stop	stop	stop
Trump	trump	Trump
from	from	from
declaring	declar	declaring
that	that	that
race	race	race
a	a	a
victory	victori	victory
for	for	for
Republicans	republican	Republicans
and	and	and
taking	take	taking
credit	credit	credit
for	for	for
it	it	it
.	.	.
Despite	despit	Despite
major	major	major
outside	outsid	outside
money	money	money
,	,	,
FAKE	fake	FAKE
media	media	medium
support	support	support
and	and	and
eleven	eleven	eleven
Republican	republican	Republican
candidates	candid	candidate
,	,	,
BIG	big	BIG
R	r	R
win	win	win
with	with	with
runoff	runoff	runoff
in	in	in
Georgia	georgia	Georgia
.	.	.

Glad	glad	Glad
to	to	to
be	be	be
of	of	of
help	help	help
!	!	!

Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
April	april	April
19	19	19
,	,	,
2017Dems	2017dem	2017Dems
failed	fail	failed
in	in	in
Kansas	kansa	Kansas
and	and	and
are	are	are
now	now	now
failing	fail	failing
in	in	in
Georgia	georgia	Georgia
.	.	.

Great	great	Great
job	job	job
Karen	karen	Karen
Handel	handel	Handel
!	!	!

It	it	It
is	is	is
now	now	now
Hollywood	hollywood	Hollywood
vs	vs	v
.	.	.

Georgia	georgia	Georgia
on	on	on
June	june	June
20th	20th	20th
.	.	.

Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
April	april	April
19	19	19
,	,	,
2017The	2017the	2017The
problem	problem	problem
is	is	is
that	that	that
Democrats	democrat	Democrats
did	did	did
not	not	not
fail	fail	fail
.	.	.

Ossoff	ossoff	Ossoff
captured	captur	captured
48	48	48
percent	percent	percent
of	of	of
the	the	the
vote	vote	vote
in	in	in
a	a	a
district	district	district
that	that	that
should	should	should
have	have	have
easily	easili	easily
been	been	been
won	won	won
by	by	by
Republicans	republican	Republicans
.	.	.

Handel	handel	Handel
only	onli	only
got	got	got
19	19	19
percent	percent	percent
of	of	of
the	the	the
vote	vote	vote
and	and	and
Ossoff	ossoff	Ossoff
got	got	got
more	more	more
votes	vote	vote
than	than	than
just	just	just
about	about	about
every	everi	every
Republican	republican	Republican
on	on	on
the	the	the
ticket	ticket	ticket
combined	combin	combined
.	.	.
Twitter	twitter	Twitter
users	user	user
were	were	were
more	more	more
than	than	than
happy	happi	happy
to	to	to
humiliate	humili	humiliate
Trump	trump	Trump
s	s	s
math	math	math
skills	skill	skill
.	.	.
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
Dems	dem	Dems
didn	didn	didn
t	t	t
fail	fail	fail
in	in	in
Georgia	georgia	Georgia
.	.	.

The	the	The
super	super	super
liberal	liber	liberal
Democrat	democrat	Democrat
@ossoff	@ossoff	@ossoff
got	got	got
more	more	more
votes	vote	vote
than	than	than
every	everi	every
single	singl	single
Republican	republican	Republican
by	by	by
far	far	far
.	.	.

#FactsMatter	#factsmatt	#FactsMatter
pic.twitter.com/9ToZdC7Zlq	pic.twitter.com/9tozdc7zlq	pic.twitter.com/9ToZdC7Zlq
William	william	William
LeGate	legat	LeGate
@williamlegate	@williamleg	@williamlegate
April	april	April
19	19	19
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
They	they	They
did	did	did
but	but	but
.	.	.
sweetie	sweeti	sweetie
Republicans	republican	Republicans
are	are	are
failing	fail	failing
in	in	in
those	those	those
districts	district	district
to	to	to
win	win	win
by	by	by
same	same	same
margins	margin	margin
as	as	a
they	they	they
did	did	did
before	befor	before
YOU	you	YOU
came	came	came
along	along	along
.	.	.

Erich	erich	Erich
McElroy	mcelroy	McElroy
@erichmcelroy	@erichmcelroy	@erichmcelroy
April	april	April
19	19	19
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
He	he	He
got	got	got
48	48	48
of	of	of
the	the	the
vote	vote	vote
twice	twice	twice
as	as	a
much	much	much
as	as	a
Handel	handel	Handel
.	.	.

Tony	toni	Tony
Posnanski	posnanski	Posnanski
@tonyposnanski	@tonyposnanski	@tonyposnanski
April	april	April
19	19	19
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
By	by	By
failing	fail	failing
you	you	you
mean	mean	mean
how	how	how
well	well	well
Ossoff	ossoff	Ossoff
did	did	did
despite	despit	despite
tons	ton	ton
of	of	of
dark	dark	dark
money	money	money
spending	spend	spending
by	by	by
the	the	the
Reps	rep	Reps
in	in	in
Rep	rep	Rep
territory	territori	territory
.	.	.

Alright	alright	Alright
.	.	.

Anirvan	anirvan	Anirvan
Ghosh	ghosh	Ghosh
@anirvanghosh	@anirvanghosh	@anirvanghosh
April	april	April
19	19	19
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
Just	just	Just
for	for	for
the	the	the
record	record	record
,	,	,
Ossoff	ossoff	Ossoff
won	won	won
twice	twice	twice
the	the	the
number	number	number
of	of	of
popular	popular	popular
votes	vote	vote
as	as	a
Handel	handel	Handel
.	.	.

That	that	That
s	s	s
called	call	called
a	a	a
win	win	win
.	.	.

Anirvan	anirvan	Anirvan
Ghosh	ghosh	Ghosh
@anirvanghosh	@anirvanghosh	@anirvanghosh
April	april	April
19	19	19
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
You	you	You
should	should	should
ask	ask	ask
Ossoff	ossoff	Ossoff
how	how	how
it	it	it
feels	feel	feel
to	to	to
actually	actual	actually
win	win	win
the	the	the
popular	popular	popular
vote	vote	vote
.	.	.

Mark	mark	Mark
Pygas	pyga	Pygas
@MarkPygas	@markpyga	@MarkPygas
April	april	April
19	19	19
,	,	,
2017	2017	2017
@JordanUhl	@jordanuhl	@JordanUhl
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
Just	just	Just
gotta	gotta	gotta
love	love	love
the	the	the
fact	fact	fact
that	that	that
a	a	a
reality	realiti	reality
tv	tv	tv
star	star	star
is	is	is
whining	whine	whining
about	about	about
Hollywood	hollywood	Hollywood
Patricia	patricia	Patricia
Zh	zh	Zh
.	.	.
@ljtost	@ljtost	@ljtost
April	april	April
19	19	19
,	,	,
2017	2017	2017
@Mike_P_Williams	@mike_p_william	@Mike_P_Williams
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
I	i	I
don	don	don
t	t	t
ever	ever	ever
remember	rememb	remember
@BarackObama	@barackobama	@BarackObama
repeatedly	repeat	repeatedly
bashing	bash	bashing
every	everi	every
person	person	person
that	that	that
didn	didn	didn
t	t	t
vote	vote	vote
for	for	for
him	him	him
.	.	.

Probably	probabl	Probably
because	becaus	because
he	he	he
was	was	wa
a	a	a
decent	decent	decent
person	person	person
,	,	,
though	though	though
Dana	dana	Dana
Smith	smith	Smith
@Brady5thOrBust	@brady5thorbust	@Brady5thOrBust
April	april	April
19	19	19
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
Are	are	Are
you	you	you
kidding	kid	kidding
me	me	me
?	?	?

Are	are	Are
you	you	you
unable	unabl	unable
to	to	to
comprehend	comprehend	comprehend
basic	basic	basic
math	math	math
?	?	?

Dems	dem	Dems
have	have	have
the	the	the
most	most	most
votes	vote	vote
in	in	in
GA	ga	GA
.	.	.

What	what	What
is	is	is
wrong	wrong	wrong
with	with	with
you	you	you
?	?	?

?	?	?

@VeeVee	@veeve	@VeeVee
April	april	April
19	19	19
,	,	,
2017	2017	2017
@realdonaldtrump	@realdonaldtrump	@realdonaldtrump
Fail	fail	Fail
.	.	.

You	you	You
keep	keep	keep
using	use	using
this	this	this
word	word	word
.	.	.

I	i	I
do	do	do
not	not	not
think	think	think
it	it	it
means	mean	mean
what	what	what
you	you	you
think	think	think
it	it	it
means	mean	mean
.	.	.

pic.twitter.com/iyewM44nC3	pic.twitter.com/iyewm44nc3	pic.twitter.com/iyewM44nC3
Howdy	howdi	Howdy
Doody	doodi	Doody
@DanHowdle	@danhowdl	@DanHowdle
April	april	April
19	19	19
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
#Ossoff	#ossoff	#Ossoff
got	got	got
a	a	a
bigger	bigger	bigger
percentage	percentag	percentage
of	of	of
the	the	the
vote	vote	vote
than	than	than
you	you	you
did	did	did
.	.	.

Kristina	kristina	Kristina
Wong	wong	Wong
@mskristinawong	@mskristinawong	@mskristinawong
April	april	April
19	19	19
,	,	,
2017It	2017it	2017It
s	s	s
time	time	time
for	for	for
Republicans	republican	Republicans
to	to	to
face	face	face
reality	realiti	reality
.	.	.

Donald	donald	Donald
Trump	trump	Trump
is	is	is
hurting	hurt	hurting
their	their	their
party	parti	party
and	and	and
is	is	is
the	the	the
reason	reason	reason
why	whi	why
they	they	they
are	are	are
heading	head	heading
for	for	for
a	a	a
major	major	major
defeat	defeat	defeat
in	in	in
2018	2018	2018
.	.	.
Featured	featur	Featured
Image	imag	Image
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
Getty	getti	Getty
Images	imag	Images

