We	we	We
all	all	all
know	know	know
that	that	that
the	the	the
only	onli	only
reason	reason	reason
Donald	donald	Donald
Trump	trump	Trump
is	is	is
so	so	so
popular	popular	popular
among	among	among
the	the	the
Republican	republican	Republican
base	base	base
is	is	is
because	becaus	because
he	he	he
is	is	is
because	becaus	because
of	of	of
his	his	his
racist	racist	racist
rhetoric	rhetor	rhetoric
.	.	.

His	his	His
Trump	trump	Trump
Hate	hate	Hate
is	is	is
very	veri	very
appealing	appeal	appealing
to	to	to
the	the	the
vile	vile	vile
voters	voter	voter
the	the	the
GOP	gop	GOP
panders	pander	pander
to	to	to
,	,	,
and	and	and
every	everi	every
single	singl	single
time	time	time
he	he	he
says	say	say
something	someth	something
bombastic	bombast	bombastic
his	his	his
poll	poll	poll
numbers	number	number
go	go	go
up	up	up
.	.	.

However	howev	However
,	,	,
if	if	if
you	you	you
ask	ask	ask
one	one	one
of	of	of
these	these	these
Trump	trump	Trump
supporters	support	supporter
if	if	if
they	they	they
are	are	are
racist	racist	racist
they	they	they
ll	ll	ll
assure	assur	assure
you	you	you
that	that	that
they	they	they
are	are	are
not	not	not
most	most	most
of	of	of
the	the	the
time	time	time
.	.	.
Steve	steve	Steve
Bowman	bowman	Bowman
of	of	of
Omaha	omaha	Omaha
is	is	is
a	a	a
different	differ	different
kind	kind	kind
of	of	of
Trump	trump	Trump
supporter	support	supporter
,	,	,
because	becaus	because
when	when	when
he	he	he
was	was	wa
confronted	confront	confronted
with	with	with
a	a	a
truth	truth	truth
bomb	bomb	bomb
,	,	,
he	he	he
actually	actual	actually
admitted	admit	admitted
that	that	that
he	he	he
was	was	wa
wrong	wrong	wrong
.	.	.
WOWT	wowt	WOWT
reporter	report	reporter
John	john	John
Chapman	chapman	Chapman
,	,	,
an	an	an
African	african	African
-American	-american	-American
,	,	,
approached	approach	approached
Bowman	bowman	Bowman
and	and	and
asked	ask	asked
him	him	him
if	if	if
he	he	he
thinks	think	think
a	a	a
sign	sign	sign
in	in	in
his	his	his
front	front	front
window	window	window
that	that	that
said	said	said
,	,	,
Ni	ni	Ni
r	r	r
Obama	obama	Obama
was	was	wa
racist	racist	racist
.	.	.

Bowman	bowman	Bowman
responded	respond	responded
Well	well	Well
,	,	,
I	i	I
grew	grew	grew
up	up	up
in	in	in
the	the	the
60s	60s	60
.	.	.

I	i	I
remember	rememb	remember
racial	racial	racial
riots	riot	riot
.	.	.

I	i	I
know	know	know
Martin	martin	Martin
Luther	luther	Luther
King	king	King
.	.	.

I	i	I
m	m	m
57	57	57
so	so	so
I	i	I
grew	grew	grew
up	up	up
in	in	in
the	the	the
late	late	late
50s	50s	50
early	earli	early
60s	60s	60
and	and	and
I	i	I
know	know	know
what	what	what
it	it	it
s	s	s
like	like	like
the	the	the
water	water	water
guns	gun	gun
the	the	the
racial	racial	racial
riots	riot	riot
and	and	and
Birmingham	birmingham	Birmingham
.	.	.

You	you	You
know	know	know
the	the	the
south	south	south
,	,	,
I	i	I
know	know	know
all	all	all
about	about	about
it	it	it
.	.	.

I	i	I
have	have	have
a	a	a
master	master	master
s	s	s
degree	degre	degree
in	in	in
history	histori	history
It	it	It
might	might	might
be	be	be
a	a	a
little	littl	little
racist	racist	racist
.	.	.

A	a	A
little	littl	little
?	?	?

No	no	No
,	,	,
it	it	it
s	s	s
A	a	A
LOT	lot	LOT
racist	racist	racist
and	and	and
apparently	appar	apparently
it	it	it
s	s	s
not	not	not
the	the	the
first	first	first
time	time	time
.	.	.

According	accord	According
to	to	to
his	his	his
neighbors	neighbor	neighbor
,	,	,
an	an	an
African	african	African
-American	-american	-American
family	famili	family
,	,	,
he	he	he
often	often	often
puts	put	put
up	up	up
racially	racial	racially
charged	charg	charged
signs	sign	sign
He	he	He
s	s	s
been	been	been
putting	put	putting
up	up	up
stuff	stuff	stuff
like	like	like
that	that	that
constantly	constant	constantly
.	.	.

Constantly	constant	Constantly
putting	put	putting
up	up	up
stuff	stuff	stuff
like	like	like
that	that	that
and	and	and
I	i	I
ll	ll	ll
bring	bring	bring
it	it	it
up	up	up
to	to	to
him	him	him
gently	gentl	gently
,	,	,
you	you	you
know	know	know
,	,	,
take	take	take
that	that	that
down	down	down
please	pleas	please
you	you	you
know	know	know
this	this	this
is	is	is
not	not	not
the	the	the
neighborhood	neighborhood	neighborhood
for	for	for
that	that	that
neighbor	neighbor	neighbor
Regina	regina	Regina
Wright	wright	Wright
told	told	told
WOWT	wowt	WOWT
.	.	.

He	he	He
understands	understand	understands
and	and	and
he	he	he
will	will	will
take	take	take
it	it	it
down	down	down
after	after	after
I	i	I
mention	mention	mention
it	it	it
to	to	to
him	him	him
,	,	,
but	but	but
then	then	then
he	he	he
ll	ll	ll
put	put	put
something	someth	something
else	els	else
up	up	up
.	.	.

Bowman	bowman	Bowman
took	took	took
the	the	the
sign	sign	sign
down	down	down
after	after	after
the	the	the
reported	report	reported
confronted	confront	confronted
him	him	him
,	,	,
but	but	but
whether	whether	whether
or	or	or
not	not	not
he	he	he
puts	put	put
one	one	one
up	up	up
again	again	again
is	is	is
anybody	anybodi	anybody
s	s	s
guess	guess	guess
.	.	.

What	what	What
s	s	s
really	realli	really
ridiculous	ridicul	ridiculous
is	is	is
that	that	that
he	he	he
tried	tri	tried
to	to	to
use	use	use
the	the	the
Civil	civil	Civil
Rights	right	Rights
Movement	movement	Movement
as	as	a
some	some	some
kind	kind	kind
of	of	of
explanation	explan	explanation
for	for	for
his	his	his
sign	sign	sign
.	.	.

It	it	It
was	was	wa
almost	almost	almost
as	as	a
if	if	if
he	he	he
was	was	wa
saying	say	saying
,	,	,
I	i	I
lived	live	lived
through	through	through
that	that	that
,	,	,
so	so	so
I	i	I
can	can	can
t	t	t
possibly	possibl	possibly
be	be	be
a	a	a
racist	racist	racist
If	if	If
anything	anyth	anything
,	,	,
the	the	the
fact	fact	fact
that	that	that
he	he	he
remembers	rememb	remembers
the	the	the
horrific	horrif	horrific
treatment	treatment	treatment
of	of	of
the	the	the
African	african	African
-American	-american	-American
community	communiti	community
should	should	should
be	be	be
even	even	even
more	more	more
of	of	of
a	a	a
reason	reason	reason
not	not	not
to	to	to
have	have	have
something	someth	something
like	like	like
that	that	that
in	in	in
his	his	his
window	window	window
.	.	.
But	but	But
as	as	a
we	we	we
know	know	know
by	by	by
now	now	now
,	,	,
common	common	common
sense	sens	sense
and	and	and
inclusiveness	inclus	inclusiveness
do	do	do
not	not	not
grow	grow	grow
in	in	in
Trump	trump	Trump
supporters	support	supporter
gardens	garden	garden
.	.	.
Watch	watch	Watch
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screenshot	screenshot	screenshot

