First	first	First
of	of	of
all	all	all
,	,	,
the	the	the
picture	pictur	picture
of	of	of
President	presid	President
Trump	trump	Trump
that	that	that
s	s	s
behind	behind	behind
Pelosi	pelosi	Pelosi
is	is	is
as	as	a
funny	funni	funny
as	as	a
it	it	it
gets	get	get
.	.	.
Could	could	Could
that	that	that
be	be	be
what	what	what
got	got	got
Pelosi	pelosi	Pelosi
all	all	all
sad	sad	sad
during	dure	during
her	her	her
interview	interview	interview
with	with	with
Joy	joy	Joy
Reid	reid	Reid
?	?	?
House	hous	House
Minority	minor	Minority
Leader	leader	Leader
Nancy	nanci	Nancy
Pelosi	pelosi	Pelosi
was	was	wa
clearly	clear	clearly
disturbed	disturb	disturbed
by	by	by
the	the	the
comments	comment	comment
and	and	and
questions	question	question
from	from	from
liberal	liber	liberal
hack	hack	hack
Joy	joy	Joy
Reid	reid	Reid
this	this	this
morning	morn	morning
.	.	.
She	she	She
made	made	made
a	a	a
face	face	face
when	when	when
asked	ask	asked
about	about	about
those	those	those
in	in	in
the	the	the
Democratic	democrat	Democratic
Party	parti	Party
that	that	that
want	want	want
to	to	to
see	see	see
her	her	her
step	step	step
down	down	down
from	from	from
her	her	her
leadership	leadership	leadership
position	posit	position
.	.	.
MSNBC	msnbc	MSNBC
S	s	S
Reid	reid	Reid
discussed	discuss	discussed
with	with	with
Pelosi	pelosi	Pelosi
the	the	the
goals	goal	goal
of	of	of
the	the	the
Democrats	democrat	Democrats
in	in	in
2018	2018	2018
.	.	.
She	she	She
mentioned	mention	mentioned
winning	win	winning
back	back	back
a	a	a
majority	major	majority
in	in	in
the	the	the
House	hous	House
of	of	of
Representatives	repres	Representatives
.	.	.
Pelosi	pelosi	Pelosi
smiled	smile	smiled
at	at	at
the	the	the
remark	remark	remark
but	but	but
then	then	then
things	thing	thing
went	went	went
downhill	downhil	downhill
from	from	from
there	there	there
Reid	reid	Reid
then	then	then
took	took	took
a	a	a
veiled	veil	veiled
swipe	swipe	swipe
at	at	at
Pelosi	pelosi	Pelosi
and	and	and
you	you	you
could	could	could
see	see	see
Pelosi	pelosi	Pelosi
s	s	s
face	face	face
fall	fall	fall
There	there	There
is	is	is
still	still	still
a	a	a
contingent	conting	contingent
on	on	on
