Hello	hello	Hello
Jeff	jeff	Jeff
Sessions	session	Sessions
!	!	!
Where	where	Where
is	is	is
the	the	the
DOJ	doj	DOJ
s	s	s
leader	leader	leader
these	these	these
days	day	day
?	?	?
Something	someth	Something
tells	tell	tell
us	us	u
the	the	the
Trump	trump	Trump
Dossier	dossier	Dossier
will	will	will
end	end	end
up	up	up
being	be	being
the	the	the
bombshell	bombshel	bombshell
that	that	that
exposes	expos	expose
Comey	comey	Comey
,	,	,
Brennan	brennan	Brennan
and	and	and
Clapper	clapper	Clapper
and	and	and
all	all	all
of	of	of
the	the	the
other	other	other
criminals	crimin	criminal
who	who	who
used	use	used
this	this	this
dossier	dossier	dossier
to	to	to
spy	spi	spy
on	on	on
Trump	trump	Trump
.	.	.
Obama	obama	Obama
used	use	used
the	the	the
dossier	dossier	dossier
to	to	to
spy	spi	spy
on	on	on
Trump	trump	Trump
!	!	!
Anyone	anyon	Anyone
who	who	who
followed	follow	followed
the	the	the
Obama	obama	Obama
White	white	White
House	hous	House
intel	intel	intel
policy	polici	policy
outcomes	outcom	outcome
will	will	will
know	know	know
that	that	that
DNI	dni	DNI
Clapper	clapper	Clapper
and	and	and
CIA	cia	CIA
Director	director	Director
John	john	John
Brennan	brennan	Brennan
were	were	were
the	the	the
two	two	two
primary	primari	primary
political	polit	political
operatives	oper	operative
weaponizing	weapon	weaponizing
intelligence	intellig	intelligence
.	.	.
But	but	But
it	it	it
gets	get	get
better	better	better
Comey	comey	Comey
comes	come	come
into	into	into
play	play	play
Remember	rememb	Remember
the	the	the
bombshell	bombshel	bombshell
testimony	testimoni	testimony
of	of	of
the	the	the
Hermitage	hermitag	Hermitage
Capital	capit	Capital
CEO	ceo	CEO
where	where	where
the	the	the
origin	origin	origin
of	of	of
the	the	the
Fusion	fusion	Fusion
GPS	gps	GPS
Russian	russian	Russian
Dossier	dossier	Dossier
was	was	wa
discussed	discuss	discussed
?	?	?
CEO	ceo	CEO
Browder	browder	Browder
stated	state	stated
the	the	the
Russian	russian	Russian
government	govern	government
paid	paid	paid
Fusion	fusion	Fusion
GPS	gps	GPS
to	to	to
create	creat	create
the	the	the
Steele	steel	Steele
propaganda	propaganda	propaganda
dossier	dossier	dossier
on	on	on
candidate	candid	candidate
Donald	donald	Donald
Trump	trump	Trump
.	.	.
That	that	That
same	same	same
dossier	dossier	dossier
was	was	wa
used	use	used
by	by	by
the	the	the
FBI	fbi	FBI
in	in	in
June	june	June
July	juli	July
2016	2016	2016
to	to	to
generate	generat	generate
the	the	the
FISA	fisa	FISA
surveillance	surveil	surveillance
warrants	warrant	warrant
against	against	against
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
.	.	.
BOMBSHELL	bombshel	BOMBSHELL
Comey	comey	Comey
was	was	wa
using	use	using
propaganda	propaganda	propaganda
commissioned	commiss	commissioned
by	by	by
Russia	russia	Russia
,	,	,
funded	fund	funded
in	in	in
part	part	part
by	by	by
the	the	the
FBI	fbi	FBI
,	,	,
to	to	to
attack	attack	attack
Trump	trump	Trump
,	,	,
as	as	a
the	the	the
framework	framework	framework
to	to	to
launch	launch	launch
his	his	his
FBI	fbi	FBI
investigation	investig	investigation
into	into	into
candidate	candid	candidate
Donald	donald	Donald
Trump	trump	Trump
and	and	and
Russian	russian	Russian
collusion	collus	collusion
.	.	.
CEO	ceo	CEO
BROWDER	browder	BROWDER
S	s	S
ADMISSION	admiss	ADMISSION
BELOW	below	BELOW
This	this	This
is	is	is
getting	get	getting
good	good	good
.	.	.
What	what	What
does	doe	doe
Nunes	nune	Nunes
do	do	do
now	now	now
after	after	after
several	sever	several
attempts	attempt	attempt
at	at	at
getting	get	getting
documents	document	document
related	relat	related
to	to	to
the	the	the
dossier	dossier	dossier
?	?	?
After	after	After
two	two	two
previous	previous	previous
deadlines	deadlin	deadline
came	came	came
and	and	and
went	went	went
,	,	,
House	hous	House
Intelligence	intellig	Intelligence
Committee	committe	Committee
chairman	chairman	chairman
Devin	devin	Devin
Nunes	nune	Nunes
has	has	ha
set	set	set
a	a	a
new	new	new
date	date	date
for	for	for
the	the	the
FBI	fbi	FBI
and	and	and
Justice	justic	Justice
Department	depart	Department
to	to	to
turn	turn	turn
over	over	over
documents	document	document
relating	relat	relating
to	to	to
the	the	the
Trump	trump	Trump
dossier	dossier	dossier
.	.	.
Nunes	nune	Nunes
originally	origin	originally
subpoenaed	subpoena	subpoenaed
the	the	the
FBI	fbi	FBI
and	and	and
Justice	justic	Justice
on	on	on
Aug	aug	Aug
.	.	.
24	24	24
,	,	,
demanding	demand	demanding
dossier	dossier	dossier
documents	document	document
by	by	by
Sept	sept	Sept
.	.	.
1	1	1
.	.	.
When	when	When
none	none	none
were	were	were
produced	produc	produced
,	,	,
Nunes	nune	Nunes
agreed	agre	agreed
to	to	to
extend	extend	extend
the	the	the
deadline	deadlin	deadline
to	to	to
September	septemb	September
14	14	14
.	.	.
During	dure	During
that	that	that
time	time	time
,	,	,
arrangements	arrang	arrangement
were	were	were
made	made	made
for	for	for
intelligence	intellig	intelligence
committee	committe	committee
investigators	investig	investigator
to	to	to
visit	visit	visit
the	the	the
Justice	justic	Justice
Department	depart	Department
to	to	to
make	make	make
sure	sure	sure
officials	offici	official
on	on	on
both	both	both
sides	side	side
understood	understood	understood
precisely	precis	precisely
which	which	which
documents	document	document
the	the	the
committee	committe	committee
seeks	seek	seek
.	.	.
No	no	No
documents	document	document
were	were	were
produced	produc	produced
by	by	by
Sept	sept	Sept
.	.	.
14	14	14
,	,	,
and	and	and
now	now	now
Nunes	nune	Nunes
,	,	,
apparently	appar	apparently
unsatisfied	unsatisfi	unsatisfied
with	with	with
the	the	the
results	result	result
of	of	of
the	the	the
staff	staff	staff
meeting	meet	meeting
,	,	,
has	has	ha
sent	sent	sent
a	a	a
new	new	new
letter	letter	letter
to	to	to
FBI	fbi	FBI
Director	director	Director
Christopher	christoph	Christopher
Wray	wray	Wray
and	and	and
Attorney	attorney	Attorney
General	general	General
Jeff	jeff	Jeff
Sessions	session	Sessions
.	.	.
In	in	In
it	it	it
,	,	,
Nunes	nune	Nunes
set	set	set
a	a	a
deadline	deadlin	deadline
of	of	of
this	this	this
Friday	friday	Friday
for	for	for
the	the	the
documents	document	document
to	to	to
be	be	be
produced	produc	produced
.	.	.
If	if	If
the	the	the
documents	document	document
are	are	are
not	not	not
produced	produc	produced
by	by	by
then	then	then
,	,	,
Nunes	nune	Nunes
directed	direct	directed
that	that	that
Wray	wray	Wray
and	and	and
Sessions	session	Sessions
appear	appear	appear
in	in	in
an	an	an
open	open	open
committee	committe	committee
