Mass	mass	Mass
Live	live	Live
Ayyadurai	ayyadurai	Ayyadurai
,	,	,
who	who	who
announced	announc	announced
his	his	his
Republican	republican	Republican
U	u	U
.	.	.
S	s	S
.	.	.
Senate	senat	Senate
bid	bid	bid
in	in	in
February	februari	February
,	,	,
said	said	said
that	that	that
while	while	while
he	he	he
may	may	may
not	not	not
be	be	be
the	the	the
GOP	gop	GOP
establishment	establish	establishment
s	s	s
candidate	candid	candidate
,	,	,
his	his	his
track	track	track
record	record	record
of	of	of
overcoming	overcom	overcoming
barriers	barrier	barrier
and	and	and
fighting	fight	fighting
big	big	big
institutions	institut	institution
makes	make	make
him	him	him
the	the	the
best	best	best
person	person	person
to	to	to
take	take	take
on	on	on
the	the	the
high	high	high
-powered	-power	-powered
incumbent	incumb	incumbent
.	.	.
I	i	I
know	know	know
that	that	that
Warren	warren	Warren
in	in	in
spite	spite	spite
of	of	of
what	what	what
people	peopl	people
think	think	think
she	she	she
is	is	is
is	is	is
extremely	extrem	extremely
weak	weak	weak
,	,	,
he	he	he
said	said	said
in	in	in
an	an	an
interview	interview	interview
.	.	.
She	she	She
s	s	s
a	a	a
formidable	formid	formidable
enemy	enemi	enemy
,	,	,
but	but	but
weak	weak	weak
in	in	in
the	the	the
sense	sens	sense
that	that	that
where	where	where
she	she	she
s	s	s
fundamentally	fundament	fundamentally
coming	come	coming
from	from	from
,	,	,
her	her	her
basis	basi	basis
of	of	of
where	where	where
she	she	she
s	s	s
coming	come	coming
from	from	from
,	,	,
has	has	ha
massive	massiv	massive
weakness	weak	weakness
and	and	and
I	i	I
know	know	know
how	how	how
to	to	to
expose	expos	expose
that	that	that
weakness	weak	weakness
.	.	.
Ayyadurai	ayyadurai	Ayyadurai
,	,	,
53	53	53
,	,	,
moved	move	moved
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
from	from	from
India	india	India
as	as	a
a	a	a
child	child	child
.	.	.
He	he	He
compared	compar	compared
the	the	the
Democratic	democrat	Democratic
senator	senat	senator
and	and	and
former	former	former
Harvard	harvard	Harvard
University	univers	University
professor	professor	professor
to	to	to
those	those	those
at	at	at
the	the	the
top	top	top
of	of	of
India	india	India
s	s	s
caste	cast	caste
system	system	system
a	a	a
social	social	social
structure	structur	structure
in	in	in
which	which	which
he	he	he
said	said	said
his	his	his
family	famili	family
held	held	held
a	a	a
low	low	low
position	posit	position
.	.	.
If	if	If
you	you	you
look	look	look
at	at	at
what	what	what
we	we	we
have	have	have
today	today	today
,	,	,
we	we	we
have	have	have
a	a	a
neo	neo	neo
-caste	-cast	-caste
system	system	system
and	and	and
at	at	at
the	the	the
top	top	top
of	of	of
that	that	that
heap	heap	heap
is	is	is
people	peopl	people
like	like	like
Warren	warren	Warren
,	,	,
he	he	he
said	said	said
.	.	.
They	they	They
are	are	are
the	the	the
academics	academ	academic
,	,	,
career	career	career
politicians	politician	politician
and	and	and
lawyer	lawyer	lawyer
lobbyists	lobbyist	lobbyist
.	.	.
And	and	And
that	that	that
clan	clan	clan
is	is	is
extremely	extrem	extremely
spineless	spineless	spineless
,	,	,
they	they	they
never	never	never
expect	expect	expect
to	to	to
be	be	be
challenged	challeng	challenged
.	.	.
And	and	And
I	i	I
ve	ve	ve
challenged	challeng	challenged
them	them	them
.	.	.
Last	last	Last
month	month	month
,	,	,
Ayyadurai	ayyadurai	Ayyadurai
