Hell	hell	Hell
has	has	ha
a	a	a
special	special	special
spot	spot	spot
reserved	reserv	reserved
for	for	for
this	this	this
horrible	horribl	horrible
man	man	man
According	accord	According
to	to	to
an	an	an
article	articl	article
published	publish	published
Sunday	sunday	Sunday
by	by	by
World	world	World
Net	net	Net
Daily	daili	Daily
,	,	,
a	a	a
Princeton	princeton	Princeton
University	univers	University
professor	professor	professor
has	has	ha
suggested	suggest	suggested
that	that	that
severely	sever	severely
disabled	disabl	disabled
infants	infant	infant
be	be	be
killed	kill	killed
to	to	to
cut	cut	cut
health	health	health
care	care	care
costs	cost	cost
and	and	and
for	for	for
moral	moral	moral
reasons	reason	reason
.	.	.
In	in	In
a	a	a
radio	radio	radio
interview	interview	interview
Sunday	sunday	Sunday
with	with	with
Aaron	aaron	Aaron
Klein	klein	Klein
,	,	,
broadcast	broadcast	broadcast
on	on	on
New	new	New
York	york	York
s	s	s
AM	am	AM
970	970	970
The	the	The
Answer	answer	Answer
and	and	and
Philadelphia	philadelphia	Philadelphia
s	s	s
NewsTalk	newstalk	NewsTalk
990	990	990
AM	am	AM
,	,	,
Princeton	princeton	Princeton
University	univers	University
ethics	ethic	ethic
professor	professor	professor
Peter	peter	Peter
Singer	singer	Singer
argued	argu	argued
it	it	it
is	is	is
reasonable	reason	reasonable
for	for	for
government	govern	government
or	or	or
private	privat	private
insurance	insur	insurance
companies	compani	company
to	to	to
deny	deni	deny
treatment	treatment	treatment
to	to	to
severely	sever	severely
disabled	disabl	disabled
babies	babi	baby
.	.	.
Several	sever	Several
times	time	time
during	dure	during
the	the	the
interview	interview	interview
Singer	singer	Singer
argued	argu	argued
the	the	the
health	health	health
-care	-care	-care
system	system	system
under	under	under
Obamacare	obamacar	Obamacare
should	should	should
openly	open	openly
acknowledge	acknowledg	acknowledge
health	health	health
-care	-care	-care
rationing	ration	rationing
and	and	and
that	that	that
the	the	the
country	countri	country
should	should	should
acknowledge	acknowledg	acknowledge
the	the	the
necessity	necess	necessity
of	of	of
intentionally	intent	intentionally
ending	end	ending
the	the	the
lives	live	life
of	of	of
severely	sever	severely
disabled	disabl	disabled
infants	infant	infant
.	.	.
Singer	singer	Singer
also	also	also
repeatedly	repeat	repeatedly
referred	refer	referred
to	to	to
a	a	a
disabled	disabl	disabled
infant	infant	infant
as	as	a
it	it	it
during	dure	during
the	the	the
interview	interview	interview
.	.	.
According	accord	According
the	the	the
WND	wnd	WND
,	,	,
Singer	singer	Singer
is	is	is
well	well	well
-known	-known	-known
for	for	for
his	his	his
controversial	controversi	controversial
views	view	view
on	on	on
abortion	abort	abortion
and	and	and
infanticide	infanticid	infanticide
.	.	.
He	he	He
essentially	essenti	essentially
argues	argu	argues
the	the	the
right	right	right
to	to	to
life	life	life
is	is	is
related	relat	related
to	to	to
a	a	a
being	be	being
s	s	s
capacity	capac	capacity
for	for	for
intelligence	intellig	intelligence
and	and	and
to	to	to
hold	hold	hold
