Mike	mike	Mike
Pence	penc	Pence
is	is	is
a	a	a
devout	devout	devout
Evangelical	evangel	Evangelical
Christian	christian	Christian
.	.	.

There	there	There
s	s	s
nothing	noth	nothing
wrong	wrong	wrong
with	with	with
that	that	that
;	;	;
after	after	after
all	all	all
,	,	,
that	that	that
s	s	s
what	what	what
the	the	the
First	first	First
Amendment	amend	Amendment
is	is	is
for	for	for
.	.	.

However	howev	However
,	,	,
it	it	it
seems	seem	seems
that	that	that
Trump	trump	Trump
s	s	s
vice	vice	vice
president	presid	president
takes	take	take
his	his	his
piety	pieti	piety
to	to	to
a	a	a
whole	whole	whole
new	new	new
,	,	,
incredibly	incred	incredibly
creepy	creepi	creepy
level	level	level
.	.	.

First	first	First
,	,	,
there	there	there
is	is	is
the	the	the
way	way	way
he	he	he
treats	treat	treat
his	his	his
wife	wife	wife
.	.	.
Reports	report	Reports
of	of	of
a	a	a
dinner	dinner	dinner
Pence	penc	Pence
had	had	had
with	with	with
state	state	state
senators	senat	senator
while	while	while
he	he	he
was	was	wa
still	still	still
Governor	governor	Governor
of	of	of
Indiana	indiana	Indiana
are	are	are
most	most	most
alarming	alarm	alarming
.	.	.

Apparently	appar	Apparently
,	,	,
during	dure	during
the	the	the
dinner	dinner	dinner
,	,	,
it	it	it
was	was	wa
revealed	reveal	revealed
that	that	that
Pence	penc	Pence
actually	actual	actually
calls	call	call
his	his	his
wife	wife	wife
mother	mother	mother
.	.	.

It	it	It
seems	seem	seems
that	that	that
at	at	at
first	first	first
,	,	,
people	peopl	people
thought	thought	thought
it	it	it
was	was	wa
a	a	a
cute	cute	cute
joke	joke	joke
or	or	or
something	someth	something
,	,	,
but	but	but
then	then	then
came	came	came
to	to	to
realize	realiz	realize
that	that	that
he	he	he
was	was	wa
completely	complet	completely
serious	serious	serious
.	.	.

Pence	penc	Pence
reportedly	report	reportedly
yelled	yell	yelled
down	down	down
the	the	the
table	tabl	table
at	at	at
his	his	his
wife	wife	wife
repeatedly	repeat	repeatedly
during	dure	during
the	the	the
meal	meal	meal
.	.	.

From	from	From
Rolling	roll	Rolling
Stone	stone	Stone
Gov	gov	Gov
.	.	.

Pence	penc	Pence
shouted	shout	shouted
to	to	to
his	his	his
wife	wife	wife
,	,	,
Karen	karen	Karen
,	,	,
his	his	his
closest	closest	closest
adviser	advis	adviser
,	,	,
at	at	at
the	the	the
other	other	other
end	end	end
of	of	of
the	the	the
table	tabl	table
.	.	.

Mother	mother	Mother
,	,	,
Mother	mother	Mother
,	,	,
who	who	who
prepared	prepar	prepared
our	our	our
meal	meal	meal
this	this	this
evening	even	evening
?	?	?

The	the	The
legislators	legisl	legislator
looked	look	looked
at	at	at
one	one	one
another	anoth	another
,	,	,
speaking	speak	speaking
with	with	with
their	their	their
eyes	eye	eye
He	he	He
just	just	just
called	call	called
his	his	his
wife	wife	wife
Mother	mother	Mother
.	.	.

Maybe	mayb	Maybe
it	it	it
was	was	wa
a	a	a
joke	joke	joke
,	,	,
the	the	the
legislator	legisl	legislator
reasoned	reason	reasoned
.	.	.

But	but	But
a	a	a
few	few	few
minutes	minut	minute
later	later	later
,	,	,
Pence	penc	Pence
shouted	shout	shouted
again	again	again
.	.	.

Mother	mother	Mother
,	,	,
Mother	mother	Mother
,	,	,
whose	whose	whose
china	china	china
are	are	are
we	we	we
eating	eat	eating
on	on	on
?	?	?

Mother	mother	Mother
Pence	penc	Pence
went	went	went
on	on	on
a	a	a
long	long	long
discourse	discours	discourse
about	about	about
where	where	where
the	the	the
china	china	china
was	was	wa
from	from	from
.	.	.

A	a	A
little	littl	little
later	later	later
,	,	,
the	the	the
legislators	legisl	legislator
stumbled	stumbl	stumbled
out	out	out
,	,	,
wondering	wonder	wondering
what	what	what
was	was	wa
weirder	weirder	weirder
Pence	penc	Pence
s	s	s
inability	inabl	inability
to	to	to
