Another	anoth	Another
successful	success	successful
cleansing	cleans	cleansing
of	of	of
our	our	our
history	histori	history
like	like	like
it	it	it
or	or	or
not	not	not
what	what	what
s	s	s
next	next	next
?	?	?
Just	just	Just
a	a	a
reminder	remind	reminder
of	of	of
something	someth	something
Michelle	michell	Michelle
Obama	obama	Obama
said	said	said
in	in	in
2008	2008	2008
on	on	on
the	the	the
campaign	campaign	campaign
trail	trail	trail
in	in	in
Puerto	puerto	Puerto
Rico	rico	Rico
MICHELLE	michell	MICHELLE
OBAMA	obama	OBAMA
Barack	barack	Barack
knows	know	know
that	that	that
we	we	we
are	are	are
going	go	going
to	to	to
have	have	have
to	to	to
make	make	make
sacrifices	sacrific	sacrifice
;	;	;
we	we	we
are	are	are
going	go	going
to	to	to
have	have	have
to	to	to
change	chang	change
our	our	our
conversation	convers	conversation
;	;	;
we	we	we
re	re	re
going	go	going
to	to	to
have	have	have
to	to	to
change	chang	change
our	our	our
traditions	tradit	tradition
,	,	,
our	our	our
history	histori	history
;	;	;
we	we	we
re	re	re
going	go	going
to	to	to
have	have	have
to	to	to
move	move	move
into	into	into
a	a	a
different	differ	different
place	place	place
as	as	a
a	a	a
nation	nation	nation
.	.	.
Change	chang	Change
our	our	our
traditions	tradit	tradition
and	and	and
change	chang	change
our	our	our
history	histori	history
.	.	.
What	what	What
did	did	did
she	she	she
mean	mean	mean
by	by	by
that	that	that
?	?	?
Changing	chang	Changing
history	histori	history
means	mean	mean
not	not	not
just	just	just
telling	tell	telling
the	the	the
same	same	same
old	old	old
tall	tall	tall
tales	tale	tale
of	of	of
the	the	the
free	free	free
market	market	market
system	system	system
and	and	and
the	the	the
Founders	founder	Founders
.	.	.
No	no	No
,	,	,
it	it	it
s	s	s
the	the	the
history	histori	history
according	accord	according
to	to	to
progressives	progress	progressive
.	.	.
And	and	And
it	it	it
s	s	s
not	not	not
merely	mere	merely
spinning	spin	spinning
the	the	the
old	old	old
facts	fact	fact
;	;	;
it	it	it
s	s	s
taking	take	taking
current	current	current
events	event	event
and	and	and
molding	mold	molding
them	them	them
to	to	to
fit	fit	fit
the	the	the
progressive	progress	progressive
agenda	agenda	agenda
and	and	and
,	,	,
in	in	in
this	this	this
case	case	case
,	,	,
completely	complet	completely
ignoring	ignor	ignoring
history	histori	history
.	.	.
HERE	here	HERE
S	s	S
A	a	A
BACKWARDS	backward	BACKWARDS
TIMELINE	timelin	TIMELINE
OF	of	OF
WHAT	what	WHAT
HAPPENED	happen	HAPPENED
TODAY	today	TODAY
VIA	via	VIA
THE	the	THE
POST	post	POST
AND	and	AND
COURIER	courier	COURIER
Members	member	Members
of	of	of
the	the	the
South	south	South
Carolina	carolina	Carolina
Senate	senat	Senate
