Montel	montel	Montel
Williams	william	Williams
took	took	took
Republicans	republican	Republicans
to	to	to
the	the	the
woodshed	woodsh	woodshed
on	on	on
Saturday	saturday	Saturday
for	for	for
putting	put	putting
American	american	American
lives	live	life
in	in	in
danger	danger	danger
by	by	by
criticizing	critic	criticizing
the	the	the
Iran	iran	Iran
prisoner	prison	prisoner
swap	swap	swap
.	.	.
It	it	It
was	was	wa
a	a	a
gesture	gestur	gesture
that	that	that
Iran	iran	Iran
did	did	did
not	not	not
have	have	have
to	to	to
take	take	take
.	.	.

After	after	After
all	all	all
,	,	,
it	it	it
wasn	wasn	wasn
t	t	t
part	part	part
of	of	of
the	the	the
nuclear	nuclear	nuclear
deal	deal	deal
reached	reach	reached
with	with	with
President	presid	President
Obama	obama	Obama
and	and	and
other	other	other
world	world	world
leaders	leader	leader
last	last	last
summer	summer	summer
.	.	.

But	but	But
Iran	iran	Iran
released	releas	released
four	four	four
Iranian	iranian	Iranian
-American	-american	-American
prisoners	prison	prisoner
on	on	on
Saturday	saturday	Saturday
,	,	,
including	includ	including
Washington	washington	Washington
Post	post	Post
reporter	report	reporter
Jason	jason	Jason
Rezaian	rezaian	Rezaian
,	,	,
pastor	pastor	pastor
Saeed	saeed	Saeed
Abedini	abedini	Abedini
,	,	,
and	and	and
former	former	former
Marine	marin	Marine
Amir	amir	Amir
Hekmati	hekmati	Hekmati
,	,	,
in	in	in
exchange	exchang	exchange
for	for	for
Iranians	iranian	Iranians
imprisoned	imprison	imprisoned
in	in	in
the	the	the
United	unit	United
States	state	States
for	for	for
sanctions	sanction	sanction
-related	-relat	-related
violations	violat	violation
.	.	.
Republicans	republican	Republicans
had	had	had
demanded	demand	demanded
that	that	that
the	the	the
release	releas	release
of	of	of
the	the	the
Americans	american	Americans
be	be	be
a	a	a
condition	condit	condition
of	of	of
the	the	the
nuclear	nuclear	nuclear
deal	deal	deal
,	,	,
and	and	and
had	had	had
President	presid	President
Obama	obama	Obama
listened	listen	listened
both	both	both
efforts	effort	effort
would	would	would
have	have	have
been	been	been
put	put	put
in	in	in
jeopardy	jeopardi	jeopardy
.	.	.

Six	six	Six
months	month	month
after	after	after
the	the	the
nuclear	nuclear	nuclear
deal	deal	deal
was	was	wa
finalized	final	finalized
,	,	,
President	presid	President
Obama	obama	Obama
has	has	ha
now	now	now
successfully	success	successfully
negotiated	negoti	negotiated
an	an	an
end	end	end
to	to	to
Iran	iran	Iran
s	s	s
nuclear	nuclear	nuclear
program	program	program
and	and	and
the	the	the
release	releas	release
of	of	of
the	the	the
Americans	american	Americans
the	the	the
GOP	gop	GOP
used	use	used
as	as	a
pawns	pawn	pawn
to	to	to
sabotage	sabotag	sabotage
the	the	the
deal	deal	deal
.	.	.
But	but	But
the	the	the
good	good	good
news	news	news
didn	didn	didn
t	t	t
