Yet	yet	Yet
another	anoth	another
example	exampl	example
of	of	of
our	our	our
airline	airlin	airline
industry	industri	industry
s	s	s
awesomeness	awesom	awesomeness
occurred	occur	occurred
Friday	friday	Friday
when	when	when
an	an	an
employee	employe	employee
was	was	wa
captured	captur	captured
on	on	on
video	video	video
challenging	challeng	challenging
a	a	a
passenger	passeng	passenger
to	to	to
a	a	a
fight	fight	fight
after	after	after
a	a	a
woman	woman	woman
holding	hold	holding
a	a	a
baby	babi	baby
was	was	wa
hit	hit	hit
with	with	with
her	her	her
stroller	stroller	stroller
.	.	.

The	the	The
video	video	video
begins	begin	begin
with	with	with
the	the	the
crying	cri	cry
woman	woman	woman
holding	hold	holding
one	one	one
of	of	of
her	her	her
children	children	child
in	in	in
her	her	her
arms	arm	arm
while	while	while
begging	beg	begging
for	for	for
her	her	her
stroller	stroller	stroller
back	back	back
.	.	.
One	one	One
angry	angri	angry
witness	wit	witness
can	can	can
be	be	be
heard	heard	heard
saying	say	saying
he	he	he
s	s	s
not	not	not
going	go	going
to	to	to
sit	sit	sit
here	here	here
and	and	and
watch	watch	watch
this	this	this
before	befor	before
going	go	going
to	to	to
the	the	the
front	front	front
of	of	of
the	the	the
plane	plane	plane
to	to	to
demand	demand	demand
the	the	the
name	name	name
of	of	of
the	the	the
employee	employe	employee
who	who	who
hit	hit	hit
the	the	the
woman	woman	woman
.	.	.

Another	anoth	Another
woman	woman	woman
on	on	on
the	the	the
flight	flight	flight
can	can	can
be	be	be
heard	heard	heard
confronting	confront	confronting
the	the	the
staff	staff	staff
about	about	about
their	their	their
treatment	treatment	treatment
of	of	of
the	the	the
latest	latest	latest
victim	victim	victim
of	of	of
airline	airlin	airline
violence	violenc	violence
.	.	.

Much	much	Much
of	of	of
the	the	the
staff	staff	staff
s	s	s
conversation	convers	conversation
can	can	can
not	not	not
be	be	be
heard	heard	heard
from	from	from
the	the	the
vantage	vantag	vantage
point	point	point
of	of	of
the	the	the
person	person	person
filming	film	filming
,	,	,
but	but	but
the	the	the
gentleman	gentleman	gentleman
who	who	who
initially	initi	initially
confronted	confront	confronted
the	the	the
thugs	thug	thug
on	on	on
the	the	the
plane	plane	plane
stands	stand	stand
up	up	up
and	and	and
says	say	say
you	you	you
do	do	do
that	that	that
to	to	to
me	me	me
and	and	and
I	i	I
ll	ll	ll
knock	knock	knock
you	you	you
flat	flat	flat
.	.	.

You	you	You
stay	stay	stay
out	out	out
of	of	of
this	this	this
!	!	!

the	the	the
male	male	male
flight	flight	flight
attendant	attend	attendant
shot	shot	shot
back	back	back
.	.	.

Try	tri	Try
it	it	it
.	.	.

Hit	hit	Hit
me	me	me
.	.	.

You	you	You
don	don	don
t	t	t
know	know	know
what	what	what
the	the	the
story	stori	story
is	is	is
.	.	.

But	but	But
the	the	the
passenger	passeng	passenger
knew	knew	knew
what	what	what
the	the	the
story	stori	story
is	is	is
the	the	the
part	part	part
that	that	that
matters	matter	matter
,	,	,
anyway	anyway	anyway
I	i	I
don	don	don
t	t	t
care	care	care
what	what	what
the	the	the
story	stori	story
is	is	is
.	.	.

You	you	You
almost	almost	almost
hit	hit	hit
that	that	that
baby	babi	baby
!	!	!
Q13	q13	Q13
Fox	fox	Fox
spoke	spoke	spoke
to	to	to
some	some	some
of	of	of
the	the	the
people	peopl	people
aboard	aboard	aboard
the	the	the
plane	plane	plane
,	,	,
and	and	and
the	the	the
story	stori	story
is	is	is
just	just	just
as	as	a
terrible	terribl	terrible
as	as	a
it	it	it
seems	seem	seems
Olivia	olivia	Olivia
Morgan	morgan	Morgan
was	was	wa
standing	stand	standing
in	in	in
the	the	the
doorway	doorway	doorway
of	of	of
the	the	the
aircraft	aircraft	aircraft
with	with	with
her	her	her
8	8	8
-year-old	-year-old	-year-old
daughter	daughter	daughter
waiting	wait	waiting
to	to	to
board	board	board
when	when	when
the	the	the
altercation	alterc	altercation
happened	happen	happened
.	.	.

The	the	The
flight	flight	flight
attendant	attend	attendant
wrestled	wrestl	wrestled
the	the	the
stroller	stroller	stroller
away	away	away
from	from	from
the	the	the
woman	woman	woman
,	,	,
who	who	who
was	was	wa
sobbing	sob	sobbing
,	,	,
holding	hold	holding
one	one	one
baby	babi	baby
with	with	with
the	the	the
second	second	second
baby	babi	baby
in	in	in
a	a	a
car	car	car
seat	seat	seat
on	on	on
the	the	the
ground	ground	ground
next	next	next
to	to	to
her	her	her
,	,	,
she	she	she
said	said	said
.	.	.
Morgan	morgan	Morgan
said	said	said
the	the	the
flight	flight	flight
attendant	attend	attendant
was	was	wa
violent	violent	violent
when	when	when
taking	take	taking
the	the	the
metal	metal	metal
stroller	stroller	stroller
from	from	from
the	the	the
woman	woman	woman
and	and	and
nearly	near	nearly
hit	hit	hit
the	the	the
baby	babi	baby
with	with	with
the	the	the
stroller	stroller	stroller
.	.	.

He	he	He
stormed	storm	stormed
by	by	by
me	me	me
with	with	with
the	the	the
stroller	stroller	stroller
and	and	and
I	i	I
said	said	said
something	someth	something
like	like	like
,	,	,
What	what	What
are	are	are
you	you	you
doing	do	doing
?	?	?

You	you	You
almost	almost	almost
hit	hit	hit
that	that	that
baby	babi	baby
!	!	!

And	and	And
he	he	he
yelled	yell	yelled
at	at	at
me	me	me
to	to	to
stay	stay	stay
out	out	out
of	of	of
it	it	it
!	!	!

just	just	just
like	like	like
he	he	he
does	doe	doe
in	in	in
the	the	the
video	video	video
,	,	,
she	she	she
said	said	said
.	.	.
Morgan	morgan	Morgan
said	said	said
she	she	she
talked	talk	talked
to	to	to
the	the	the
woman	woman	woman
about	about	about
the	the	the
incident	incid	incident
.	.	.

The	the	The
woman	woman	woman
said	said	said
a	a	a
female	femal	female
flight	flight	flight
attendant	attend	attendant
told	told	told
her	her	her
she	she	she
could	could	could
look	look	look
for	for	for
space	space	space
to	to	to
store	store	store
the	the	the
stroller	stroller	stroller
because	becaus	because
it	it	it
folds	fold	fold
up	up	up
very	veri	very
small	small	small
,	,	,
but	but	but
if	if	if
there	there	there
was	was	wa
no	no	no
available	avail	available
space	space	space
,	,	,
she	she	she
would	would	would
need	need	need
to	to	to
check	check	check
it	it	it
at	at	at
the	the	the
gate	gate	gate
.	.	.

She	she	She
was	was	wa
looking	look	looking
for	for	for
space	space	space
when	when	when
the	the	the
male	male	male
attendant	attend	attendant
tried	tri	tried
to	to	to
take	take	take
it	it	it
away	away	away
from	from	from
her	her	her
and	and	and
she	she	she
said	said	said
she	she	she
told	told	told
him	him	him
the	the	the
other	other	other
attendant	attend	attendant
had	had	had
told	told	told
her	her	her
it	it	it
was	was	wa
okay	okay	okay
to	to	to
look	look	look
,	,	,
she	she	she
said	said	said
.	.	.
According	accord	According
to	to	to
the	the	the
American	american	American
Airlines	airlin	Airlines
website	websit	website
,	,	,
small	small	small
strollers	stroller	stroller
can	can	can
be	be	be
checked	check	checked
at	at	at
the	the	the
gate	gate	gate
but	but	but
there	there	there
is	is	is
no	no	no
policy	polici	policy
about	about	about
strollers	stroller	stroller
in	in	in
the	the	the
overhead	overhead	overhead
bin	bin	bin
.	.	.

The	the	The
lady	ladi	lady
and	and	and
her	her	her
two	two	two
children	children	child
were	were	were
seated	seat	seated
near	near	near
the	the	the
back	back	back
of	of	of
the	the	the
plane	plane	plane
.	.	.

She	she	She
was	was	wa
somehow	somehow	somehow
able	abl	able
to	to	to
get	get	get
her	her	her
stroller	stroller	stroller
on	on	on
board	board	board
and	and	and
back	back	back
near	near	near
her	her	her
seat	seat	seat
,	,	,
said	said	said
Tom	tom	Tom
Watson	watson	Watson
,	,	,
who	who	who
was	was	wa
sitting	sit	sitting
just	just	just
behind	behind	behind
the	the	the
first	first	first
class	class	class
section	section	section
when	when	when
the	the	the
staff	staff	staff
went	went	went
insane	insan	insane
.	.	.

She	she	She
refused	refus	refused
to	to	to
let	let	let
him	him	him
take	take	take
it	it	it
and	and	and
she	she	she
was	was	wa
almost	almost	almost
to	to	to
the	the	the
point	point	point
of	of	of
shouting	shout	shouting
.	.	.

The	the	The
flight	flight	flight
attendant	attend	attendant
and	and	and
the	the	the
woman	woman	woman
started	start	started
making	make	making
their	their	their
way	way	way
to	to	to
the	the	the
front	front	front
of	of	of
the	the	the
plane	plane	plane
.	.	.

They	they	They
were	were	were
at	at	at
the	the	the
front	front	front
of	of	of
the	the	the
plane	plane	plane
near	near	near
the	the	the
crew	crew	crew
area	area	area
.	.	.

The	the	The
woman	woman	woman
was	was	wa
holding	hold	holding
on	on	on
to	to	to
the	the	the
stroller	stroller	stroller
and	and	and
refusing	refus	refusing
to	to	to
let	let	let
go	go	go
,	,	,
he	he	he
continued	continu	continued
,	,	,
adding	ad	adding
that	that	that
The	the	The
flight	flight	flight
attendant	attend	attendant
should	should	should
not	not	not
have	have	have
been	been	been
so	so	so
aggressive	aggress	aggressive
and	and	and
should	should	should
have	have	have
been	been	been
more	more	more
aware	awar	aware
of	of	of
the	the	the
kids	kid	kid
.	.	.

He	he	He
then	then	then
says	say	say
the	the	the
woman	woman	woman
was	was	wa
escorted	escort	escorted
off	off	off
the	the	the
plane	plane	plane
.	.	.
Fortunately	fortun	Fortunately
,	,	,
American	american	American
Airlines	airlin	Airlines
seems	seem	seems
to	to	to
have	have	have
learned	learn	learned
from	from	from
United	unit	United
s	s	s
numerous	numer	numerous
blunders	blunder	blunder
following	follow	following
employees	employe	employee
assault	assault	assault
on	on	on
a	a	a
doctor	doctor	doctor
.	.	.

Rather	rather	Rather
than	than	than
attempt	attempt	attempt
to	to	to
blame	blame	blame
the	the	the
woman	woman	woman
,	,	,
the	the	the
company	compani	company
released	releas	released
a	a	a
statement	statement	statement
announcing	announc	announcing
that	that	that
the	the	the
employee	employe	employee
has	has	ha
been	been	been
suspended	suspend	suspended
not	not	not
terminated	termin	terminated
though	though	though
We	we	We
have	have	have
seen	seen	seen
the	the	the
video	video	video
and	and	and
have	have	have
already	alreadi	already
started	start	started
an	an	an
investigation	investig	investigation
to	to	to
obtain	obtain	obtain
the	the	the
facts	fact	fact
.	.	.

What	what	What
we	we	we
see	see	see
on	on	on
this	this	this
video	video	video
does	doe	doe
not	not	not
reflect	reflect	reflect
our	our	our
values	valu	value
or	or	or
how	how	how
we	we	we
care	care	care
for	for	for
our	our	our
customers	custom	customer
.	.	.

We	we	We
are	are	are
deeply	deepli	deeply
sorry	sorri	sorry
for	for	for
the	the	the
pain	pain	pain
we	we	we
have	have	have
caused	caus	caused
this	this	this
passenger	passeng	passenger
and	and	and
her	her	her
family	famili	family
and	and	and
to	to	to
any	ani	any
other	other	other
customers	custom	customer
affected	affect	affected
by	by	by
the	the	the
incident	incid	incident
.	.	.

We	we	We
are	are	are
making	make	making
sure	sure	sure
all	all	all
of	of	of
her	her	her
family	famili	family
s	s	s
needs	need	need
are	are	are
being	be	being
met	met	met
while	while	while
she	she	she
is	is	is
in	in	in
our	our	our
care	care	care
.	.	.

After	after	After
electing	elect	electing
to	to	to
take	take	take
another	anoth	another
flight	flight	flight
,	,	,
we	we	we
are	are	are
taking	take	taking
special	special	special
care	care	care
of	of	of
her	her	her
and	and	and
her	her	her
family	famili	family
and	and	and
upgrading	upgrad	upgrading
them	them	them
to	to	to
first	first	first
class	class	class
for	for	for
the	the	the
remainder	remaind	remainder
of	of	of
their	their	their
international	intern	international
trip	trip	trip
.	.	.
The	the	The
actions	action	action
of	of	of
our	our	our
team	team	team
member	member	member
captured	captur	captured
here	here	here
do	do	do
not	not	not
appear	appear	appear
to	to	to
reflect	reflect	reflect
patience	patienc	patience
or	or	or
empathy	empathi	empathy
,	,	,
two	two	two
values	valu	value
necessary	necessari	necessary
for	for	for
customer	custom	customer
care	care	care
.	.	.

In	in	In
short	short	short
,	,	,
we	we	we
are	are	are
disappointed	disappoint	disappointed
by	by	by
these	these	these
actions	action	action
.	.	.

The	the	The
American	american	American
team	team	team
member	member	member
has	has	ha
been	been	been
removed	remov	removed
from	from	from
duty	duti	duty
while	while	while
we	we	we
immediately	immedi	immediately
investigate	investig	investigate
this	this	this
incident	incid	incident
.	.	.
The	the	The
woman	woman	woman
had	had	had
to	to	to
take	take	take
another	anoth	another
flight	flight	flight
,	,	,
but	but	but
was	was	wa
given	given	given
upgraded	upgrad	upgraded
accommodations	accommod	accommodation
.	.	.
Watch	watch	Watch
video	video	video
shot	shot	shot
directly	direct	directly
following	follow	following
the	the	the
attack	attack	attack
below	below	below
Featured	featur	Featured
image	imag	image
via	via	via
screengrab	screengrab	screengrab

