Remember	rememb	Remember
when	when	when
the	the	the
media	media	medium
used	use	used
to	to	to
think	think	think
they	they	they
controlled	control	controlled
the	the	the
narrative	narrat	narrative
?	?	?

That	that	That
was	was	wa
before	befor	before
President	presid	President
Trump	trump	Trump
,	,	,
and	and	and
his	his	his
badass	badass	badass
communications	communic	communication
staff	staff	staff
decided	decid	decided
this	this	this
administration	administr	administration
wasn	wasn	wasn
t	t	t
going	go	going
to	to	to
be	be	be
conducting	conduct	conducting
business	busi	business
as	as	a
usual	usual	usual
.	.	.

The	the	The
days	day	day
of	of	of
the	the	the
media	media	medium
bullying	bulli	bullying
Republicans	republican	Republicans
into	into	into
submission	submiss	submission
are	are	are
coming	come	coming
to	to	to
an	an	an
end	end	end
.	.	.

And	and	And
for	for	for
that	that	that
monumental	monument	monumental
achievement	achiev	achievement
,	,	,
we	we	we
can	can	can
all	all	all
thank	thank	thank
the	the	the
very	veri	very
courageous	courag	courageous
and	and	and
determined	determin	determined
President	presid	President
Trump	trump	Trump
Scaramucci	scaramucci	Scaramucci
promised	promis	promised
the	the	the
heads	head	head
of	of	of
White	white	White
House	hous	House
leakers	leaker	leaker
would	would	would
roll	roll	roll
.	.	.

He	he	He
clearly	clear	clearly
wasn	wasn	wasn
t	t	t
kidding	kid	kidding
It	it	It
was	was	wa
announced	announc	announced
yesterday	yesterday	yesterday
,	,	,
that	that	that
suspected	suspect	suspected
leaker	leaker	leaker
Michael	michael	Michael
Short	short	Short
had	had	had
been	been	been
terminated	termin	terminated
from	from	from
the	the	the
White	white	White
House	hous	House
communications	communic	communication
office	offic	office
.	.	.
Short	short	Short
,	,	,
an	an	an
ally	alli	ally
of	of	of
White	white	White
House	hous	House
chief	chief	chief
of	of	of
staff	staff	staff
Reince	reinc	Reince
Priebus	priebus	Priebus
and	and	and
now	now	now
former	former	former
Press	press	Press
Secretary	secretari	Secretary
Sean	sean	Sean
Spicer	spicer	Spicer
who	who	who
resigned	resign	resigned
last	last	last
week	week	week
was	was	wa
terminated	termin	terminated
on	on	on
Tuesday	tuesday	Tuesday
by	by	by
new	new	new
White	white	White
House	hous	House
communications	communic	communication
director	director	director
Anthony	anthoni	Anthony
Scaramucci	scaramucci	Scaramucci
.	.	.
This	this	This
morning	morn	morning
,	,	,
White	white	White
House	hous	House
communications	communic	communication
director	director	director
Anthony	anthoni	Anthony
Scaramucci	scaramucci	Scaramucci
told	told	told
Chris	chris	Chris
Cuomo	cuomo	Cuomo
that	that	that
I	i	I
m	m	m
straightly	straight	straightly
not	not	not
answering	answer	answering
your	your	your
question	question	question
when	when	when
the	the	the
CNN	cnn	CNN
host	host	host
asked	ask	asked
about	about	about
the	the	the
resignation	resign	resignation
Tuesday	tuesday	Tuesday
of	of	of
senior	senior	senior
assistant	assist	assistant
press	press	press
secretary	secretari	secretary
Michael	michael	Michael
Short	short	Short
.	.	.

Watch	watch	Watch
Scaramucci	scaramucci	Scaramucci
said	said	said
that	that	that
someone	someon	someone
above	abov	above
his	his	his
rank	rank	rank
wanted	want	wanted
Short	short	Short
out	out	out
of	of	of
his	his	his
White	white	White
House	hous	House
position	posit	position
.	.	.

When	when	When
Cuomo	cuomo	Cuomo
asked	ask	asked
Scaramucci	scaramucci	Scaramucci
who	who	who
