Having	have	Having
lived	live	lived
through	through	through
an	an	an
assassination	assassin	assassination
attempt	attempt	attempt
herself	herself	herself
,	,	,
former	former	former
Rep	rep	Rep
.	.	.
Gabby	gabbi	Gabby
Giffords	gifford	Giffords
D	d	D
-AZ	-az	-AZ
understands	understand	understands
the	the	the
seriousness	serious	seriousness
of	of	of
Trump	trump	Trump
s	s	s
most	most	most
recent	recent	recent
remarks	remark	remark
and	and	and
his	his	his
invitation	invit	invitation
to	to	to
violence	violenc	violence
.	.	.
In	in	In
a	a	a
statement	statement	statement
released	releas	released
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
Giffords	gifford	Giffords
flayed	flay	flayed
Trump	trump	Trump
for	for	for
inciting	incit	inciting
bloodshed	bloodsh	bloodshed
when	when	when
he	he	he
suggested	suggest	suggested
that	that	that
Second	second	Second
Amendment	amend	Amendment
people	peopl	people
could	could	could
stop	stop	stop
Clinton	clinton	Clinton
from	from	from
reaching	reach	reaching
the	the	the
White	white	White
House	hous	House
and	and	and
subsequently	subsequ	subsequently
appointing	appoint	appointing
Supreme	suprem	Supreme
Court	court	Court
justices	justic	justice
that	that	that
will	will	will
take	take	take
away	away	away
everyone	everyon	everyone
s	s	s
guns	gun	gun
.	.	.
In	in	In
the	the	the
powerful	power	powerful
statement	statement	statement
,	,	,
Giffords	gifford	Giffords
and	and	and
her	her	her
husband	husband	husband
,	,	,
former	former	former
astronaut	astronaut	astronaut
Mark	mark	Mark
Kelly	kelli	Kelly
,	,	,
told	told	told
Americans	american	Americans
that	that	that
they	they	they
must	must	must
draw	draw	draw
a	a	a
bright	bright	bright
red	red	red
line	line	line
in	in	in
the	the	the
sand	sand	sand
between	between	between
political	polit	political
rhetoric	rhetor	rhetoric
and	and	and
inciting	incit	inciting
violence	violenc	violence
.	.	.
Responsible	respons	Responsible
,	,	,
stable	stabl	stable
individuals	individu	individual
won	won	won
t	t	t
take	take	take
Trump	trump	Trump
s	s	s
rhetoric	rhetor	rhetoric
to	to	to
its	it	it
literal	liter	literal
end	end	end
,	,	,
but	but	but
his	his	his
words	word	word
may	may	may
provide	provid	provide
a	a	a
magnet	magnet	magnet
for	for	for
those	those	those
seeking	seek	seeking
infamy	infami	infamy
,	,	,
their	their	their
statement	statement	statement
read	read	read
.	.	.
They	they	They
may	may	may
provide	provid	provide
inspiration	inspir	inspiration
or	or	or
permission	permiss	permission
for	for	for
those	those	those
bent	bent	bent
on	on	on
bloodshed	bloodsh	bloodshed
.	.	.
They	they	They
continued	continu	continued
,	,	,
urging	urg	urging
Trump	trump	Trump
supporters	support	supporter
,	,	,
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
himself	himself	himself
,	,	,
and	and	and
Americans	american	Americans
in	in	in
general	general	general
to	to	to
unambiguously	unambigu	unambiguously
condemn	condemn	condemn
these	these	these
remarks	remark	remark
and	and	and
the	the	the
violence	violenc	violence
they	they	they
insinuate	insinu	insinuate
.	.	.
You	you	You
can	can	can
read	read	read
her	her	her
full	full	full
statement	statement	statement
here	here	here
Donald	donald	Donald
Trump	trump	Trump
might	might	might
astound	astound	astound
Americans	american	Americans
on	on	on
a	a	a
routine	routin	routine
basis	basi	basis
,	,	,
but	but	but
