Vermont	vermont	Vermont
Senator	senat	Senator
Bernie	berni	Bernie
Sanders	sander	Sanders
has	has	ha
been	been	been
a	a	a
nightmare	nightmar	nightmare
for	for	for
the	the	the
GOP	gop	GOP
ever	ever	ever
since	sinc	since
he	he	he
announced	announc	announced
his	his	his
presidential	presidenti	presidential
campaign	campaign	campaign
.	.	.

With	with	With
his	his	his
amazing	amaz	amazing
ability	abil	ability
to	to	to
connect	connect	connect
with	with	with
progressives	progress	progressive
and	and	and
activists	activist	activist
in	in	in
America	america	America
,	,	,
Sanders	sander	Sanders
has	has	ha
been	been	been
a	a	a
massive	massiv	massive
thorn	thorn	thorn
in	in	in
the	the	the
Republican	republican	Republican
Party	parti	Party
s	s	s
side	side	side
as	as	a
he	he	he
routinely	routin	routinely
dismantles	dismantl	dismantles
every	everi	every
crooked	crook	crooked
policy	polici	policy
they	they	they
try	tri	try
to	to	to
enact	enact	enact
.	.	.
The	the	The
Republican	republican	Republican
Party	parti	Party
s	s	s
latest	latest	latest
disastrous	disastr	disastrous
move	move	move
is	is	is
their	their	their
Obamacare	obamacar	Obamacare
replacement	replac	replacement
plan	plan	plan
,	,	,
which	which	which
has	has	ha
attracted	attract	attracted
criticism	critic	criticism
from	from	from
the	the	the
second	second	second
it	it	it
was	was	wa
announced	announc	announced
.	.	.

It	it	It
only	onli	only
makes	make	make
sense	sens	sense
that	that	that
Sanders	sander	Sanders
would	would	would
weigh	weigh	weigh
in	in	in
on	on	on
such	such	such
a	a	a
repulsive	repuls	repulsive
move	move	move
,	,	,
and	and	and
it	it	it
only	onli	only
took	took	took
him	him	him
82	82	82
seconds	second	second
to	to	to
dismantle	dismantl	dismantle
what	what	what
House	hous	House
Speaker	speaker	Speaker
Paul	paul	Paul
Ryan	ryan	Ryan
wants	want	want
to	to	to
use	use	use
to	to	to
replace	replac	replace
Obamacare	obamacar	Obamacare
.	.	.
On	on	On
CBS	cbs	CBS
s	s	s
Face	face	Face
The	the	The
Nation	nation	Nation
,	,	,
Sanders	sander	Sanders
gave	gave	gave
a	a	a
damning	damn	damning
response	respons	response
to	to	to
a	a	a
question	question	question
about	about	about
whether	whether	whether
or	or	or
not	not	not
the	the	the
GOP	gop	GOP
s	s	s
replacement	replac	replacement
would	would	would
get	get	get
51	51	51
votes	vote	vote
in	in	in
the	the	the
Senate	senat	Senate
.	.	.

He	he	He
said	said	said
I	i	I
hope	hope	hope
not	not	not
.	.	.

It	it	It
is	is	is
an	an	an
absolute	absolut	absolute
disaster	disast	disaster
.	.	.

It	it	It
is	is	is
a	a	a
disgrace	disgrac	disgrace
,	,	,
and	and	and
by	by	by
the	the	the
way	way	way
