Sam	sam	Sam
Brownback	brownback	Brownback
and	and	and
the	the	the
current	current	current
GOP	gop	GOP
-led	-led	-led
Kansas	kansa	Kansas
legislature	legislatur	legislature
have	have	have
all	all	all
but	but	but
destroyed	destroy	destroyed
Kansas	kansa	Kansas
.	.	.
It	it	It
s	s	s
so	so	so
bad	bad	bad
that	that	that
a	a	a
coalition	coalit	coalition
of	of	of
former	former	former
Kansas	kansa	Kansas
governors	governor	governor
,	,	,
along	along	along
with	with	with
current	current	current
political	polit	political
leaders	leader	leader
,	,	,
is	is	is
working	work	working
to	to	to
raise	rais	raise
money	money	money
to	to	to
oppose	oppos	oppose
Brownback	brownback	Brownback
s	s	s
disastrous	disastr	disastrous
policies	polici	policy
before	befor	before
they	they	they
wipe	wipe	wipe
Kansas	kansa	Kansas
off	off	off
the	the	the
map	map	map
entirely	entir	entirely
.	.	.
They	they	They
re	re	re
called	call	called
the	the	the
Save	save	Save
Kansas	kansa	Kansas
Coalition	coalit	Coalition
,	,	,
and	and	and
they	they	they
re	re	re
not	not	not
all	all	all
Democrats	democrat	Democrats
.	.	.
Not	not	Not
by	by	by
far	far	far
.	.	.
The	the	The
main	main	main
problem	problem	problem
is	is	is
that	that	that
the	the	the
state	state	state
cut	cut	cut
taxes	tax	tax
to	to	to
try	tri	try
and	and	and
turn	turn	turn
Kansas	kansa	Kansas
into	into	into
the	the	the
bastion	bastion	bastion
of	of	of
business	busi	business
and	and	and
tourism	tourism	tourism
that	that	that
Texas	texa	Texas
and	and	and
Florida	florida	Florida
supposedly	suppos	supposedly
are	are	are
,	,	,
but	but	but
that	that	that
failed	fail	failed
miserably	miser	miserably
and	and	and
now	now	now
the	the	the
state	state	state
is	is	is
worse	wors	worse
than	than	than
broke	broke	broke
.	.	.
To	to	To
fight	fight	fight
to	to	to
get	get	get
Kansas	kansa	Kansas
back	back	back
on	on	on
track	track	track
,	,	,
former	former	former
Democratic	democrat	Democratic
governors	governor	governor
Kathleen	kathleen	Kathleen
Sebelius	sebelius	Sebelius
and	and	and
John	john	John
Carlin	carlin	Carlin
are	are	are
joined	join	joined
by	by	by
former	former	former
Republican	republican	Republican
governors	governor	governor
Mike	mike	Mike
Hayden	hayden	Hayden
and	and	and
Bill	bill	Bill
Graves	grave	Graves
,	,	,
and	and	and
all	all	all
four	four	four
are	are	are
working	work	working
to	to	to
educate	educ	educate
Kansas	kansa	Kansas
public	public	public
about	about	about
what	what	what
s	s	s
actually	actual	actually
happening	happen	happening
versus	versus	versus
what	what	what
Brownback	brownback	Brownback
wants	want	want
people	peopl	people
to	to	to
think	think	think
is	is	is
happening	happen	happening
.	.	.
They	they	They
can	can	can
t	t	t
even	even	even
fund	fund	fund
their	their	their
schools	school	school
halfway	halfway	halfway
properly	proper	properly
because	becaus	because
their	their	their
budget	budget	budget
is	is	is
such	such	such
a	a	a
mess	mess	mess
.	.	.
The	the	The
Save	save	Save
Kansas	kansa	Kansas
Coalition	coalit	Coalition
wants	want	want
balanced	balanc	balanced
taxes	tax	tax
,	,	,
high	high	high
-quality	-qualiti	-quality
public	public	public
education	educ	education
,	,	,
and	and	and
access	access	access
to	to	to
healthcare	healthcar	healthcare
,	,	,
along	along	along
with	with	with
judicial	judici	judicial
impartiality	imparti	impartiality
,	,	,
safer	safer	safer
highways	highway	highway
,	,	,
and	and	and
job	job	job
growth	growth	growth
.	.	.
Brownback	brownback	Brownback
s	s	s
policies	polici	policy
are	are	are
not	not	not
conducive	conduc	conducive
to	to	to
any	ani	any
of	of	of
this	this	this
.	.	.
He	he	He
s	s	s
a	a	a
hardcore	hardcor	hardcore
,	,	,
balanced	balanc	balanced
-budget	-budget	-budget
,	,	,
cutting	cut	cutting
-taxes-will-stimulate-the-economy-so-we-can-balance-the-budget	-taxes-will-stimulate-the-economy-so-we-can-balance-the-budget	-taxes-will-stimulate-the-economy-so-we-can-balance-the-budget
Republican	republican	Republican
who	who	who
doesn	doesn	doesn
t	t	t
get	get	get
it	it	it
.	.	.
In	in	In
fact	fact	fact
,	,	,
his	his	his
policies	polici	policy
have	have	have
driven	driven	driven
some	some	some
business	busi	business
out	out	out
of	of	of
the	the	the
state	state	state
.	.	.
One	one	One
such	such	such
business	busi	business
owner	owner	owner
,	,	,
Jeff	jeff	Jeff
Blackwood	blackwood	Blackwood
,	,	,
is	is	is
working	work	working
to	to	to
relocate	reloc	relocate
his	his	his
business	busi	business
onto	onto	onto
the	the	the
Missouri	missouri	Missouri
side	side	side
of	of	of
Kansas	kansa	Kansas
City	citi	City
,	,	,
saying	say	saying
I	i	I
can	can	can
t	t	t
,	,	,
in	in	in
good	good	good
conscience	conscienc	conscience
,	,	,
continue	continu	continue
to	to	to
give	give	give
our	our	our
