Mainstream	mainstream	Mainstream
news	news	news
channels	channel	channel
rarely	rare	rarely
draw	draw	draw
attention	attent	attention
to	to	to
the	the	the
negative	negat	negative
side	side	side
of	of	of
abortion	abort	abortion
,	,	,
but	but	but
CBS	cbs	CBS
News	news	News
did	did	did
so	so	so
this	this	this
week	week	week
with	with	with
a	a	a
report	report	report
about	about	about
Iceland	iceland	Iceland
s	s	s
near	near	near
100	100	100
-percent	-percent	-percent
abortion	abort	abortion
rate	rate	rate
for	for	for
babies	babi	baby
with	with	with
Down	down	Down
syndrome	syndrom	syndrome
.	.	.

few	few	few
countries	countri	country
have	have	have
come	come	come
as	as	a
close	close	close
to	to	to
eradicating	erad	eradicating
Down	down	Down
syndrome	syndrom	syndrome
births	birth	birth
as	as	a
Iceland	iceland	Iceland
,	,	,
the	the	the
report	report	report
begins	begin	begin
.	.	.

Since	sinc	Since
prenatal	prenat	prenatal
screening	screen	screening
tests	test	test
were	were	were
introduced	introduc	introduced
in	in	in
Iceland	iceland	Iceland
in	in	in
the	the	the
early	earli	early
2000s	2000s	2000s
,	,	,
the	the	the
vast	vast	vast
majority	major	majority
of	of	of
women	women	woman
close	close	close
to	to	to
100	100	100
percent	percent	percent
who	who	who
received	receiv	received
a	a	a
positive	posit	positive
test	test	test
for	for	for
Down	down	Down
syndrome	syndrom	syndrome
terminated	termin	terminated
their	their	their
pregnancy	pregnanc	pregnancy
.	.	.

Just	just	Just
a	a	a
handful	hand	handful
of	of	of
children	children	child
with	with	with
Down	down	Down
syndrome	syndrom	syndrome
have	have	have
been	been	been
born	born	born
in	in	in
Iceland	iceland	Iceland
in	in	in
the	the	the
past	past	past
decade	decad	decade
.	.	.

Two	two	Two
are	are	are
born	born	born
each	each	each
year	year	year
,	,	,
on	on	on
average	averag	average
,	,	,
but	but	but
the	the	the
rest	rest	rest
are	are	are
killed	kill	killed
in	in	in
the	the	the
womb	womb	womb
.	.	.

For	for	For
most	most	most
of	of	of
the	the	the
children	children	child
who	who	who
were	were	were
born	born	born
,	,	,
their	their	their
mothers	mother	mother
decided	decid	decided
not	not	not
to	to	to
have	have	have
prenatal	prenat	prenatal
screening	screen	screening
tests	test	test
.	.	.
This	this	This
deadly	dead	deadly
discrimination	discrimin	discrimination
against	against	against
babies	babi	baby
with	with	with
disabilities	disabl	disability
is	is	is
a	a	a
problem	problem	problem
in	in	in
countries	countri	country
across	across	across
the	the	the
world	world	world
,	,	,
not	not	not
just	just	just
Iceland	iceland	Iceland
.	.	.

In	in	In
2014	2014	2014
,	,	,
the	the	the
Danish	danish	Danish
government	govern	government
reported	report	reported
98	98	98
percent	percent	percent
of	of	of
unborn	unborn	unborn
babies	babi	baby
who	who	who
tested	test	tested
positive	posit	positive
for	for	for
Down	down	Down
syndrome	syndrom	syndrome
were	were	were
aborted	abort	aborted
.	.	.

CBS	cbs	CBS
reports	report	report
the	the	the
rate	rate	rate
in	in	in
France	franc	France
was	was	wa
77	77	77
percent	percent	percent
in	in	in
2015	2015	2015
,	,	,
90	90	90
percent	percent	percent
in	in	in
the	the	the
United	unit	United
Kingdom	kingdom	Kingdom
and	and	and
67	67	67
percent	percent	percent
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
between	between	between
1995	1995	1995
and	and	and
2011	2011	2011
.	.	.

Some	some	Some
put	put	put
the	the	the
rate	rate	rate
even	even	even
higher	higher	higher
in	in	in
the	the	the
United	unit	United
States	state	States
,	,	,
but	but	but
it	it	it
is	is	is
difficult	difficult	difficult
to	to	to
determine	determin	determine
the	the	the
exact	exact	exact
number	number	number
because	becaus	because
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
does	doe	doe
not	not	not
keep	keep	keep
detailed	detail	detailed
statistics	statist	statistic
about	about	about
