Two	two	Two
pasty	pasti	pasty
white	white	white
Republican	republican	Republican
men	men	men
decided	decid	decided
that	that	that
out	out	out
of	of	of
every	everi	every
problem	problem	problem
that	that	that
exists	exist	exists
in	in	in
their	their	their
state	state	state
of	of	of
Illinois	illinoi	Illinois
,	,	,
the	the	the
biggest	biggest	biggest
concern	concern	concern
for	for	for
lawmakers	lawmak	lawmaker
should	should	should
be	be	be
focusing	focus	focusing
on	on	on
actively	activ	actively
harming	harm	harming
the	the	the
lives	live	life
of	of	of
single	singl	single
mothers	mother	mother
and	and	and
children	children	child
.	.	.
John	john	John
D	d	D
.	.	.

Cavaletto	cavaletto	Cavaletto
and	and	and
Keith	keith	Keith
Wheeler	wheeler	Wheeler
,	,	,
filed	file	filed
a	a	a
bill	bill	bill
HB6064	hb6064	HB6064
to	to	to
deny	deni	deny
any	ani	any
form	form	form
of	of	of
state	state	state
aid	aid	aid
to	to	to
a	a	a
child	child	child
,	,	,
if	if	if
that	that	that
child	child	child
does	doe	doe
not	not	not
have	have	have
a	a	a
father	father	father
s	s	s
name	name	name
on	on	on
their	their	their
birth	birth	birth
certificate	certif	certificate
.	.	.

The	the	The
proposed	propos	proposed
law	law	law
makes	make	make
an	an	an
allowance	allow	allowance
for	for	for
another	anoth	another
family	famili	family
member	member	member
to	to	to
be	be	be
substituted	substitut	substituted
who	who	who
will	will	will
provide	provid	provide
financial	financi	financial
support	support	support
for	for	for
the	the	the
child	child	child
if	if	if
a	a	a
father	father	father
can	can	can
t	t	t
or	or	or
won	won	won
t	t	t
be	be	be
listed	list	listed
.	.	.
A	a	A
portion	portion	portion
of	of	of
the	the	the
bill	bill	bill
reads	read	read
as	as	a
below	below	below
Provides	provid	Provides
that	that	that
if	if	if
the	the	the
unmarried	unmarri	unmarried
mother	mother	mother
cannot	cannot	cannot
or	or	or
refuses	refus	refuse
to	to	to
name	name	name
the	the	the
child	child	child
s	s	s
father	father	father
,	,	,
either	either	either
a	a	a
father	father	father
must	must	must
be	be	be
conclusively	conclus	conclusively
established	establish	established
by	by	by
DNA	dna	DNA
evidence	evid	evidence
or	or	or
,	,	,
within	within	within
30	30	30
days	day	day
after	after	after
birth	birth	birth
,	,	,
another	anoth	another
family	famili	family
member	member	member
who	who	who
will	will	will
financially	financi	financially
provide	provid	provide
for	for	for
the	the	the
child	child	child
must	must	must
be	be	be
named	name	named
,	,	,
in	in	in
court	court	court
,	,	,
on	on	on
the	the	the
birth	birth	birth
certificate	certif	certificate
.	.	.

Provides	provid	Provides
that	that	that
absent	absent	absent
DNA	dna	DNA
evidence	evid	evidence
or	or	or
a	a	a
family	famili	family
member	member	member
s	s	s
name	name	name
,	,	,
a	a	a
birth	birth	birth
certificate	certif	certificate
will	will	will
not	not	not
be	be	be
issued	issu	issued
and	and	and
the	the	the
mother	mother	mother
will	will	will
be	be	be
ineligible	inelig	ineligible
for	for	for
financial	financi	financial
aid	aid	aid
from	from	from
the	the	the
State	state	State
for	for	for
support	support	support
of	of	of
the	the	the
child	child	child
.	.	.

Source	sourc	Source
ChicagoistSo	chicagoistso	ChicagoistSo
basically	basic	basically
what	what	what
Republicans	republican	Republicans
are	are	are
trying	tri	trying
to	to	to
do	do	do
,	,	,
it	it	it
seems	seem	seems
,	,	,
is	is	is
completely	complet	completely
abolish	abolish	abolish
all	all	all
welfare	welfar	welfare
by	by	by
either	either	either
saying	say	saying
you	you	you
don	don	don
t	t	t
need	need	need
it	it	it
because	becaus	because
you	you	you
have	have	have
a	a	a
financial	financi	financial
benefactor	benefactor	benefactor
listed	list	listed
or	or	or
you	you	you
don	don	don
t	t	t
get	get	get
any	ani	any
because	becaus	because
you	you	you
don	don	don
t	t	t
have	have	have
someone	someon	someone
to	to	to
pay	pay	pay
for	for	for
your	your	your
child	child	child
s	s	s
needs	need	need
.	.	.

What	what	What
the	the	the
hell	hell	hell
kind	kind	kind
of	of	of
logic	logic	logic
is	is	is
that	that	that
?	?	?
This	this	This
is	is	is
not	not	not
the	the	the
first	first	first
time	time	time
Republicans	republican	Republicans
have	have	have
attempted	attempt	attempted
to	to	to
actively	activ	actively
sabotage	sabotag	sabotage
the	the	the
lives	live	life
of	of	of
women	women	woman
and	and	and
children	children	child
who	who	who
are	are	are
in	in	in
the	the	the
most	most	most
desperate	desper	desperate
of	of	of
need	need	need
.	.	.

Last	last	Last
year	year	year
,	,	,
State	state	State
Rep	rep	Rep
.	.	.

Jeanne	jeann	Jeanne
Ives	ive	Ives
made	made	made
remarks	remark	remark
along	along	along
a	a	a
similar	similar	similar
theme	theme	theme
during	dure	during
a	a	a
budget	budget	budget
-related	-relat	-related
debate	debat	debate
You	you	You
need	need	need
to	to	to
have	have	have
verifiable	verifi	verifiable
need	need	need
.	.	.

You	you	You
better	better	better
know	know	know
who	who	who
the	the	the
daddy	daddi	daddy
is	is	is
and	and	and
whether	whether	whether
or	or	or
not	not	not
he	he	he
can	can	can
afford	afford	afford
that	that	that
child	child	child
and	and	and
whether	whether	whether
or	or	or
not	not	not
the	the	the
taxpayers	taxpay	taxpayer
should	should	should
be	be	be
funding	fund	funding
that	that	that
or	or	or
if	if	if
there	there	there
s	s	s
actual	actual	actual
child	child	child
support	support	support
he	he	he
can	can	can
provide	provid	provide
.	.	.

Source	sourc	Source
ChicagoistA	chicagoista	ChicagoistA
verifiable	verifi	verifiable
need	need	need
like	like	like
not	not	not
having	have	having
a	a	a
known	known	known
father	father	father
to	to	to
ask	ask	ask
for	for	for
help	help	help
?	?	?

Is	is	Is
this	this	this
real	real	real
?	?	?

It	it	It
s	s	s
so	so	so
comically	comic	comically
absurd	absurd	absurd
that	that	that
it	it	it
literally	liter	literally
satirizes	satir	satirizes
itself	itself	itself
.	.	.
If	if	If
there	there	there
is	is	is
a	a	a
bright	bright	bright
side	side	side
to	to	to
this	this	this
insult	insult	insult
to	to	to
women	women	woman
and	and	and
humanity	human	humanity
,	,	,
it	it	it
s	s	s
the	the	the
fact	fact	fact
that	that	that
the	the	the
bill	bill	bill
will	will	will
likely	like	likely
die	die	die
a	a	a
quiet	quiet	quiet
and	and	and
quick	quick	quick
death	death	death
in	in	in
the	the	the
house	hous	house
due	due	due
to	to	to
the	the	the
Democratic	democrat	Democratic
supermajority	supermajor	supermajority
that	that	that
Illinois	illinoi	Illinois
currently	current	currently
has	has	ha
to	to	to
protect	protect	protect
it	it	it
from	from	from
these	these	these
evil	evil	evil
people	peopl	people
.	.	.
Think	think	Think
about	about	about
it	it	it
this	this	this
way	way	way
.	.	.

Republicans	republican	Republicans
would	would	would
outlaw	outlaw	outlaw
all	all	all
contraception	contracept	contraception
and	and	and
abortion	abort	abortion
,	,	,
even	even	even
in	in	in
cases	case	case
of	of	of
rape	rape	rape
.	.	.

A	a	A
woman	woman	woman
undergoes	undergo	undergoes
that	that	that
heinous	heinous	heinous
assault	assault	assault
,	,	,
and	and	and
she	she	she
can	can	can
t	t	t
get	get	get
an	an	an
abortion	abort	abortion
because	becaus	because
Republicans	republican	Republicans
love	love	love
life	life	life
too	too	too
much	much	much
to	to	to
let	let	let
her	her	her
make	make	make
that	that	that
choice	choic	choice
on	on	on
her	her	her
own	own	own
.	.	.

After	after	After
9	9	9
