Mind	mind	Mind
blowing	blow	blowing
incompetence	incompet	incompetence
and	and	and
reckless	reckless	reckless
disregard	disregard	disregard
for	for	for
the	the	the
lives	live	life
of	of	of
these	these	these
brave	brave	brave
men	men	men
and	and	and
women	women	woman
by	by	by
politically	polit	politically
appointed	appoint	appointed
leftists	leftist	leftist
A	a	A
new	new	new
service	servic	service
award	award	award
recently	recent	recently
created	creat	created
by	by	by
U	u	U
.	.	.
S	s	S
.	.	.
Customs	custom	Customs
and	and	and
Border	border	Border
Protection	protect	Protection
CBP	cbp	CBP
for	for	for
Border	border	Border
Patrol	patrol	Patrol
agents	agent	agent
could	could	could
actually	actual	actually
put	put	put
their	their	their
lives	live	life
at	at	at
risk	risk	risk
.	.	.
The	the	The
award	award	award
recognizes	recogn	recognizes
an	an	an
agent	agent	agent
who	who	who
does	doe	doe
not	not	not
use	use	use
deadly	dead	deadly
force	forc	force
in	in	in
a	a	a
situation	situat	situation
where	where	where
they	they	they
are	are	are
confronted	confront	confronted
by	by	by
an	an	an
armed	arm	armed
assailant	assail	assailant
.	.	.
They	they	They
want	want	want
us	us	u
to	to	to
put	put	put
ourselves	ourselv	ourselves
in	in	in
a	a	a
bad	bad	bad
tactical	tactic	tactical
situation	situat	situation
,	,	,
National	nation	National
Border	border	Border
Patrol	patrol	Patrol
Council	council	Council
Vice	vice	Vice
President	presid	President
Shawn	shawn	Shawn
Moran	moran	Moran
told	told	told
Breitbart	breitbart	Breitbart
Texas	texa	Texas
in	in	in
an	an	an
interview	interview	interview
Friday	friday	Friday
evening	even	evening
.	.	.
This	this	This
could	could	could
lead	lead	lead
to	to	to
one	one	one
of	of	of
our	our	our
agents	agent	agent
getting	get	getting
killed	kill	killed
.	.	.
The	the	The
award	award	award
is	is	is
defined	defin	defined
by	by	by
the	the	the
CBP	cbp	CBP
as	as	a
The	the	The
Use	use	Use
of	of	of
Deadly	dead	Deadly
Force	forc	Force
Encounter	encount	Encounter
Averted	avert	Averted
award	award	award
is	is	is
to	to	to
recognize	recogn	recognize
and	and	and
employee	employe	employee
who	who	who
demonstrated	demonstr	demonstrated
clear	clear	clear
situational	situat	situational
awareness	awar	awareness
and	and	and
courage	courag	courage
while	while	while
disarming	disarm	disarming
a	a	a
suspect	suspect	suspect
using	use	using
contact	contact	contact
controls	control	control
and	and	and
verbal	verbal	verbal
commands	command	command
before	befor	before
the	the	the
situation	situat	situation
escalated	escal	escalated
to	to	to
the	the	the
use	use	use
of	of	of
deadly	dead	deadly
force	forc	force
.	.	.
The	the	The
act	act	act
must	must	must
demonstrate	demonstr	demonstrate
courage	courag	courage
in	in	in
the	the	the
face	face	face
of	of	of
an	an	an
armed	arm	armed
suspect	suspect	suspect
and	and	and
result	result	result
in	in	in
no	no	no
injury	injuri	injury
in	in	in
accordance	accord	accordance
with	with	with
agencies	agenc	agency
use	use	use
of	of	of
force	forc	force
policy	polici	policy
.	.	.
At	at	At
first	first	first
,	,	,
I	i	I
thought	thought	thought
this	this	this
was	was	wa
a	a	a
joke	joke	joke
,	,	,
Moran	moran	Moran
told	told	told
Breitbart	breitbart	Breitbart
Texas	texa	Texas
.	.	.
But	but	But
Border	border	Border
Patrol	patrol	Patrol
Agent	agent	Agent
Chris	chris	Chris
Cabrera	cabrera	Cabrera
contacted	contact	contacted
officials	offici	official
in	in	in
the	the	the
awards	award	award
section	section	section
of	of	of
CBP	cbp	CBP
and	and	and
they	they	they
confirmed	confirm	confirmed
it	it	it
is	is	is
true	true	true
,	,	,
he	he	he
said	said	said
.	.	.
In	in	In
addition	addit	addition
to	to	to
his	his	his
Border	border	Border
Patrol	patrol	Patrol
duties	duti	duty
Cabrera	cabrera	Cabrera
also	also	also
serves	serv	serf
as	as	a
vice	vice	vice
president	presid	president
of	of	of
NBPC	nbpc	NBPC
Local	local	Local
3307	3307	3307
and	and	and
as	as	a
NBPC	nbpc	NBPC
deputy	deputi	deputy
spokesperson	spokesperson	spokesperson
.	.	.
This	this	This
is	is	is
a	a	a
true	true	true
indication	indic	indication
about	about	about
how	how	how
the	the	the
politically	polit	politically
appointed	appoint	appointed
leaders	leader	leader
of	of	of
the	the	the
CBP	cbp	CBP
truly	truli	truly
feel	feel	feel
about	about	about
our	our	our
agents	agent	agent
,	,	,
he	he	he
said	said	said
.	.	.
Moran	moran	Moran
said	said	said
he	he	he
had	had	had
not	not	not
heard	heard	heard
about	about	about
the	the	the
award	award	award
before	befor	before
Cabrera	cabrera	Cabrera
brought	brought	brought
it	it	it
to	to	to
his	his	his
attention	attent	attention
.	.	.
I	i	I
can	can	can
t	t	t
recall	recal	recall
any	ani	any
official	offici	official
discussions	discuss	discussion
between	between	between
the	the	the
union	union	union
and	and	and
the	the	the
department	depart	department
over	over	over
this	this	this
,	,	,
he	he	he
explained	explain	explained
.	.	.
This	this	This
is	is	is
typical	typic	typical
pandering	pander	pandering
by	by	by
our	our	our
executives	execut	executive
to	to	to
organizations	organ	organization
like	like	like
the	the	the
ACLU	aclu	ACLU
and	and	and
illegal	illeg	illegal
alien	alien	alien
advocates	advoc	advocate
.	.	.
The	the	The
exacerbated	exacerb	exacerbated
leader	leader	leader
of	of	of
the	the	the
NBPC	nbpc	NBPC
which	which	which
represents	repres	represents
more	more	more
than	than	than
18	18	18
,	,	,
000	000	000
men	men	men
and	and	and
women	women	woman
who	who	who
protect	protect	protect
our	our	our
nation	nation	nation
s	s	s
borders	border	border
said	said	said
,	,	,
They	they	They
are	are	are
more	more	more
concerned	concern	concerned
about	about	about
placating	placat	placating
these	these	these
groups	group	group
than	than	than
protecting	protect	protecting
Border	border	Border
Patrol	patrol	Patrol
agents	agent	agent
.	.	.
He	he	He
said	said	said
this	this	this
is	is	is
also	also	also
typical	typic	typical
for	for	for
them	them	them
to	to	to
roll	roll	roll
something	someth	something
like	like	like
this	this	this
out	out	out
on	on	on
the	the	the
day	day	day
before	befor	before
a	a	a
big	big	big
holiday	holiday	holiday
weekend	weekend	weekend
hoping	hope	hoping
no	no	no
one	one	one
will	will	will
notice	notic	notice
.	.	.
The	the	The
policy	polici	policy
appears	appear	appears
to	to	to
put	put	put
just	just	just
one	one	one
more	more	more
thing	thing	thing
an	an	an
agent	agent	agent
must	must	must
think	think	think
about	about	about
when	when	when
faced	face	faced
with	with	with
a	a	a
life	life	life
threatening	threaten	threatening
situation	situat	situation
.	.	.
The	the	The
NBPC	nbpc	NBPC
posted	post	posted
a	a	a
copy	copi	copy
of	of	of
the	the	the
award	award	award
definition	definit	definition
on	on	on
its	it	it
Facebook	facebook	Facebook
page	page	page
earlier	earlier	earlier
on	on	on
Friday	friday	Friday
evening	even	evening
.	.	.
Commenting	comment	Commenting
on	on	on
the	the	the
award	award	award
,	,	,
the	the	the
organization	organ	organization
posted	post	posted
,	,	,
This	this	This
type	type	type
of	of	of
thinking	think	thinking
will	will	will
get	get	get
Border	border	Border
Patrol	patrol	Patrol
agents	agent	agent
killed	kill	killed
.	.	.
If	if	If
that	that	that
happens	happen	happens
we	we	we
will	will	will
hold	hold	hold
the	the	the
creators	creator	creator
of	of	of
this	this	this
award	award	award
accountable	account	accountable
.	.	.
This	this	This
is	is	is
despicable	despic	despicable
.	.	.
The	the	The
CBP	cbp	CBP
seems	seem	seems
to	to	to
be	be	be
following	follow	following
the	the	the
lead	lead	lead
of	of	of
the	the	the
Los	los	Los
Angeles	angel	Angeles
Police	polic	Police
Department	depart	Department
who	who	who
rolled	roll	rolled
out	out	out
a	a	a
Preservation	preserv	Preservation
of	of	of
Life	life	Life
Award	award	Award
.	.	.
The	the	The
policy	polici	policy
was	was	wa
designed	design	designed
to	to	to
recognize	recogn	recognize
officers	offic	officer
who	who	who
hold	hold	hold
their	their	their
fire	fire	fire
to	to	to
avoid	avoid	avoid
using	use	using
deadly	dead	deadly
force	forc	force
,	,	,
Breitbart	breitbart	Breitbart
News	news	News
William	william	William
Bigelow	bigelow	Bigelow
reported	report	reported
in	in	in
November	novemb	November
2015	2015	2015
.	.	.
The	the	The
Los	los	Los
Angeles	angel	Angeles
Police	polic	Police
Protective	protect	Protective
League	leagu	League
had	had	had
a	a	a
similar	similar	similar
reaction	reaction	reaction
to	to	to
that	that	that
of	of	of
the	the	the
NBPC	nbpc	NBPC
.	.	.
The	the	The
local	local	local
police	polic	police
union	union	union
responded	respond	responded
that	that	that
the	the	the
award	award	award
prioritizes	priorit	prioritizes
the	the	the
lives	live	life
of	of	of
suspected	suspect	suspected
criminals	crimin	criminal
over	over	over
the	the	the
lives	live	life
of	of	of
officers	offic	officer
.	.	.
NATO	nato	NATO
forces	forc	force
in	in	in
Europe	europ	Europe
considered	consid	considered
a	a	a
similar	similar	similar
idea	idea	idea
but	but	but
never	never	never
implemented	implement	implemented
it	it	it
,	,	,
Bigelow	bigelow	Bigelow
reported	report	reported
.	.	.
Via	via	Via
Breitbart	breitbart	Breitbart
News	news	News
