Dan	dan	Dan
Rather	rather	Rather
,	,	,
an	an	an
often	often	often
unbiased	unbias	unbiased
and	and	and
objective	object	objective
presence	presenc	presence
in	in	in
what	what	what
was	was	wa
once	onc	once
credible	credibl	credible
media	media	medium
,	,	,
has	has	ha
officially	offici	officially
bucked	buck	bucked
his	his	his
long	long	long
-held	-held	-held
objectivity	object	objectivity
and	and	and
completely	complet	completely
and	and	and
utterly	utter	utterly
destroyed	destroy	destroyed
Donald	donald	Donald
Trump	trump	Trump
after	after	after
his	his	his
now	now	now
infamous	infam	infamous
Second	second	Second
Amendment	amend	Amendment
comment	comment	comment
.	.	.
Taking	take	Taking
to	to	to
Facebook	facebook	Facebook
,	,	,
Rather	rather	Rather
,	,	,
who	who	who
has	has	ha
gone	gone	gone
on	on	on
the	the	the
record	record	record
questioning	question	questioning
Trump	trump	Trump
s	s	s
antics	antic	antic
on	on	on
the	the	the
campaign	campaign	campaign
trial	trial	trial
,	,	,
blasted	blast	blasted
the	the	the
GOP	gop	GOP
nominee	nomine	nominee
for	for	for
directing	direct	directing
threats	threat	threat
at	at	at
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
saying	say	saying
his	his	his
comments	comment	comment
now	now	now
no	no	no
longer	longer	longer
about	about	about
policy	polici	policy
,	,	,
civility	civil	civility
,	,	,
decency	decenc	decency
or	or	or
even	even	even
temperament	tempera	temperament
,	,	,
but	but	but
something	someth	something
more	more	more
nefarious	nefari	nefarious
No	no	No
trying	tri	trying
-to-be	-to-b	-to-be
objective	object	objective
and	and	and
fair	fair	fair
journalist	journalist	journalist
,	,	,
no	no	no
citizen	citizen	citizen
who	who	who
cares	care	care
about	about	about
the	the	the
country	countri	country
and	and	and
its	it	it
future	futur	future
can	can	can
ignore	ignor	ignore
what	what	what
Donald	donald	Donald
Trump	trump	Trump
said	said	said
today	today	today
.	.	.
When	when	When
he	he	he
suggested	suggest	suggested
that	that	that
The	the	The
Second	second	Second
Amendment	amend	Amendment
People	peopl	People
can	can	can
stop	stop	stop
Hillary	hillari	Hillary
Clinton	clinton	Clinton
he	he	he
crossed	cross	crossed
a	a	a
line	line	line
with	with	with
dangerous	danger	dangerous
potential	potenti	potential
.	.	.
By	by	By
any	ani	any
objective	object	objective
analysis	analysi	analysis
,	,	,
this	this	this
is	is	is
a	a	a
new	new	new
low	low	low
and	and	and
unprecedented	unpreced	unprecedented
in	in	in
the	the	the
history	histori	history
of	of	of
American	american	American
presidential	presidenti	presidential
politics	polit	politics
.	.	.
This	this	This
is	is	is
no	no	no
longer	longer	longer
about	about	about
policy	polici	policy
,	,	,
civility	civil	civility
,	,	,
decency	decenc	decency
or	or	or
even	even	even
temperament	tempera	temperament
.	.	.
This	this	This
is	is	is
a	a	a
direct	direct	direct
threat	threat	threat
of	of	of
viol	viol	viol
ence	enc	ence
against	against	against
a	a	a
political	polit	political
rival	rival	rival
.	.	.
It	it	It
is	is	is
not	not	not
just	just	just
against	against	against
the	the	the
norms	norm	norm
of	of	of
American	american	American
politics	polit	politics
,	,	,
it	it	it
raises	rais	raise
a	a	a
