Folks	folk	Folks
,	,	,
violence	violenc	violence
is	is	is
never	never	never
the	the	the
answer	answer	answer
.	.	.

Certainly	certain	Certainly
not	not	not
in	in	in
situations	situat	situation
like	like	like
the	the	the
one	one	one
that	that	that
you	you	you
re	re	re
about	about	about
to	to	to
read	read	read
about	about	about
and	and	and
watch	watch	watch
.	.	.
Two	two	Two
peaceful	peac	peaceful
and	and	and
silent	silent	silent
protesters	protest	protester
attended	attend	attended
the	the	the
infamous	infam	infamous
Donald	donald	Donald
Trump	trump	Trump
and	and	and
Sarah	sarah	Sarah
Palin	palin	Palin
rally	ralli	rally
in	in	in
Tulsa	tulsa	Tulsa
,	,	,
Oklahoma	oklahoma	Oklahoma
on	on	on
Tuesday	tuesday	Tuesday
.	.	.

As	as	As
you	you	you
ll	ll	ll
be	be	be
able	abl	able
to	to	to
see	see	see
in	in	in
the	the	the
first	first	first
four	four	four
seconds	second	second
of	of	of
the	the	the
video	video	video
,	,	,
a	a	a
Trump	trump	Trump
supporter	support	supporter
pushes	push	push
them	them	them
when	when	when
all	all	all
they	they	they
were	were	were
doing	do	doing
was	was	wa
standing	stand	standing
there	there	there
.	.	.

For	for	For
one	one	one
,	,	,
that	that	that
s	s	s
not	not	not
their	their	their
job	job	job
let	let	let
security	secur	security
be	be	be
the	the	the
dicks	dick	dick
.	.	.

Secondly	second	Secondly
,	,	,
it	it	it
was	was	wa
completely	complet	completely
uncalled	uncal	uncalled
for	for	for
no	no	no
matter	matter	matter
who	who	who
it	it	it
was	was	wa
,	,	,
even	even	even
if	if	if
it	it	it
was	was	wa
security	secur	security
that	that	that
did	did	did
it	it	it
.	.	.
Later	later	Later
in	in	in
the	the	the
video	video	video
,	,	,
a	a	a
guy	guy	guy
in	in	in
a	a	a
cowboy	cowboy	cowboy
hat	hat	hat
attempts	attempt	attempt
to	to	to
drag	drag	drag
them	them	them
out	out	out
around	around	around
the	the	the
same	same	same
time	time	time
a	a	a
uniformed	uniform	uniformed
cop	cop	cop
arrives	arriv	arrives
.	.	.

Instead	instead	Instead
of	of	of
being	be	being
retaliated	retali	retaliated
against	against	against
in	in	in
a	a	a
violent	violent	violent
nature	natur	nature
,	,	,
the	the	the
protester	protest	protester
knocks	knock	knock
the	the	the
guy	guy	guy
s	s	s
cowboy	cowboy	cowboy
hat	hat	hat
off	off	off
.	.	.

It	it	It
wasn	wasn	wasn
t	t	t
exactly	exact	exactly
the	the	the
most	most	most
professional	profession	professional
response	respons	response
,	,	,
but	but	but
hey	hey	hey
,	,	,
he	he	he
was	was	wa
being	be	being
dragged	drag	dragged
out	out	out
by	by	by
a	a	a
man	man	man
who	who	who
had	had	had
no	no	no
business	busi	business
putting	put	putting
his	his	his
hands	hand	hand
on	on	on
him	him	him
.	.	.

He	he	He
could	could	could
have	have	have
responded	respond	responded
in	in	in
a	a	a
whole	whole	whole
host	host	host
of	of	of
other	other	other
ways	way	way
that	that	that
would	would	would
not	not	not
have	have	have
been	been	been
preferable	prefer	preferable
,	,	,
such	such	such
as	as	a
throwing	throw	throwing
a	a	a
fist	fist	fist
.	.	.

In	in	In
any	ani	any
case	case	case
,	,	,
the	the	the
cowboy	cowboy	cowboy
deserved	deserv	deserved
it	it	it
.	.	.
The	the	The
cop	cop	cop
that	that	that
showed	show	showed
up	up	up
didn	didn	didn
t	t	t
get	get	get
