Barack	barack	Barack
Obama	obama	Obama
and	and	and
the	the	the
Democrat	democrat	Democrat
Party	parti	Party
were	were	were
laser	laser	laser
focused	focus	focused
on	on	on
opening	open	opening
the	the	the
immigrant	immigr	immigrant
floodgates	floodgat	floodgate
for	for	for
8	8	8
years	year	year
.	.	.
They	they	They
re	re	re
the	the	the
first	first	first
ones	one	one
to	to	to
cry	cri	cry
when	when	when
President	presid	President
Trump	trump	Trump
mentions	mention	mention
budget	budget	budget
cuts	cut	cut
to	to	to
schools	school	school
and	and	and
programs	program	program
for	for	for
the	the	the
elderly	elder	elderly
,	,	,
but	but	but
what	what	what
about	about	about
the	the	the
enormous	enorm	enormous
burden	burden	burden
millions	million	million
of	of	of
new	new	new
immigrants	immigr	immigrant
mostly	most	mostly
illegal	illeg	illegal
have	have	have
put	put	put
on	on	on
the	the	the
backs	back	back
of	of	of
taxpayers	taxpay	taxpayer
?	?	?
The	the	The
Democrats	democrat	Democrats
were	were	were
only	onli	only
looking	look	looking
at	at	at
immigrants	immigr	immigrant
as	as	a
voters	voter	voter
,	,	,
they	they	they
didn	didn	didn
t	t	t
consider	consid	consider
how	how	how
the	the	the
massive	massiv	massive
influx	influx	influx
of	of	of
people	peopl	people
on	on	on
entitlement	entitl	entitlement
programs	program	program
would	would	would
affect	affect	affect
our	our	our
schools	school	school
and	and	and
social	social	social
programs	program	program
.	.	.
The	the	The
statistics	statist	statistic
below	below	below
are	are	are
stunning	stun	stunning
Children	children	Children
of	of	of
immigrants	immigr	immigrant
,	,	,
many	mani	many
in	in	in
the	the	the
United	unit	United
States	state	States
illegally	illeg	illegally
,	,	,
make	make	make
up	up	up
the	the	the
bulk	bulk	bulk
of	of	of
students	student	student
in	in	in
700	700	700
of	of	of
the	the	the
biggest	biggest	biggest
school	school	school
areas	area	area
,	,	,
a	a	a
huge	huge	huge
and	and	and
unexpected	unexpect	unexpected
wave	wave	wave
that	that	that
is	is	is
changing	chang	changing
education	educ	education
and	and	and
society	societi	society
in	in	in
America	america	America
,	,	,
according	accord	according
to	to	to
a	a	a
groundbreaking	groundbreak	groundbreaking
new	new	new
report	report	report
.	.	.
Using	use	Using
Census	census	Census
Bureau	bureau	Bureau
statistics	statist	statistic
and	and	and
Google	googl	Google
Maps	map	Maps
,	,	,
the	the	the
Center	center	Center
for	for	for
Immigration	immigr	Immigration
Studies	studi	Studies
found	found	found
that	that	that
in	in	in
areas	area	area
including	includ	including
northern	northern	northern
Virginia	virginia	Virginia
,	,	,
New	new	New
York	york	York
City	citi	City
and	and	and
Houston	houston	Houston
,	,	,
children	children	child
of	of	of
immigrants	immigr	immigrant
made	made	made
up	up	up
to	to	to
93	93	93
percent	percent	percent
of	of	of
all	all	all
students	student	student
.	.	.
The	the	The
number	number	number
of	of	of
children	children	child
from	from	from
immigrant	immigr	immigrant
households	household	household
in	in	in
schools	school	school
is	is	is
now	now	now
so	so	so
high	high	high
in	in	in
some	some	some
areas	area	area
that	that	that
it	it	it
raises	rais	raise
profound	profound	profound
questions	question	question
about	about	about
assimilation	assimil	assimilation
,	,	,
said	said	said
the	the	the
report	report	report
provided	provid	provided
to	to	to
Secrets	secret	Secrets
.	.	.
What	what	What
s	s	s
more	more	more
,	,	,
immigration	immigr	immigration
has	has	ha
added	ad	added
enormously	enorm	enormously
to	to	to
the	the	the
number	number	number
of	of	of
public	public	public
school	school	school
students	student	student
who	who	who
are	are	are
in	in	in
poverty	poverti	poverty
and	and	and
the	the	the
number	number	number
who	who	who
speak	speak	speak
a	a	a
foreign	foreign	foreign
language	languag	language
.	.	.
This	this	This
cannot	cannot	cannot
help	help	help
but	but	but
to	to	to
create	creat	create
significant	signific	significant
challenges	challeng	challenge
for	for	for
schools	school	school
,	,	,
often	often	often
in	in	in
areas	area	area
already	alreadi	already
struggling	struggl	struggling
to	to	to
educate	educ	educate
students	student	student
who	who	who
come	come	come
from	from	from
disadvantaged	disadvantag	disadvantaged
backgrounds	background	background
,	,	,
it	it	it
added	ad	added
.	.	.
Overall	overal	Overall
,	,	,
23	23	23
percent	percent	percent
of	of	of
all	all	all
public	public	public
school	school	school
students	student	student
were	were	were
from	from	from
an	an	an
immigrant	immigr	immigrant
household	household	household
in	in	in
2015	2015	2015
.	.	.
In	in	In
1990	1990	1990
it	it	it
was	was	wa
11	11	11
percent	percent	percent
,	,	,
and	and	and
in	in	in
1980	1980	1980
it	it	it
was	was	wa
7	7	7
percent	percent	percent
.	.	.
And	and	And
,	,	,
said	said	said
the	the	the
CIS	cis	CIS
report	report	report
,	,	,
between	between	between
one	one	one
-fourth	-fourth	-fourth
and	and	and
one	one	one
-third	-third	-third
of	of	of
public	public	public
school	school	school
students	student	student
