Kathryn	kathryn	Kathryn
Knott	knott	Knott
was	was	wa
convicted	convict	convicted
of	of	of
a	a	a
hate	hate	hate
crime	crime	crime
for	for	for
helping	help	helping
friends	friend	friend
in	in	in
a	a	a
gay	gay	gay
bashing	bash	bashing
assault	assault	assault
on	on	on
a	a	a
same	same	same
-sex	-sex	-sex
couple	coupl	couple
on	on	on
a	a	a
Philadelphia	philadelphia	Philadelphia
street	street	street
in	in	in
2014	2014	2014
.	.	.
She	she	She
is	is	is
also	also	also
the	the	the
daughter	daughter	daughter
of	of	of
Chalfont	chalfont	Chalfont
Borough	borough	Borough
Police	polic	Police
Chief	chief	Chief
Karl	karl	Karl
Knott	knott	Knott
,	,	,
which	which	which
is	is	is
most	most	most
likely	like	likely
why	whi	why
she	she	she
thinks	think	think
that	that	that
she	she	she
deserves	deserv	deserves
special	special	special
consideration	consider	consideration
in	in	in
this	this	this
case	case	case
after	after	after
she	she	she
blew	blew	blew
her	her	her
chance	chanc	chance
at	at	at
no	no	no
jail	jail	jail
time	time	time
.	.	.
Knott	knott	Knott
was	was	wa
offered	offer	offered
a	a	a
plea	plea	plea
deal	deal	deal
for	for	for
probation	probat	probation
,	,	,
which	which	which
her	her	her
two	two	two
cohorts	cohort	cohort
accepted	accept	accepted
,	,	,
but	but	but
insisted	insist	insisted
she	she	she
was	was	wa
just	just	just
an	an	an
innocent	innoc	innocent
bystander	bystand	bystander
to	to	to
the	the	the
crime	crime	crime
and	and	and
turned	turn	turned
down	down	down
the	the	the
deal	deal	deal
.	.	.
Instead	instead	Instead
,	,	,
she	she	she
opted	opt	opted
for	for	for
a	a	a
trial	trial	trial
where	where	where
surveillance	surveil	surveillance
footage	footag	footage
proved	prove	proved
she	she	she
was	was	wa
a	a	a
damned	damn	damned
liar	liar	liar
.	.	.
After	after	After
the	the	the
trial	trial	trial
,	,	,
she	she	she
was	was	wa
found	found	found
guilty	guilti	guilty
and	and	and
sentenced	sentenc	sentenced
to	to	to
5	5	5
-10	-10	-10
months	month	month
of	of	of
jail	jail	jail
time	time	time
.	.	.
Of	of	Of
course	cours	course
,	,	,
this	this	this
is	is	is
an	an	an
unacceptable	unaccept	unacceptable
situation	situat	situation
for	for	for
her	her	her
,	,	,
even	even	even
though	though	though
she	she	she
made	made	made
her	her	her
choice	choic	choice
to	to	to
reject	reject	reject
the	the	the
plea	plea	plea
.	.	.
Now	now	Now
,	,	,
she	she	she
and	and	and
her	her	her
lawyers	lawyer	lawyer
are	are	are
demanding	demand	demanding
that	that	that
her	her	her
jail	jail	jail
sentence	sentenc	sentence
is	is	is
transformed	transform	transformed
into	into	into
a	a	a
public	public	public
service	servic	service
announcement	announc	announcement
to	to	to
take	take	take
the	the	the
infamy	infami	infamy
of	of	of
the	the	the
arrest	arrest	arrest
and	and	and
maybe	mayb	maybe
heal	heal	heal
some	some	some
wounds	wound	wound
.	.	.
Her	her	Her
lawyer	lawyer	lawyer
is	is	is
arguing	argu	arguing
that	that	that
she	she	she
is	is	is
being	be	being
punished	punish	punished
for	for	for
exercising	exercis	exercising
her	her	her
constitutional	constitut	constitutional
right	right	right
to	to	to
have	have	have
a	a	a
trial	trial	trial
,	,	,
by	by	by
the	the	the
harsher	harsher	harsher
sentence	sentenc	sentence
being	be	being
imposed	impos	imposed
after	after	after
she	she	she
refused	refus	refused
a	a	a
plea	plea	plea
deal	deal	deal
.	.	.
Let	let	Let
s	s	s
change	chang	change
this	this	this
up	up	up
just	just	just
a	a	a
bit	bit	bit
.	.	.
A	a	A
group	group	group
of	of	of
3	3	3
poor	poor	poor
,	,	,
black	black	black
young	young	young
adults	adult	adult
assaults	assault	assault
a	a	a
heterosexual	heterosexu	heterosexual
white	white	white
couple	coupl	couple
,	,	,
beating	beat	beating
them	them	them
up	up	up
severely	sever	severely
,	,	,
and	and	and
leaving	leav	leaving
one	one	one
with	with	with
a	a	a
broken	broken	broken
jaw	jaw	jaw
.	.	.
The	the	The
same	same	same
exact	exact	exact
sequence	sequenc	sequence
of	of	of
events	event	event
follows	follow	follows
up	up	up
to	to	to
the	the	the
request	request	request
of	of	of
one	one	one
one	one	one
be	be	be
let	let	let
out	out	out
of	of	of
jail	jail	jail
by	by	by
doing	do	doing
a	a	a
PSA	psa	PSA
.	.	.
This	this	This
would	would	would
be	be	be
laughed	laugh	laughed
out	out	out
of	of	of
court	court	court
.	.	.
She	she	She
helped	help	helped
beat	beat	beat
up	up	up
a	a	a
gay	gay	gay
couple	coupl	couple
,	,	,
leaving	leav	leaving
them	them	them
traumatized	traumat	traumatized
and	and	and
one	one	one
with	with	with
a	a	a
broken	broken	broken
jaw	jaw	jaw
.	.	.
She	she	She
had	had	had
a	a	a
chance	chanc	chance
to	to	to
accept	accept	accept
responsibility	respons	responsibility
and	and	and
take	take	take
probation	probat	probation
.	.	.
She	she	She
blew	blew	blew
it	it	it
by	by	by
rejecting	reject	rejecting
a	a	a
deal	deal	deal
,	,	,
but	but	but
because	becaus	because
she	she	she
s	s	s
a	a	a
police	polic	police
chief	chief	chief
s	s	s
princess	princess	princess
daughter	daughter	daughter
both	both	both
she	she	she
and	and	and
her	her	her
lawyer	lawyer	lawyer
think	think	think
that	that	that
grown	grown	grown
-up	-up	-up
consequences	consequ	consequence
don	don	don
t	t	t
apply	appli	apply
to	to	to
her	her	her
.	.	.
She	she	She
deserves	deserv	deserves
every	everi	every
damned	damn	damned
day	day	day
of	of	of
punishment	punish	punishment
that	that	that
she	she	she
gets	get	get
,	,	,
and	and	and
being	be	being
a	a	a
white	white	white
police	polic	police
chief	chief	chief
s	s	s
daughter	daughter	daughter
is	is	is
not	not	not
an	an	an
excuse	excus	excuse
.	.	.
Featured	featur	Featured
image	imag	image
from	from	from
Philly	philli	Philly
Declaration	declar	Declaration
