Ethics	ethic	Ethics
?	?	?
Divestment	divest	Divestment
?	?	?
We	we	We
ve	ve	ve
known	known	known
for	for	for
awhile	awhil	awhile
that	that	that
these	these	these
two	two	two
words	word	word
are	are	are
alien	alien	alien
to	to	to
Trump	trump	Trump
and	and	and
his	his	his
family	famili	family
,	,	,
but	but	but
until	until	until
recently	recent	recently
,	,	,
we	we	we
didn	didn	didn
t	t	t
really	realli	really
have	have	have
a	a	a
solid	solid	solid
example	exampl	example
of	of	of
the	the	the
corruption	corrupt	corruption
that	that	that
this	this	this
would	would	would
sow	sow	sow
within	within	within
the	the	the
administration	administr	administration
.	.	.
Now	now	Now
we	we	we
do	do	do
in	in	in
early	earli	early
January	januari	January
,	,	,
Eric	eric	Eric
Trump	trump	Trump
took	took	took
a	a	a
short	short	short
trip	trip	trip
to	to	to
Uruguay	uruguay	Uruguay
to	to	to
promote	promot	promote
the	the	the
Trump	trump	Trump
Organization	organ	Organization
,	,	,
and	and	and
we	we	we
taxpayers	taxpay	taxpayer
were	were	were
left	left	left
on	on	on
the	the	the
hook	hook	hook
for	for	for
a	a	a
lot	lot	lot
of	of	of
the	the	the
cost	cost	cost
.	.	.
Eric	eric	Eric
Trump	trump	Trump
,	,	,
being	be	being
Trump	trump	Trump
s	s	s
immediate	immedi	immediate
family	famili	family
,	,	,
gets	get	get
Secret	secret	Secret
Service	servic	Service
protection	protect	protection
like	like	like
his	his	his
daddy	daddi	daddy
.	.	.
So	so	So
we	we	we
,	,	,
the	the	the
taxpayers	taxpay	taxpayer
,	,	,
paid	paid	paid
for	for	for
hotel	hotel	hotel
rooms	room	room
,	,	,
flights	flight	flight
,	,	,
and	and	and
incidentals	incident	incidental
for	for	for
the	the	the
Secret	secret	Secret
Service	servic	Service
to	to	to
be	be	be
there	there	there
protecting	protect	protecting
Eric	eric	Eric
while	while	while
he	he	he
ate	ate	ate
at	at	at
beach	beach	beach
-front	-front	-front
restaurants	restaur	restaurant
,	,	,
mingled	mingl	mingled
with	with	with
presumably	presum	presumably
important	import	important
real	real	real
estate	estat	estate
brokers	broker	broker
,	,	,
and	and	and
went	went	went
to	to	to
an	an	an
ultra	ultra	ultra
-exclusive	-exclus	-exclusive
party	parti	party
.	.	.
We	we	We
re	re	re
on	on	on
the	the	the
hook	hook	hook
for	for	for
roughly	rough	roughly
100	100	100
,	,	,
000	000	000
right	right	right
now	now	now
.	.	.
Some	some	Some
will	will	will
say	say	say
that	that	that
s	s	s
nothing	noth	nothing
compared	compar	compared
to	to	to
Obama	obama	Obama
s	s	s
supposedly	suppos	supposedly
extravagant	extravag	extravagant
vacations	vacat	vacation
.	.	.
Some	some	Some
will	will	will
say	say	say
that	that	that
even	even	even
if	if	if
it	it	it
s	s	s
not	not	not
government	govern	government
business	busi	business
,	,	,
a	a	a
little	littl	little
here	here	here
and	and	and
there	there	there
won	won	won
t	t	t
hurt	hurt	hurt
especially	especi	especially
compared	compar	compared
to	to	to
how	how	how
many	mani	many
taxpayer	taxpay	taxpayer
dollars	dollar	dollar
they	they	they
re	re	re
just	just	just
certain	certain	certain
Obama	obama	Obama
wasted	wast	wasted
on	on	on
himself	himself	himself
.	.	.
Those	those	Those
who	who	who
make	make	make
these	these	these
claims	claim	claim
will	will	will
be	be	be
ignoring	ignor	ignoring
one	one	one
very	veri	very
important	import	important
fact	fact	fact
Obama	obama	Obama
wasn	wasn	wasn
t	t	t
using	use	using
taxpayer	taxpay	taxpayer
dollars	dollar	dollar
to	to	to
pay	pay	pay
for	for	for
his	his	his
own	own	own
and	and	and
his	his	his
family	famili	family
s	s	s
protection	protect	protection
while	while	while
he	he	he
was	was	wa
busy	busi	busy
promoting	promot	promoting
a	a	a
commercial	commerci	commercial
enterprise	enterpris	enterprise
that	that	that
is	is	is
supposed	suppos	supposed
to	to	to
be	be	be
100	100	100
percent	percent	percent
separate	separ	separate
from	from	from
the	the	the
government	govern	government
.	.	.
There	there	There
s	s	s
a	a	a
word	word	word
for	for	for
this	this	this
Corruption	corrupt	Corruption
.	.	.
Political	polit	Political
corruption	corrupt	corruption
,	,	,
by	by	by
definition	definit	definition
,	,	,
is	is	is
a	a	a
government	govern	government
official	offici	official
or	or	or
the	the	the
entire	entir	entire
government	govern	government
using	use	using
public	public	public
resources	resourc	resource
for	for	for
private	privat	private
gain	gain	gain
.	.	.
Or	or	Or
,	,	,
as	as	a
the	the	the
Washington	washington	Washington
Post	post	Post
put	put	put
it	it	it
In	in	In
this	this	this
case	case	case
,	,	,
government	govern	government
agencies	agenc	agency
are	are	are
forced	forc	forced
to	to	to
pay	pay	pay
to	to	to
support	support	support
business	busi	business
operations	oper	operation
that	that	that
ultimately	ultim	ultimately
help	help	help
to	to	to
enrich	enrich	enrich
the	the	the
president	presid	president
himself	himself	himself
.	.	.
Trump	trump	Trump
has	has	ha
been	been	been
in	in	in
office	offic	office
for	for	for
a	a	a
whole	whole	whole
two	two	two
weeks	week	week
,	,	,
and	and	and
Eric	eric	Eric
went	went	went
to	to	to
Uruguay	uruguay	Uruguay
before	befor	before
he	he	he
took	took	took
office	offic	office
.	.	.
Even	even	Even
so	so	so
,	,	,
as	as	a
the	the	the
President	presid	President
-elect	-elect	-elect
at	at	at
the	the	the
time	time	time
,	,	,
it	it	it
was	was	wa
still	still	still
on	on	on
us	us	u
to	to	to
pay	pay	pay
for	for	for
the	the	the
Secret	secret	Secret
Service	servic	Service
,	,	,
and	and	and
for	for	for
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Embassy	embassi	Embassy
in	in	in
Uruguay	uruguay	Uruguay
to	to	to
have	have	have
staff	staff	staff
at	at	at
the	the	the
hotel	hotel	hotel
for	for	for
this	this	this
VIP	vip	VIP
visit	visit	visit
.	.	.
It	it	It
s	s	s
not	not	not
unusual	unusu	unusual
for	for	for
family	famili	family
members	member	member
to	to	to
travel	travel	travel
independently	independ	independently
of	of	of
the	the	the
president	presid	president
,	,	,
but	but	but
when	when	when
was	was	wa
the	the	the
last	last	last
time	time	time
a	a	a
president	presid	president
s	s	s
family	famili	family
members	member	member
used	use	used
public	public	public
dollars	dollar	dollar
to	to	to
promote	promot	promote
private	privat	private
business	busi	business
interests	interest	interest
?	?	?
This	this	This
is	is	is
sick	sick	sick
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
via	via	via
Getty	getti	Getty
Images	imag	Images
