Paul	paul	Paul
Ryan	ryan	Ryan
sat	sat	sat
down	down	down
for	for	for
an	an	an
interview	interview	interview
with	with	with
USA	usa	USA
Today	today	Today
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
During	dure	During
the	the	the
interview	interview	interview
,	,	,
the	the	the
House	hous	House
Speaker	speaker	Speaker
revealed	reveal	revealed
his	his	his
thoughts	thought	thought
on	on	on
President	presid	President
Obama	obama	Obama
s	s	s
final	final	final
State	state	State
of	of	of
the	the	the
Union	union	Union
speech	speech	speech
.	.	.
It	it	It
was	was	wa
made	made	made
immediately	immedi	immediately
clear	clear	clear
in	in	in
the	the	the
interview	interview	interview
that	that	that
Ryan	ryan	Ryan
loathed	loath	loathed
a	a	a
lot	lot	lot
of	of	of
what	what	what
President	presid	President
Obama	obama	Obama
had	had	had
to	to	to
say	say	say
.	.	.
Ryan	ryan	Ryan
was	was	wa
so	so	so
upset	upset	upset
with	with	with
one	one	one
point	point	point
in	in	in
Obama	obama	Obama
s	s	s
speech	speech	speech
that	that	that
he	he	he
said	said	said
it	it	it
degrades	degrad	degrades
the	the	the
presidency	presid	presidency
.	.	.
Ryan	ryan	Ryan
was	was	wa
mad	mad	mad
the	the	the
President	presid	President
Obama	obama	Obama
had	had	had
mentioned	mention	mentioned
how	how	how
the	the	the
hatred	hatr	hatred
towards	toward	towards
others	other	others
that	that	that
Donald	donald	Donald
Trump	trump	Trump
is	is	is
fanning	fan	fanning
and	and	and
exploiting	exploit	exploiting
for	for	for
political	polit	political
gain	gain	gain
is	is	is
hurting	hurt	hurting
the	the	the
United	unit	United
States	state	States
.	.	.
In	in	In
case	case	case
you	you	you
missed	miss	missed
it	it	it
,	,	,
here	here	here
is	is	is
the	the	the
part	part	part
of	of	of
President	presid	President
Obama	obama	Obama
s	s	s
speech	speech	speech
that	that	that
Ryan	ryan	Ryan
is	is	is
referring	refer	referring
to	to	to
We	we	We
need	need	need
to	to	to
reject	reject	reject
any	ani	any
politics	polit	politics
that	that	that
targets	target	target
people	peopl	people
because	becaus	because
of	of	of
race	race	race
or	or	or
religion	religion	religion
.	.	.
This	this	This
isn	isn	isn
t	t	t
a	a	a
matter	matter	matter
of	of	of
political	polit	political
correctness	correct	correctness
.	.	.
It	it	It
s	s	s
a	a	a
matter	matter	matter
of	of	of
understanding	understand	understanding
what	what	what
makes	make	make
us	us	u
strong	strong	strong
.	.	.
The	the	The
world	world	world
respects	respect	respect
us	us	u
not	not	not
just	just	just
for	for	for
our	our	our
arsenal	arsenal	arsenal
;	;	;
it	it	it
respects	respect	respect
us	us	u
for	for	for
our	our	our
diversity	divers	diversity
and	and	and
our	our	our
openness	open	openness
and	and	and
the	the	the
way	way	way
we	we	we
respect	respect	respect
every	everi	every
faith	faith	faith
.	.	.
His	his	His
Holiness	holi	Holiness
,	,	,
Pope	pope	Pope
Francis	franci	Francis
,	,	,
told	told	told
this	this	this
body	bodi	body
from	from	from
the	the	the
very	veri	very
spot	spot	spot
I	i	I
stand	stand	stand
tonight	tonight	tonight
that	that	that
to	to	to
imitate	imit	imitate
the	the	the
hatred	hatr	hatred
and	and	and
violence	violenc	violence
of	of	of
tyrants	tyrant	tyrant
and	and	and
murderers	murder	murderer
is	is	is
the	the	the
best	best	best
way	way	way
to	to	to
