Chuck	chuck	Chuck
Woolery	wooleri	Woolery
wants	want	want
America	america	America
to	to	to
return	return	return
to	to	to
the	the	the
1950s	1950s	1950s
when	when	when
liberals	liber	liberal
were	were	were
punished	punish	punished
for	for	for
exercising	exercis	exercising
free	free	free
speech	speech	speech
and	and	and
the	the	the
minimum	minimum	minimum
wage	wage	wage
was	was	wa
1	1	1
.	.	.
00	00	00
an	an	an
hour	hour	hour
.	.	.
During	dure	During
an	an	an
appearance	appear	appearance
on	on	on
Fox	fox	Fox
Friends	friend	Friends
on	on	on
Sunday	sunday	Sunday
the	the	the
former	former	former
Wheel	wheel	Wheel
of	of	of
Fortune	fortun	Fortune
host	host	host
whined	whine	whined
about	about	about
Matt	matt	Matt
Damon	damon	Damon
s	s	s
commencement	commenc	commencement
speech	speech	speech
in	in	in
which	which	which
the	the	the
actor	actor	actor
addressed	address	addressed
the	the	the
need	need	need
for	for	for
a	a	a
higher	higher	higher
minimum	minimum	minimum
wage	wage	wage
and	and	and
blasted	blast	blasted
Republican	republican	Republican
nominee	nomine	nominee
Donald	donald	Donald
Trump	trump	Trump
.	.	.
Woolery	wooleri	Woolery
responded	respond	responded
by	by	by
accusing	accus	accusing
Damon	damon	Damon
of	of	of
being	be	being
a	a	a
communist	communist	communist
and	and	and
suggested	suggest	suggested
punishing	punish	punishing
liberals	liber	liberal
who	who	who
express	express	express
their	their	their
support	support	support
of	of	of
anything	anyth	anything
deemed	deem	deemed
a	a	a
communist	communist	communist
idea	idea	idea
by	by	by
the	the	the
right	right	right
-wing	-wing	-wing
.	.	.
In	in	In
the	the	the
50s	50s	50
in	in	in
Hollywood	hollywood	Hollywood
if	if	if
you	you	you
spoke	spoke	spoke
for	for	for
communism	communism	communism
,	,	,
you	you	you
were	were	were
blackballed	blackbal	blackballed
,	,	,
Woolery	wooleri	Woolery
said	said	said
.	.	.
In	in	In
the	the	the
90s	90s	90
and	and	and
2000s	2000s	2000s
in	in	in
Hollywood	hollywood	Hollywood
if	if	if
you	you	you
speak	speak	speak
for	for	for
communism	communism	communism
,	,	,
you	you	you
re	re	re
rewarded	reward	rewarded
for	for	for
it	it	it
.	.	.
But	but	But
if	if	if
you	you	you
speak	speak	speak
against	against	against
communism	communism	communism
,	,	,
you	you	you
re	re	re
blackballed	blackbal	blackballed
.	.	.
And	and	And
that	that	that
s	s	s
blatantly	blatant	blatantly
not	not	not
true	true	true
since	sinc	since
conservative	conserv	conservative
