Try	tri	Try
telling	tell	telling
a	a	a
young	young	young
black	black	black
girl	girl	girl
she	she	she
can	can	can
t	t	t
wear	wear	wear
dreadlocks	dreadlock	dreadlock
to	to	to
school	school	school
A	a	A
Utah	utah	Utah
School	school	School
has	has	ha
told	told	told
a	a	a
teenage	teenag	teenage
student	student	student
she	she	she
can	can	can
t	t	t
wear	wear	wear
dreadlocks	dreadlock	dreadlock
to	to	to
school	school	school
,	,	,
and	and	and
now	now	now
the	the	the
mom	mom	mom
is	is	is
claiming	claim	claiming
discrimination	discrimin	discrimination
.	.	.

Except	except	Except
the	the	the
student	student	student
is	is	is
lily	lili	lily
-white	-white	-white
.	.	.
The	the	The
Lincoln	lincoln	Lincoln
Academy	academi	Academy
in	in	in
Pleasant	pleasant	Pleasant
Grove	grove	Grove
reprimanded	reprimand	reprimanded
eighth	eighth	eighth
-grader	-grader	-grader
Caycee	cayce	Caycee
Cunningham	cunningham	Cunningham
for	for	for
wearing	wear	wearing
dreadlocks	dreadlock	dreadlock
to	to	to
school	school	school
,	,	,
saying	say	saying
it	it	it
violates	violat	violates
the	the	the
school	school	school
s	s	s
dress	dress	dress
code	code	code
.	.	.

Her	her	Her
mom	mom	mom
,	,	,
however	howev	however
,	,	,
claims	claim	claim
she	she	she
wears	wear	wear
them	them	them
for	for	for
religious	religi	religious
reasons	reason	reason
,	,	,
Fox13Now	fox13now	Fox13Now
is	is	is
reporting	report	reporting
.	.	.
Caycee	cayce	Caycee
recently	recent	recently
studied	studi	studied
abroad	abroad	abroad
in	in	in
Guatemala	guatemala	Guatemala
and	and	and
converted	convert	converted
to	to	to
Hinduism	hinduism	Hinduism
.	.	.

She	she	She
wears	wear	wear
the	the	the
dreadlocks	dreadlock	dreadlock
as	as	a
a	a	a
result	result	result
of	of	of
that	that	that
spiritual	spiritu	spiritual
journey	journey	journey
,	,	,
mother	mother	mother
Tonya	tonya	Tonya
Judd	judd	Judd
said	said	said
.	.	.
Students	student	Students
of	of	of
other	other	other
ethnicities	ethnic	ethnicity
are	are	are
apparently	appar	apparently
allowed	allow	allowed
to	to	to
wear	wear	wear
dreadlocks	dreadlock	dreadlock
,	,	,
but	but	but
her	her	her
white	white	white
daughter	daughter	daughter
isn	isn	isn
t	t	t
.	.	.

My	my	My
daughter	daughter	daughter
is	is	is
white	white	white
and	and	and
there	there	there
happens	happen	happens
to	to	to
be	be	be
other	other	other
kids	kid	kid
in	in	in
the	the	the
school	school	school
who	who	who
happen	happen	happen
to	to	to
be	be	be
other	other	other
race	race	race
and	and	and
ethnicity	ethnic	ethnicity
and	and	and
they	they	they
have	have	have
hair	hair	hair
that	that	that
can	can	can
t	t	t
be	be	be
combed	comb	combed
,	,	,
and	and	and
there	there	there
s	s	s
never	never	never
been	been	been
an	an	an
issue	issu	issue
regarding	regard	regarding
that	that	that
before	befor	before
,	,	,
Judd	judd	Judd
said	said	said
.	.	.

Principal	princip	Principal
Jake	jake	Jake
Hunt	hunt	Hunt
said	said	said
the	the	the
school	school	school
s	s	s
dress	dress	dress
code	code	code
doesn	doesn	doesn
t	t	t
specifically	specif	specifically
ban	ban	ban
dreadlocks	dreadlock	dreadlock
,	,	,
but	but	but
there	there	there
are	are	are
policies	polici	policy
against	against	against
unnatural	unnatur	unnatural
hair	hair	hair
colors	color	color
and	and	and
distracting	distract	distracting
hair	hair	hair
cuts	cut	cut
that	that	that
all	all	all
students	student	student
must	must	must
abide	abid	abide
by	by	by
.	.	.

Our	our	Our
dress	dress	dress
code	code	code
says	say	say
that	that	that
our	our	our
students	student	student
hair	hair	hair
must	must	must
have	have	have
a	a	a
neat	neat	neat
,	,	,
combed	comb	combed
appearance	appear	appearance
,	,	,
be	be	be
appropriate	appropri	appropriate
for	for	for
school	school	school
,	,	,
and	and	and
not	not	not
be	be	be
distracting	distract	distracting
in	in	in
the	the	the
classroom	classroom	classroom
,	,	,
which	which	which
is	is	is
pretty	pretti	pretty
similar	similar	similar
to	to	to
what	what	what
many	mani	many
schools	school	school
in	in	in
our	our	our
area	area	area
have	have	have
,	,	,
he	he	he
said	said	said
.	.	.
Principal	princip	Principal
Hunt	hunt	Hunt
said	said	said
Caycee	cayce	Caycee
will	will	will
not	not	not
face	face	face
any	ani	any
repercussions	repercuss	repercussion
for	for	for
continuing	continu	continuing
to	to	to
wear	wear	wear
dreadlocks	dreadlock	dreadlock
,	,	,
but	but	but
she	she	she
is	is	is
in	in	in
violation	violat	violation
of	of	of
school	school	school
policy	polici	policy
.	.	.

Judd	judd	Judd
and	and	and
Caycee	cayce	Caycee
said	said	said
they	they	they
will	will	will
stand	stand	stand
their	their	their
ground	ground	ground
and	and	and
Caycee	cayce	Caycee
will	will	will
continue	continu	continue
to	to	to
wear	wear	wear
the	the	the
dreadlocks	dreadlock	dreadlock
and	and	and
transfer	transfer	transfer
schools	school	school
if	if	if
need	need	need
be	be	be
.	.	.

Via	via	Via
DownTrend	downtrend	DownTrend

