Perhaps	perhap	Perhaps
the	the	the
Green	green	Green
Party	parti	Party
isn	isn	isn
t	t	t
so	so	so
useless	useless	useless
after	after	after
all	all	all
.	.	.
Jill	jill	Jill
Stein	stein	Stein
s	s	s
push	push	push
for	for	for
recounts	recount	recount
in	in	in
some	some	some
battleground	battleground	battleground
states	state	state
is	is	is
gaining	gain	gaining
momentum	momentum	momentum
.	.	.
Stein	stein	Stein
raised	rais	raised
5	5	5
million	million	million
to	to	to
cover	cover	cover
the	the	the
costs	cost	cost
of	of	of
recounts	recount	recount
over	over	over
the	the	the
Thanksgiving	thanksgiv	Thanksgiving
holiday	holiday	holiday
,	,	,
and	and	and
as	as	a
soon	soon	soon
as	as	a
the	the	the
Green	green	Green
Party	parti	Party
pays	pay	pay
its	it	it
fee	fee	fee
,	,	,
the	the	the
Wisconsin	wisconsin	Wisconsin
Elections	elect	Elections
Board	board	Board
is	is	is
prepared	prepar	prepared
to	to	to
go	go	go
forward	forward	forward
with	with	with
a	a	a
statewide	statewid	statewide
recount	recount	recount
.	.	.
The	the	The
elections	elect	election
board	board	board
has	has	ha
already	alreadi	already
put	put	put
an	an	an
internal	intern	internal
team	team	team
together	togeth	together
,	,	,
they	they	they
ve	ve	ve
been	been	been
working	work	working
with	with	with
their	their	their
county	counti	county
clerks	clerk	clerk
,	,	,
and	and	and
they	they	they
ve	ve	ve
arranged	arrang	arranged
for	for	for
the	the	the
necessary	necessari	necessary
legal	legal	legal
counsel	counsel	counsel
from	from	from
the	the	the
Wisconsin	wisconsin	Wisconsin
Department	depart	Department
of	of	of
Justice	justic	Justice
.	.	.
Michael	michael	Michael
Haas	haa	Haas
,	,	,
the	the	the
election	elect	election
board	board	board
s	s	s
administrator	administr	administrator
,	,	,
said	said	said
We	we	We
plan	plan	plan
to	to	to
hold	hold	hold
a	a	a
teleconference	teleconfer	teleconference
meeting	meet	meeting
for	for	for
county	counti	county
clerks	clerk	clerk
next	next	next
week	week	week
and	and	and
anticipate	anticip	anticipate
the	the	the
recount	recount	recount
will	will	will
begin	begin	begin
late	late	late
in	in	in
the	the	the
week	week	week
after	after	after
the	the	the
Stein	stein	Stein
campaign	campaign	campaign
has	has	ha
paid	paid	paid
the	the	the
recount	recount	recount
fee	fee	fee
,	,	,
which	which	which
we	we	we
are	are	are
still	still	still
calculating	calcul	calculating
.	.	.
This	this	This
is	is	is
unlike	unlik	unlike
the	the	the
Florida	florida	Florida
recounts	recount	recount
in	in	in
2000	2000	2000
,	,	,
where	where	where
the	the	the
vote	vote	vote
was	was	wa
so	so	so
close	close	close
it	it	it
automatically	automat	automatically
triggered	trigger	triggered
a	a	a
machine	machin	machine
recount	recount	recount
.	.	.
From	from	From
there	there	there
,	,	,
well	well	well
,	,	,
we	we	we
all	all	all
remember	rememb	remember
how	how	how
it	it	it
spiraled	spiral	spiraled
out	out	out
of	of	of
control	control	control
.	.	.
Al	al	Al
Gore	gore	Gore
won	won	won
the	the	the
popular	popular	popular
vote	vote	vote
that	that	that
year	year	year
,	,	,
but	but	but
not	not	not
nearly	near	nearly
to	to	to
the	the	the
degree	degre	degree
that	that	that
Hillary	hillari	Hillary
has	has	ha
won	won	won
this	this	this
year	year	year
s	s	s
popular	popular	popular
vote	vote	vote
.	.	.
Also	also	Also
,	,	,
Wisconsin	wisconsin	Wisconsin
does	doe	doe
not	not	not
have	have	have
an	an	an
automatic	automat	automatic
recount	recount	recount
trigger	trigger	trigger
a	a	a
candidate	candid	candidate
has	has	ha
to	to	to
request	request	request
a	a	a
recount	recount	recount
no	no	no
matter	matter	matter
how	how	how
close	close	close
the	the	the
vote	vote	vote
is	is	is
.	.	.
A	a	A
battleground	battleground	battleground
state	state	state
recount	recount	recount
isn	isn	isn
t	t	t
going	go	going
to	to	to
help	help	help
Jill	jill	Jill
Stein	stein	Stein
any	ani	any
,	,	,
and	and	and
she	she	she
knows	know	know
that	that	that
,	,	,
so	so	so
what	what	what
s	s	s
her	her	her
game	game	game
here	here	here
?	?	?
She	she	She
says	say	say
she	she	she
s	s	s
worried	worri	worried
that	that	that
foreign	foreign	foreign
hackers	hacker	hacker
skewed	skew	skewed
our	our	our
votes	vote	vote
and	and	and
elected	elect	elected
Trump	trump	Trump
for	for	for
us	us	u
.	.	.
The	the	The
Green	green	Green
Party	parti	Party
is	is	is
actually	actual	actually
asking	ask	asking
Wisconsin	wisconsin	Wisconsin
for	for	for
a	a	a
reconciliation	reconcili	reconciliation
of	of	of
paper	paper	paper
records	record	record
,	,	,
which	which	which
goes	goe	go
a	a	a
step	step	step
beyond	beyond	beyond
a	a	a
simple	simpl	simple
vote	vote	vote
recount	recount	recount
it	it	it
s	s	s
an	an	an
audit	audit	audit
of	of	of
paper	paper	paper
ballots	ballot	ballot
and	and	and
paper	paper	paper
trails	trail	trail
from	from	from
electronic	electron	electronic
voting	vote	voting
machines	machin	machine
.	.	.
They	they	They
re	re	re
focusing	focus	focusing
on	on	on
the	the	the
substantial	substanti	substantial
increase	increas	increase
