Neil	neil	Neil
DeGrasse	degrass	DeGrasse
Tyson	tyson	Tyson
has	has	ha
always	alway	always
put	put	put
science	scienc	science
before	befor	before
politics	polit	politics
,	,	,
sometimes	sometim	sometimes
frustratingly	frustrat	frustratingly
so	so	so
.	.	.

Right	right	Right
after	after	after
Trump	trump	Trump
was	was	wa
elected	elect	elected
,	,	,
Tyson	tyson	Tyson
appeared	appear	appeared
on	on	on
Stephen	stephen	Stephen
Colbert	colbert	Colbert
s	s	s
show	show	show
,	,	,
and	and	and
rather	rather	rather
than	than	than
opine	opin	opine
,	,	,
he	he	he
chose	chose	chose
to	to	to
try	tri	try
to	to	to
comfort	comfort	comfort
the	the	the
host	host	host
by	by	by
saying	say	saying
that	that	that
when	when	when
you	you	you
look	look	look
at	at	at
earth	earth	earth
from	from	from
outer	outer	outer
space	space	space
,	,	,
our	our	our
problems	problem	problem
dissolve	dissolv	dissolve
.	.	.

He	he	He
also	also	also
said	said	said
The	the	The
politician	politician	politician
is	is	is
representing	repres	representing
an	an	an
electorate	elector	electorate
.	.	.

So	so	So
,	,	,
really	realli	really
,	,	,
if	if	if
you	you	you
re	re	re
against	against	against
a	a	a
politician	politician	politician
,	,	,
you	you	you
re	re	re
against	against	against
their	their	their
voter	voter	voter
base	base	base
,	,	,
fellow	fellow	fellow
citizens	citizen	citizen
of	of	of
this	this	this
country	countri	country
,	,	,
he	he	he
said	said	said
.	.	.

So	so	So
I	i	I
as	as	a
an	an	an
educator	educ	educator
,	,	,
when	when	when
I	i	I
want	want	want
to	to	to
educate	educ	educate
people	peopl	people
,	,	,
I	i	I
don	don	don
t	t	t
say	say	say
,	,	,
Don	don	Don
t	t	t
vote	vote	vote
for	for	for
this	this	this
person	person	person
or	or	or
Vote	vote	Vote
for	for	for
that	that	that
person	person	person
.	.	.

I	i	I
just	just	just
simply	simpli	simply
educate	educ	educate
you	you	you
,	,	,
so	so	so
that	that	that
when	when	when
the	the	the
time	time	time
comes	come	come
,	,	,
you	you	you
can	can	can
make	make	make
as	as	a
informed	inform	informed
a	a	a
decision	decis	decision
as	as	a
you	you	you
can	can	can
.	.	.

Now	now	Now
,	,	,
though	though	though
,	,	,
Tyson	tyson	Tyson
is	is	is
changing	chang	changing
his	his	his
tone	tone	tone
.	.	.

The	the	The
Trump	trump	Trump
administration	administr	administration
is	is	is
clearly	clear	clearly
anti	anti	anti
-science	-scienc	-science
and	and	and
it	it	it
s	s	s
anti	anti	anti
-education	-educ	-education
.	.	.

For	for	For
Dr	dr	Dr
.	.	.
Tyson	tyson	Tyson
,	,	,
it	it	it
s	s	s
time	time	time
to	to	to
speak	speak	speak
out	out	out
right	right	right
before	befor	before
protesters	protest	protester
across	across	across
the	the	the
nation	nation	nation
are	are	are
prepared	prepar	prepared
to	to	to
march	march	march
for	for	for
science	scienc	science
.	.	.

He	he	He
posted	post	posted
this	this	this
video	video	video
to	to	to
Facebook	facebook	Facebook
on	on	on
Friday	friday	Friday
Science	scienc	Science
is	is	is
a	a	a
fundamental	fundament	fundamental
part	part	part
of	of	of
the	the	the
country	countri	country
that	that	that
we	we	we
are	are	are
,	,	,
Tyson	tyson	Tyson
said	said	said
.	.	.

When	when	When
you	you	you
have	have	have
people	peopl	people
who	who	who
don	don	don
t	t	t
know	know	know
much	much	much
about	about	about
science	scienc	science
standing	stand	standing
in	in	in
denial	denial	denial
of	of	of
it	it	it
and	and	and
rising	rise	rising
to	to	to
power	power	power
,	,	,
that	that	that
is	is	is
a	a	a
recipe	recip	recipe
for	for	for
the	the	the
complete	complet	complete
dismantling	dismantl	dismantling
of	of	of
our	our	our
informed	inform	informed
democracy	democraci	democracy
.	.	.

While	while	While
Tyson	tyson	Tyson
was	was	wa
clearly	clear	clearly
talking	talk	talking
about	about	about
Donald	donald	Donald
Trump	trump	Trump
,	,	,
anti	anti	anti
-GMO	-gmo	-GMO
anti	anti	anti
-vaxxer	-vaxxer	-vaxxer
often	often	often
liberals	liber	liberal
were	were	were
taken	taken	taken
to	to	to
task	task	task
as	as	a
well	well	well
.	.	.
Tyson	tyson	Tyson
didn	didn	didn
t	t	t
deny	deni	deny
that	that	that
science	scienc	science
has	has	ha
a	a	a
place	place	place
in	in	in
politics	polit	politics
.	.	.

Once	onc	Once
we	we	we
agree	agre	agree
,	,	,
for	for	for
example	exampl	example
,	,	,
that	that	that
humans	human	human
are	are	are
causing	caus	causing
climate	climat	climate
change	chang	change
,	,	,
we	we	we
can	can	can
debate	debat	debate
how	how	how
to	to	to
fix	fix	fix
the	the	the
problem	problem	problem
,	,	,
but	but	but
until	until	until
we	we	we
agree	agre	agree
that	that	that
there	there	there
is	is	is
a	a	a
problem	problem	problem
,	,	,
we	we	we
re	re	re
screwed	screw	screwed
.	.	.
Donald	donald	Donald
Trump	trump	Trump
s	s	s
name	name	name
wasn	wasn	wasn
t	t	t
mentioned	mention	mentioned
at	at	at
all	all	all
during	dure	during
the	the	the
four	four	four
-minute	-minut	-minute
video	video	video
,	,	,
and	and	and
it	it	it
didn	didn	didn
t	t	t
need	need	need
to	to	to
be	be	be
.	.	.

It	it	It
was	was	wa
clear	clear	clear
that	that	that
Tyson	tyson	Tyson
was	was	wa
frustrated	frustrat	frustrated
dare	dare	dare
I	i	I
say	say	say
angry	angri	angry
?	?	?
that	that	that
his	his	his
career	career	career
