Poor	poor	Poor
Andrew	andrew	Andrew
Anglin	anglin	Anglin
,	,	,
the	the	the
Nazi	nazi	Nazi
behind	behind	behind
the	the	the
website	websit	website
the	the	the
Daily	daili	Daily
Stormer	stormer	Stormer
.	.	.

He	he	He
just	just	just
can	can	can
t	t	t
catch	catch	catch
a	a	a
break	break	break
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
web	web	web
hosts	host	host
,	,	,
along	along	along
with	with	with
Google	googl	Google
,	,	,
decided	decid	decided
to	to	to
drop	drop	drop
his	his	his
site	site	site
after	after	after
the	the	the
Charlottesville	charlottesvill	Charlottesville
riot	riot	riot
because	becaus	because
he	he	he
mocked	mock	mocked
Heather	heather	Heather
Heyer	heyer	Heyer
,	,	,
who	who	who
was	was	wa
murdered	murder	murdered
there	there	there
by	by	by
a	a	a
white	white	white
supremacist	supremacist	supremacist
.	.	.

Ever	ever	Ever
since	sinc	since
then	then	then
,	,	,
he	he	he
s	s	s
bounced	bounc	bounced
the	the	the
site	site	site
from	from	from
country	countri	country
to	to	to
country	countri	country
,	,	,
trying	tri	trying
to	to	to
find	find	find
someone	someon	someone
who	who	who
will	will	will
have	have	have
him	him	him
.	.	.

The	the	The
Daily	daili	Daily
Stormer	stormer	Stormer
has	has	ha
been	been	been
shut	shut	shut
down	down	down
in	in	in
China	china	China
and	and	and
Albania	albania	Albania
,	,	,
and	and	and
appeared	appear	appeared
on	on	on
a	a	a
Russian	russian	Russian
domain	domain	domain
for	for	for
a	a	a
few	few	few
hours	hour	hour
but	but	but
even	even	even
Russia	russia	Russia
wasn	wasn	wasn
t	t	t
having	have	having
it	it	it
.	.	.

Most	most	Most
recently	recent	recently
,	,	,
Anglin	anglin	Anglin
has	has	ha
had	had	had
his	his	his
website	websit	website
on	on	on
a	a	a
domain	domain	domain
registered	regist	registered
in	in	in
Iceland	iceland	Iceland
,	,	,
and	and	and
Iceland	iceland	Iceland
just	just	just
became	becam	became
the	the	the
latest	latest	latest
country	countri	country
to	to	to
shut	shut	shut
him	him	him
down	down	down
.	.	.
Iceland	iceland	Iceland
has	has	ha
pretty	pretti	pretty
stringent	stringent	stringent
hate	hate	hate
speech	speech	speech
laws	law	law
,	,	,
but	but	but
that	that	that
s	s	s
not	not	not
why	whi	why
they	they	they
shut	shut	shut
him	him	him
down	down	down
.	.	.

According	accord	According
to	to	to
the	the	the
Reykjavik	reykjavik	Reykjavik
Grapevine	grapevin	Grapevine
,	,	,
ISNIC	isnic	ISNIC
,	,	,
the	the	the
registry	registri	registry
company	compani	company
for	for	for
.	.	.
is	is	is
domains	domain	domain
,	,	,
shut	shut	shut
him	him	him
down	down	down
over	over	over
a	a	a
different	differ	different
violation	violat	violation
of	of	of
their	their	their
terms	term	term
of	of	of
service	servic	service
.	.	.

Jens	jen	Jens
Petur	petur	Petur
Jensen	jensen	Jensen
,	,	,
the	the	the
CEO	ceo	CEO
of	of	of
ISNIC	isnic	ISNIC
,	,	,
said	said	said
Our	our	Our
terms	term	term
of	of	of
service	servic	service
are	are	are
very	veri	very
clear	clear	clear
.	.	.

All	all	All
registrants	registr	registrant
must	must	must
provide	provid	provide
proof	proof	proof
of	of	of
who	who	who
they	they	they
are	are	are
,	,	,
and	and	and
where	where	where
they	they	they
are	are	are
physically	physic	physically
located	locat	located
.	.	.

Daily	daili	Daily
Stormer	stormer	Stormer
founder	founder	founder
Andrew	andrew	Andrew
Anglin	anglin	Anglin
doesn	doesn	doesn
t	t	t
want	want	want
to	to	to
do	do	do
that	that	that
.	.	.

Anglin	anglin	Anglin
is	is	is
afraid	afraid	afraid
that	that	that
Jensen	jensen	Jensen
will	will	will
share	share	share
his	his	his
information	inform	information
with	with	with
Icelandic	iceland	Icelandic
authorities	author	authority
,	,	,
who	who	who
will	will	will
then	then	then
share	share	share
it	it	it
with	with	with
U	u	U
.	.	.
S	s	S
.	.	.
authorities	author	authority
.	.	.

Anglin	anglin	Anglin
is	is	is
in	in	in
trouble	troubl	trouble
with	with	with
the	the	the
law	law	law
here	here	here
for	for	for
harassing	harass	harassing
and	and	and
threatening	threaten	threatening
a	a	a
Jewish	jewish	Jewish
woman	woman	woman
in	in	in
Ohio	ohio	Ohio
.	.	.

Jensen	jensen	Jensen
told	told	told
the	the	the
Grapevine	grapevin	Grapevine
that	that	that
he	he	he
would	would	would
,	,	,
in	in	in
fact	fact	fact
,	,	,
do	do	do
exactly	exact	exactly
what	what	what
Anglin	anglin	Anglin
is	is	is
scared	scare	scared
of	of	of
.	.	.
Anglin	anglin	Anglin
,	,	,
meanwhile	meanwhil	meanwhile
,	,	,
is	is	is
crying	cri	cry
about	about	about
this	this	this
over	over	over
on	on	on
Gab	gab	Gab
,	,	,
an	an	an
ad	ad	ad
-free	-free	-free
social	social	social
media	media	medium
network	network	network
that	that	that
appears	appear	appears
to	to	to
work	work	work
like	like	like
Twitter	twitter	Twitter
.	.	.

And	and	And
he	he	he
s	s	s
completely	complet	completely
lost	lost	lost
control	control	control
.	.	.

It	it	It
would	would	would
be	be	be
hilarious	hilari	hilarious
if	if	if
it	it	it
weren	weren	weren
t	t	t
so	so	so
sad	sad	sad
Gee	gee	Gee
,	,	,
one	one	one
might	might	might
think	think	think
he	he	he
wouldn	wouldn	wouldn
t	t	t
have	have	have
to	to	to
worry	worri	worry
about	about	about
any	ani	any
of	of	of
this	this	this
if	if	if
he	he	he
weren	weren	weren
t	t	t
spreading	spread	spreading
hate	hate	hate
speech	speech	speech
and	and	and
propaganda	propaganda	propaganda
.	.	.

Or	or	Or
harassing	harass	harassing
and	and	and
threatening	threaten	threatening
people	peopl	people
.	.	.

But	but	But
that	that	that
s	s	s
ridiculous	ridicul	ridiculous
.	.	.

Anglin	anglin	Anglin
is	is	is
a	a	a
Nazi	nazi	Nazi
,	,	,
and	and	and
like	like	like
all	all	all
the	the	the
Nazis	nazi	Nazis
and	and	and
KKK	kkk	KKK
members	member	member
and	and	and
other	other	other
white	white	white
supremacists	supremacist	supremacist
,	,	,
hate	hate	hate
is	is	is
in	in	in
his	his	his
blood	blood	blood
.	.	.

Our	our	Our
hearts	heart	heart
bleed	bleed	bleed
pink	pink	pink
carbonated	carbon	carbonated
peanut	peanut	peanut
butter	butter	butter
for	for	for
the	the	the
fact	fact	fact
that	that	that
he	he	he
s	s	s
having	have	having
trouble	troubl	trouble
keeping	keep	keeping
his	his	his
website	websit	website
up	up	up
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
Getty	getti	Getty
Images	imag	Images
and	and	and
