Arrogant	arrog	Arrogant
and	and	and
smug	smug	smug
is	is	is
what	what	what
we	we	we
d	d	d
call	call	call
McConnell	mcconnel	McConnell
when	when	when
he	he	he
spoke	spoke	spoke
to	to	to
a	a	a
group	group	group
telling	tell	telling
them	them	them
Trump	trump	Trump
has	has	ha
excessive	excess	excessive
expectations	expect	expectation
of	of	of
government	govern	government
Unbelievable	unbeliev	Unbelievable
!	!	!
After	after	After
7	7	7
years	year	year
of	of	of
promises	promis	promise
,	,	,
the	the	the
Senate	senat	Senate
leader	leader	leader
can	can	can
t	t	t
do	do	do
a	a	a
thing	thing	thing
McConnell	mcconnel	McConnell
should	should	should
take	take	take
the	the	the
blame	blame	blame
for	for	for
the	the	the
do	do	do
-nothing	-noth	-nothing
Senate	senat	Senate
!	!	!
Speaking	speak	Speaking
at	at	at
a	a	a
Rotary	rotari	Rotary
Club	club	Club
gathering	gather	gathering
in	in	in
Kentucky	kentucki	Kentucky
on	on	on
Monday	monday	Monday
,	,	,
Senate	senat	Senate
Majority	major	Majority
Leader	leader	Leader
Mitch	mitch	Mitch
McConnell	mcconnel	McConnell
vented	vent	vented
about	about	about
how	how	how
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
lack	lack	lack
of	of	of
political	polit	political
experience	experi	experience
has	has	ha
led	led	led
to	to	to
him	him	him
setting	set	setting
excessive	excess	excessive
expectations	expect	expectation
for	for	for
legislative	legisl	legislative
priorities	prioriti	priority
.	.	.
McConnell	mcconnel	McConnell
,	,	,
R	r	R
-Ky	-ki	-Ky
.	.	.
,	,	,
told	told	told
the	the	the
group	group	group
in	in	in
Florence	florenc	Florence
that	that	that
he	he	he
found	found	found
it	it	it
extremely	extrem	extremely
irritating	irrit	irritating
that	that	that
Congress	congress	Congress
has	has	ha
earned	earn	earned
the	the	the
reputation	reput	reputation
of	of	of
not	not	not
accomplishing	accomplish	accomplishing
anything	anyth	anything
.	.	.

Part	part	Part
of	of	of
the	the	the
reason	reason	reason
I	i	I
think	think	think
that	that	that
the	the	the
storyline	storylin	storyline
is	is	is
that	that	that
we	we	we
haven	haven	haven
t	t	t
done	done	done
much	much	much
is	is	is
because	becaus	because
,	,	,
in	in	in
part	part	part
,	,	,
the	the	the
president	presid	president
and	and	and
others	other	others
have	have	have
set	set	set
these	these	these
early	earli	early
timelines	timelin	timeline
about	about	about
things	thing	thing
need	need	need
to	to	to
be	be	be
done	done	done
by	by	by
a	a	a
certain	certain	certain
point	point	point
,	,	,
said	said	said
McConnell	mcconnel	McConnell
,	,	,
a	a	a
Republican	republican	Republican
and	and	and
the	the	the
state	state	state
s	s	s
senior	senior	senior
senator	senat	senator
.	.	.
Trump	trump	Trump
,	,	,
a	a	a
political	polit	political
newcomer	newcom	newcomer
,	,	,
as	as	a
McConnell	mcconnel	McConnell
noted	note	noted
,	,	,
has	has	ha
a	a	a
habit	habit	habit
of	of	of
declaring	declar	declaring
progress	progress	progress
on	on	on
major	major	major
priorities	prioriti	priority
that	that	that
do	do	do
not	not	not
necessarily	necessarili	necessarily
reflect	reflect	reflect
the	the	the
reality	realiti	reality
of	of	of
lawmaking	lawmak	lawmaking
.	.	.
For	for	For
example	exampl	example
,	,	,
as	as	a
the	the	the
House	hous	House
was	was	wa
in	in	in
the	the	the
midst	midst	midst
of	of	of
negotiations	negoti	negotiation
about	about	about
its	it	it
Obamacare	obamacar	Obamacare
replacement	replac	replacement
bill	bill	bill
in	in	in
February	februari	February
,	,	,
Trump	trump	Trump
announced	announc	announced
that	that	that
Congress	congress	Congress
was	was	wa
in	in	in
the	the	the
final	final	final
stages	stage	stage
of	of	of
its	it	it
bill	bill	bill
and	and	and
said	said	said
it	it	it
would	would	would
be	be	be
ready	readi	ready
for	for	for
submitting	submit	submitting
in	in	in
March	march	March
.	.	.

While	while	While
the	the	the
House	hous	House
bill	bill	bill
was	was	wa
unveiled	unveil	unveiled
in	in	in
March	march	March
,	,	,
that	that	that
chamber	chamber	chamber
didn	didn	didn
t	t	t
vote	vote	vote
on	on	on
it	it	it
until	until	until
May	may	May
,	,	,
and	and	and
health	health	health
care	care	care
votes	vote	vote
continued	continu	continued
until	until	until
the	the	the
end	end	end
of	of	of
July	juli	July
.	.	.
That	that	That
sort	sort	sort
of	of	of
disconnect	disconnect	disconnect
has	has	ha
led	led	led
to	to	to
Trump	trump	Trump
s	s	s
expressing	express	expressing
disappointment	disappoint	disappointment
when	when	when
bills	bill	bill
chief	chief	chief
among	among	among
them	them	them
