Didn	didn	Didn
t	t	t
America	america	America
have	have	have
to	to	to
suffer	suffer	suffer
through	through	through
a	a	a
high	high	high
profile	profil	profile
perjury	perjuri	perjury
case	case	case
for	for	for
another	anoth	another
Clinton	clinton	Clinton
not	not	not
so	so	so
many	mani	many
years	year	year
ago	ago	ago
?	?	?
Oh	oh	Oh
yeah	yeah	yeah
that	that	that
was	was	wa
Bill	bill	Bill
Clinton	clinton	Clinton
who	who	who
was	was	wa
actually	actual	actually
IMPEACHED	impeach	IMPEACHED
for	for	for
LYING	lie	LYING
to	to	to
a	a	a
grand	grand	grand
jury	juri	jury
.	.	.
Is	is	Is
there	there	there
a	a	a
more	more	more
corrupt	corrupt	corrupt
,	,	,
self	self	self
-serving	-serv	-serving
power	power	power
-driven	-driven	-driven
couple	coupl	couple
in	in	in
America	america	America
?	?	?
WASHINGTON	washington	WASHINGTON
,	,	,
D	d	D
.	.	.
C	c	C
.	.	.
Today	today	Today
,	,	,
House	hous	House
Oversight	oversight	Oversight
and	and	and
Government	govern	Government
Reform	reform	Reform
Committee	committe	Committee
Chairman	chairman	Chairman
Jason	jason	Jason
Chaffetz	chaffetz	Chaffetz
UT	ut	UT
-03	-03	-03
and	and	and
House	hous	House
Judiciary	judiciari	Judiciary
Committee	committe	Committee
Chairman	chairman	Chairman
Bob	bob	Bob
Goodlatte	goodlatt	Goodlatte
VA	va	VA
-06	-06	-06
sent	sent	sent
a	a	a
letter	letter	letter
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Attorney	attorney	Attorney
for	for	for
the	the	the
District	district	District
of	of	of
Columbia	columbia	Columbia
requesting	request	requesting
an	an	an
investigation	investig	investigation
into	into	into
whether	whether	whether
former	former	former
Secretary	secretari	Secretary
of	of	of
State	state	State
Hillary	hillari	Hillary
Clinton	clinton	Clinton
committed	commit	committed
perjury	perjuri	perjury
and	and	and
made	made	made
false	fals	false
statements	statement	statement
when	when	when
testifying	testifi	testifying
under	under	under
oath	oath	oath
before	befor	before
Congress	congress	Congress
.	.	.
The	the	The
letter	letter	letter
states	state	state
The	the	The
evidence	evid	evidence
collected	collect	collected
by	by	by
the	the	the
