Get	get	Get
ready	readi	ready
for	for	for
the	the	the
Donald	donald	Donald
Trump	trump	Trump
temper	temper	temper
tantrum	tantrum	tantrum
on	on	on
Twitter	twitter	Twitter
.	.	.
For	for	For
the	the	the
ninth	ninth	ninth
consecutive	consecut	consecutive
year	year	year
,	,	,
the	the	the
American	american	American
people	peopl	people
have	have	have
chosen	chosen	chosen
President	presid	President
Obama	obama	Obama
as	as	a
the	the	the
most	most	most
admired	admir	admired
man	man	man
of	of	of
the	the	the
year	year	year
,	,	,
a	a	a
new	new	new
Gallup	gallup	Gallup
poll	poll	poll
reveals	reveal	reveals
.	.	.
President	presid	President
Obama	obama	Obama
received	receiv	received
22	22	22
percent	percent	percent
of	of	of
the	the	the
vote	vote	vote
while	while	while
Donald	donald	Donald
Trump	trump	Trump
only	onli	only
received	receiv	received
15	15	15
percent	percent	percent
.	.	.
According	accord	According
to	to	to
Gallup	gallup	Gallup
,	,	,
Obama	obama	Obama
s	s	s
win	win	win
over	over	over
Trump	trump	Trump
this	this	this
year	year	year
is	is	is
largely	larg	largely
a	a	a
result	result	result
of	of	of
the	the	the
president	presid	president
earning	earn	earning
more	more	more
mentions	mention	mention
among	among	among
Democrats	democrat	Democrats
than	than	than
Trump	trump	Trump
receives	receiv	receives
from	from	from
Republicans	republican	Republicans
.	.	.
Fifty	fifti	Fifty
percent	percent	percent
of	of	of
Democrats	democrat	Democrats
named	name	named
Obama	obama	Obama
as	as	a
most	most	most
admired	admir	admired
,	,	,
compared	compar	compared
with	with	with
34	34	34
of	of	of
Republicans	republican	Republicans
choosing	choos	choosing
Trump	trump	Trump
.	.	.
So	so	So
Trump	trump	Trump
is	is	is
not	not	not
even	even	even
admired	admir	admired
by	by	by
a	a	a
majority	major	majority
of	of	of
his	his	his
own	own	own
party	parti	party
.	.	.
SAD	sad	SAD
!	!	!
And	and	And
while	while	while
Gallup	gallup	Gallup
did	did	did
mention	mention	mention
that	that	that
it	it	it
s	s	s
possible	possibl	possible
that	that	that
Trump	trump	Trump
could	could	could
continue	continu	continue
the	the	the
trend	trend	trend
of	of	of
incumbent	incumb	incumbent
presidents	presid	president
winning	win	winning
the	the	the
title	titl	title
in	in	in
2017	2017	2017
,	,	,
it	it	it
will	will	will
be	be	be
harder	harder	harder
to	to	to
do	do	do
so	so	so
if	if	if
his	his	his
approval	approv	approval
ratings	rate	rating
continue	continu	continue
to	to	to
be	be	be
in	in	in
the	the	the
toilet	toilet	toilet
.	.	.
But	but	But
there	there	there
s	s	s
more	more	more
.	.	.
Hillary	hillari	Hillary
Clinton	clinton	Clinton
captured	captur	captured
12	12	12
percent	percent	percent
of	of	of
the	the	the
vote	vote	vote
to	to	to
win	win	win
the	the	the
title	titl	title
of	of	of
most	most	most
admired	admir	admired
woman	woman	woman
for	for	for
the	the	the
15th	15th	15th
consecutive	consecut	consecutive
year	year	year
.	.	.
But	but	But
Melania	melania	Melania
Trump	trump	Trump
,	,	,
nor	nor	nor
Ivanka	ivanka	Ivanka
Trump	trump	Trump
,	,	,
made	made	made
the	the	the
list	list	list
.	.	.
First	first	First
Lady	ladi	Lady
Michelle	michell	Michelle
Obama	obama	Obama
,	,	,
however	howev	however
,	,	,
came	came	came
in	in	in
second	second	second
.	.	.
Clearly	clear	Clearly
,	,	,
the	the	the
American	american	American
people	peopl	people
think	think	think
much	much	much
higher	higher	higher
of	of	of
President	presid	President
Obama	obama	Obama
and	and	and
Hillary	hillari	Hillary
Clinton	clinton	Clinton
than	than	than
they	they	they
do	do	do
of	of	of
Donald	donald	Donald
Trump	trump	Trump
.	.	.
After	after	After
all	all	all
,	,	,
Clinton	clinton	Clinton
did	did	did
win	win	win
the	the	the
popular	popular	popular
vote	vote	vote
in	in	in
an	an	an
election	elect	election
which	which	which
Russia	russia	Russia
intervened	interven	intervened
on	on	on
Trump	trump	Trump
s	s	s
behalf	behalf	behalf
.	.	.
Had	had	Had
President	presid	President
Obama	obama	Obama
been	been	been
on	on	on
the	the	the
ballot	ballot	ballot
,	,	,
he	he	he
more	more	more
than	than	than
likely	like	likely
would	would	would
have	have	have
won	won	won
a	a	a
third	third	third
term	term	term
.	.	.
He	he	He
is	is	is
wildly	wild	wildly
popular	popular	popular
and	and	and
has	has	ha
strong	strong	strong
approval	approv	approval
ratings	rate	rating
.	.	.
Donald	donald	Donald
Trump	trump	Trump
,	,	,
on	on	on
the	the	the
other	other	other
hand	hand	hand
,	,	,
is	is	is
not	not	not
popular	popular	popular
.	.	.
His	his	His
approval	approv	approval
ratings	rate	rating
have	have	have
only	onli	only
risen	risen	risen
slightly	slight	slightly
since	sinc	since
the	the	the
election	elect	election
and	and	and
Americans	american	Americans
are	are	are
getting	get	getting
sick	sick	sick
of	of	of
his	his	his
Twitter	twitter	Twitter
tantrums	tantrum	tantrum
.	.	.
He	he	He
is	is	is
already	alreadi	already
taking	take	taking
credit	credit	credit
for	for	for
things	thing	thing
that	that	that
President	presid	President
Obama	obama	Obama
did	did	did
and	and	and
he	he	he
is	is	is
putting	put	putting
our	our	our
foreign	foreign	foreign
policy	polici	policy
in	in	in
serious	serious	serious
jeopardy	jeopardi	jeopardy
.	.	.
Trump	trump	Trump
is	is	is
a	a	a
joke	joke	joke
as	as	a
president	presid	president
-elect	-elect	-elect
.	.	.
And	and	And
he	he	he
will	will	will
continue	continu	continue
being	be	being
a	a	a
joke	joke	joke
in	in	in
the	the	the
White	white	White
House	hous	House
that	that	that
hostile	hostil	hostile
nations	nation	nation
will	will	will
take	take	take
advantage	advantag	advantage
of	of	of
.	.	.
And	and	And
Trump	trump	Trump
will	will	will
get	get	get
even	even	even
more	more	more
unpopular	unpopular	unpopular
as	as	a
he	he	he
signs	sign	sign
bills	bill	bill
to	to	to
strip	strip	strip
Americans	american	Americans
of	of	of
Obamacare	obamacar	Obamacare
,	,	,
Social	social	Social
Security	secur	Security
and	and	and
Medicare	medicar	Medicare
in	in	in
the	the	the
first	first	first
few	few	few
months	month	month
of	of	of
his	his	his
administration	administr	administration
.	.	.
And	and	And
if	if	if
he	he	he
does	doe	doe
that	that	that
,	,	,
he	he	he
is	is	is
surely	sure	surely
going	go	going
to	to	to
be	be	be
a	a	a
one	one	one
-term	-term	-term
president	presid	president
.	.	.
Featured	featur	Featured
Image	imag	Image
Joe	joe	Joe
Raedle	raedl	Raedle
Getty	getti	Getty
Images	imag	Images
