Leaked	leak	Leaked
documents	document	document
from	from	from
George	georg	George
Soros	soro	Soros
Open	open	Open
Society	societi	Society
Foundations	foundat	Foundations
reveal	reveal	reveal
how	how	how
Soros	soro	Soros
works	work	work
to	to	to
defeat	defeat	defeat
populist	populist	populist
candidates	candid	candidate
and	and	and
movements	movement	movement
in	in	in
Europe	europ	Europe
.	.	.
Soros	soro	Soros
,	,	,
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
citizen	citizen	citizen
,	,	,
uses	use	us
a	a	a
network	network	network
of	of	of
nonprofits	nonprofit	nonprofit
and	and	and
partner	partner	partner
organizations	organ	organization
across	across	across
Europe	europ	Europe
to	to	to
try	tri	try
and	and	and
affect	affect	affect
the	the	the
outcomes	outcom	outcome
of	of	of
elections	elect	election
in	in	in
foreign	foreign	foreign
countries	countri	country
,	,	,
the	the	the
documents	document	document
show	show	show
.	.	.
Through	through	Through
advocacy	advocaci	advocacy
efforts	effort	effort
,	,	,
education	educ	education
campaigns	campaign	campaign
and	and	and
media	media	medium
influencing	influenc	influencing
projects	project	project
,	,	,
Soros	soro	Soros
does	doe	doe
his	his	his
best	best	best
to	to	to
affect	affect	affect
electoral	elector	electoral
outcomes	outcom	outcome
around	around	around
the	the	the
globe	globe	globe
in	in	in
support	support	support
of	of	of
his	his	his
open	open	open
borders	border	border
worldview	worldview	worldview
.	.	.
Populist	populist	Populist
candidates	candid	candidate
opposed	oppos	opposed
to	to	to
mass	mass	mass
immigration	immigr	immigration
represent	repres	represent
a	a	a
direct	direct	direct
threat	threat	threat
to	to	to
that	that	that
worldview	worldview	worldview
THE	the	THE
PM	pm	PM
OF	of	OF
HUNGARY	hungari	HUNGARY
HAS	has	HAS
CALLED	call	CALLED
OUT	out	OUT
SOROS	soro	SOROS
ON	on	ON
HIS	his	HIS
MASS	mass	MASS
MIGRATION	migrat	MIGRATION
EFFORT	effort	EFFORT
It	it	It
is	is	is
causing	caus	causing
trouble	troubl	trouble
that	that	that
they	they	they
are	are	are
trying	tri	trying
secretly	secret	secretly
and	and	and
with	with	with
foreign	foreign	foreign
money	money	money
to	to	to
influence	influenc	influence
Hungarian	hungarian	Hungarian
politics	polit	politics
,	,	,
Orban	orban	Orban
said	said	said
.	.	.
OSF	osf	OSF
sent	sent	sent
35	35	35
,	,	,
000	000	000
to	to	to
the	the	the
Athena	athena	Athena
Institute	institut	Institute
for	for	for
the	the	the
express	express	express
purpose	purpos	purpose
of	of	of
Analyzing	analyz	Analyzing
and	and	and
reporting	report	reporting
the	the	the
2014	2014	2014
European	european	European
elections	elect	election
and	and	and
countering	counter	countering
extremist	extremist	extremist
and	and	and
populist	populist	populist
political	polit	political
voices	voic	voice
in	in	in
Hungary	hungari	Hungary
.	.	.
Another	anoth	Another
49	49	49
,	,	,
930	930	930
went	went	went
to	to	to
the	the	the
Institute	institut	Institute
for	for	for
European	european	European
Policy	polici	Policy
for	for	for
Naming	name	Naming
and	and	and
shaming	shame	shaming
populism	popul	populism
in	in	in
the	the	the
European	european	European
