GOP	gop	GOP
Tennessee	tennesse	Tennessee
State	state	State
Rep	rep	Rep
.	.	.
Andy	andi	Andy
Holt	holt	Holt
is	is	is
done	done	done
with	with	with
terrorism	terror	terrorism
.	.	.
His	his	His
solution	solut	solution
,	,	,
like	like	like
with	with	with
most	most	most
in	in	in
ammosexual	ammosexu	ammosexual
Republicans	republican	Republicans
,	,	,
is	is	is
more	more	more
guns	gun	gun
,	,	,
because	becaus	because
that	that	that
will	will	will
suddenly	sudden	suddenly
make	make	make
Muslim	muslim	Muslim
men	men	men
less	less	le
angry	angri	angry
with	with	with
us	us	u
,	,	,
or	or	or
something	someth	something
.	.	.
To	to	To
prove	prove	prove
it	it	it
,	,	,
Holt	holt	Holt
is	is	is
putting	put	putting
his	his	his
money	money	money
where	where	where
his	his	his
mouth	mouth	mouth
is	is	is
and	and	and
he	he	he
s	s	s
raffling	raffl	raffling
two	two	two
AR	ar	AR
-15	-15	-15
s	s	s
,	,	,
because	becaus	because
terrorism	terror	terrorism
.	.	.
To	to	To
be	be	be
fair	fair	fair
,	,	,
Holt	holt	Holt
had	had	had
planned	plan	planned
this	this	this
giveaway	giveaway	giveaway
before	befor	before
the	the	the
massacre	massacr	massacre
last	last	last
Sunday	sunday	Sunday
morning	morn	morning
,	,	,
but	but	but
at	at	at
the	the	the
same	same	same
time	time	time
,	,	,
Sunday	sunday	Sunday
s	s	s
massacre	massacr	massacre
is	is	is
only	onli	only
propelling	propel	propelling
him	him	him
to	to	to
go	go	go
on	on	on
with	with	with
it	it	it
because	becaus	because
,	,	,
a	a	a
crazed	craze	crazed
Muslim	muslim	Muslim
terrorist	terrorist	terrorist
shouldn	shouldn	shouldn
t	t	t
change	chang	change
the	the	the
plans	plan	plan
or	or	or
activities	activ	activity
that	that	that
we	we	we
have	have	have
as	as	a
Americans	american	Americans
.	.	.
I	i	I
think	think	think
there	there	there
is	is	is
nothing	noth	nothing
more	more	more
that	that	that
this	this	this
particular	particular	particular
individual	individu	individual
would	would	would
love	love	love
,	,	,
this	this	this
terrorist	terrorist	terrorist
,	,	,
than	than	than
to	to	to
think	think	think
that	that	that
he	he	he
has	has	ha
changed	chang	changed
a	a	a
significant	signific	significant
number	number	number
of	of	of
plans	plan	plan
for	for	for
Americans	american	Americans
,	,	,
and	and	and
also	also	also
that	that	that
maybe	mayb	maybe
gun	gun	gun
control	control	control
measures	measur	measure
will	will	will
be	be	be
instituted	institut	instituted
regarding	regard	regarding
the	the	the
use	use	use
of	of	of
firearms	firearm	firearm
here	here	here
in	in	in
the	the	the
United	unit	United
States	state	States
because	becaus	because
of	of	of
his	his	his
actions	action	action
,	,	,
Holt	holt	Holt
said	said	said
.	.	.
He	he	He
added	ad	added
,	,	,
I	i	I
don	don	don
t	t	t
concede	conced	concede
to	to	to
the	the	the
idea	idea	idea
we	we	we
should	should	should
change	chang	change
our	our	our
plans	plan	plan
because	becaus	because
this	this	this
individual	individu	individual
