Following	follow	Following
all	all	all
the	the	the
idiotic	idiot	idiotic
drama	drama	drama
of	of	of
Donald	donald	Donald
Trump	trump	Trump
s	s	s
choosing	choos	choosing
Mike	mike	Mike
Pence	penc	Pence
of	of	of
Indiana	indiana	Indiana
for	for	for
his	his	his
running	run	running
mate	mate	mate
,	,	,
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
choice	choic	choice
of	of	of
Senator	senat	Senator
Tim	tim	Tim
Kaine	kain	Kaine
may	may	may
have	have	have
seemed	seem	seemed
a	a	a
little	littl	little
lackluster	lacklust	lackluster
to	to	to
some	some	some
.	.	.
However	howev	However
,	,	,
Kaine	kain	Kaine
compliments	compliment	compliment
Hillary	hillari	Hillary
in	in	in
a	a	a
way	way	way
that	that	that
many	mani	many
people	peopl	people
probably	probabl	probably
haven	haven	haven
t	t	t
thought	thought	thought
of	of	of
,	,	,
and	and	and
their	their	their
pairing	pair	pairing
makes	make	make
Trump	trump	Trump
and	and	and
Pence	penc	Pence
look	look	look
far	far	far
worse	wors	worse
now	now	now
than	than	than
before	befor	before
.	.	.
Politifact	politifact	Politifact
,	,	,
which	which	which
Republicans	republican	Republicans
revile	revil	revile
because	becaus	because
they	they	they
think	think	think
facts	fact	fact
are	are	are
pesky	peski	pesky
,	,	,
annoying	annoy	annoying
things	thing	thing
to	to	to
be	be	be
ignored	ignor	ignored
,	,	,
put	put	put
out	out	out
a	a	a
scorecard	scorecard	scorecard
with	with	with
the	the	the
ratings	rate	rating
of	of	of
27	27	27
statements	statement	statement
Tim	tim	Tim
Kaine	kain	Kaine
has	has	ha
made	made	made
.	.	.
It	it	It
turns	turn	turn
out	out	out
that	that	that
he	he	he
has	has	ha
more	more	more
statements	statement	statement
rated	rate	rated
True	true	True
and	and	and
Mostly	most	Mostly
True	true	True
than	than	than
he	he	he
does	doe	doe
Half	half	Half
True	true	True
,	,	,
Mostly	most	Mostly
False	fals	False
,	,	,
and	and	and
False	fals	False
put	put	put
together	togeth	together
.	.	.
He	he	He
has	has	ha
no	no	no
Pants	pant	Pants
On	on	On
Fire	fire	Fire
ratings	rate	rating
at	at	at
all	all	all
.	.	.
Compare	compar	Compare
that	that	that
to	to	to
Mike	mike	Mike
Pence	penc	Pence
.	.	.
Politifact	politifact	Politifact
has	has	ha
rated	rate	rated
20	20	20
statements	statement	statement
Pence	penc	Pence
has	has	ha
made	made	made
,	,	,
and	and	and
of	of	of
those	those	those
20	20	20
,	,	,
only	onli	only
four	four	four
are	are	are
True	true	True
or	or	or
Mostly	most	Mostly
True	true	True
.	.	.
Four	four	Four
!	!	!
He	he	He
has	has	ha
six	six	six
Half	half	Half
True	true	True
statements	statement	statement
and	and	and
six	six	six
False	fals	False
statements	statement	statement
.	.	.
His	his	His
only	onli	only
saving	save	saving
grace	grace	grace
here	here	here
is	is	is
that	that	that
he	he	he
also	also	also
doesn	doesn	doesn
t	t	t
have	have	have
any	ani	any
Pants	pant	Pants
On	on	On
Fire	fire	Fire
ratings	rate	rating
.	.	.
A	a	A
look	look	look
at	at	at
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
and	and	and
Donald	donald	Donald
Trump	trump	Trump
s	s	s
Politifact	politifact	Politifact
scorecards	scorecard	scorecard
just	just	just
drives	drive	drive
home	home	home
the	the	the
point	point	point
that	that	that
the	the	the
GOP	gop	GOP
is	is	is
riddled	riddl	riddled
with	with	with
people	peopl	people
who	who	who
lie	lie	lie
and	and	and
spread	spread	spread
misinformation	misinform	misinformation
.	.	.
Trump	trump	Trump
,	,	,
being	be	being
the	the	the
master	master	master
liar	liar	liar
he	he	he
is	is	is
,	,	,
has	has	ha
more	more	more
False	fals	False
and	and	and
Pants	pant	Pants
On	on	On
Fire	fire	Fire
statements	statement	statement
than	than	than
he	he	he
does	doe	doe
Mostly	most	Mostly
False	fals	False
,	,	,
Half	half	Half
True	true	True
,	,	,
Mostly	most	Mostly
True	true	True
and	and	and
True	true	True
statements	statement	statement
combined	combin	combined
.	.	.
Hillary	hillari	Hillary
,	,	,
on	on	on
the	the	the
other	other	other
hand	hand	hand
,	,	,
has	has	ha
more	more	more
True	true	True
and	and	and
Mostly	most	Mostly
True	true	True
statements	statement	statement
than	than	than
she	she	she
