How	how	How
much	much	much
more	more	more
criminal	crimin	criminal
activity	activ	activity
are	are	are
American	american	American
voters	voter	voter
willing	will	willing
to	to	to
overlook	overlook	overlook
?	?	?
Have	have	Have
we	we	we
,	,	,
as	as	a
Americans	american	Americans
gotten	gotten	gotten
to	to	to
the	the	the
point	point	point
that	that	that
no	no	no
crime	crime	crime
committed	commit	committed
by	by	by
Hillary	hillari	Hillary
or	or	or
anyone	anyon	anyone
attached	attach	attached
to	to	to
Hillary	hillari	Hillary
will	will	will
disqualify	disqualifi	disqualify
her	her	her
from	from	from
being	be	being
elected	elect	elected
to	to	to
the	the	the
highest	highest	highest
office	offic	office
in	in	in
our	our	our
nation	nation	nation
?	?	?
Are	are	Are
we	we	we
willing	will	willing
to	to	to
accept	accept	accept
that	that	that
we	we	we
can	can	can
no	no	no
longer	longer	longer
trust	trust	trust
anyone	anyon	anyone
working	work	working
for	for	for
a	a	a
government	govern	government
organization	organ	organization
in	in	in
America	america	America
?	?	?
The	the	The
political	polit	political
organization	organ	organization
of	of	of
Virginia	virginia	Virginia
Gov	gov	Gov
.	.	.
Terry	terri	Terry
McAuliffe	mcauliff	McAuliffe
,	,	,
an	an	an
influential	influenti	influential
Democrat	democrat	Democrat
with	with	with
longstanding	longstand	longstanding
ties	tie	tie
to	to	to
Bill	bill	Bill
and	and	and
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
gave	gave	gave
nearly	near	nearly
500	500	500
,	,	,
000	000	000
to	to	to
the	the	the
election	elect	election
campaign	campaign	campaign
of	of	of
the	the	the
wife	wife	wife
of	of	of
an	an	an
official	offici	official
at	at	at
the	the	the
Federal	feder	Federal
Bureau	bureau	Bureau
of	of	of
Investigation	investig	Investigation
who	who	who
later	later	later
helped	help	helped
oversee	overse	oversee
the	the	the
investigation	investig	investigation
into	into	into
Mrs	mrs	Mrs
.	.	.
Clinton	clinton	Clinton
s	s	s
email	email	email
use	use	use
.	.	.
Campaign	campaign	Campaign
finance	financ	finance
records	record	record
show	show	show
Mr	mr	Mr
.	.	.
McAuliffe	mcauliff	McAuliffe
s	s	s
political	polit	political
-action	-action	-action
committee	committe	committee
donated	donat	donated
467	467	467
,	,	,
500	500	500
to	to	to
the	the	the
2015	2015	2015
state	state	state
Senate	senat	Senate
campaign	campaign	campaign
of	of	of
Dr	dr	Dr
.	.	.
Jill	jill	Jill
McCabe	mccabe	McCabe
,	,	,
who	who	who
is	is	is
married	marri	married
to	to	to
Andrew	andrew	Andrew
McCabe	mccabe	McCabe
,	,	,
now	now	now
the	the	the
deputy	deputi	deputy
director	director	director
of	of	of
the	the	the
FBI	fbi	FBI
.	.	.
The	the	The
Virginia	virginia	Virginia
Democratic	democrat	Democratic
Party	parti	Party
,	,	,
over	over	over
which	which	which
Mr	mr	Mr
.	.	.
McAuliffe	mcauliff	McAuliffe
exerts	exert	exerts
considerable	consider	considerable
control	control	control
,	,	,
donated	donat	donated
an	an	an
additional	addit	additional
207	207	207
,	,	,
788	788	788
worth	worth	worth
of	of	of
support	support	support
to	to	to
Dr	dr	Dr
.	.	.
McCabe	mccabe	McCabe
s	s	s
campaign	campaign	campaign
in	in	in
the	the	the
form	form	form
of	of	of
