Sweet	sweet	Sweet
cheese	chees	cheese
!	!	!

Donald	donald	Donald
Trump	trump	Trump
is	is	is
the	the	the
gift	gift	gift
that	that	that
keeps	keep	keep
on	on	on
giving	give	giving
.	.	.

I	i	I
ve	ve	ve
said	said	said
repeatedly	repeat	repeatedly
that	that	that
I	i	I
love	love	love
Trump	trump	Trump
because	becaus	because
he	he	he
s	s	s
making	make	making
it	it	it
impossible	imposs	impossible
for	for	for
people	peopl	people
to	to	to
pretend	pretend	pretend
that	that	that
the	the	the
conservative	conserv	conservative
movement	movement	movement
is	is	is
not	not	not
motivated	motiv	motivated
by	by	by
hate	hate	hate
and	and	and
rage	rage	rage
.	.	.

And	and	And
like	like	like
in	in	in
the	the	the
case	case	case
of	of	of
Thomas	thoma	Thomas
Robb	robb	Robb
,	,	,
the	the	the
head	head	head
of	of	of
the	the	the
KKK	kkk	KKK
,	,	,
some	some	some
people	peopl	people
are	are	are
not	not	not
even	even	even
trying	tri	trying
to	to	to
keep	keep	keep
up	up	up
the	the	the
charade	charad	charade
According	accord	According
to	to	to
Robb	robb	Robb
,	,	,
Trump	trump	Trump
has	has	ha
tapped	tap	tapped
into	into	into
an	an	an
underlying	under	underlying
anger	anger	anger
among	among	among
white	white	white
people	peopl	people
,	,	,
adding	ad	adding
that	that	that
white	white	white
people	peopl	people
in	in	in
America	america	America
no	no	no
longer	longer	longer
identify	identifi	identify
with	with	with
what	what	what
America	america	America
has	has	ha
become	becom	become
.	.	.

This	this	This
is	is	is
fueling	fuel	fueling
the	the	the
anger	anger	anger
in	in	in
this	this	this
country	countri	country
,	,	,
and	and	and
I	i	I
think	think	think
this	this	this
is	is	is
what	what	what
we	we	we
re	re	re
seeing	see	seeing
in	in	in
this	this	this
election	elect	election
,	,	,
he	he	he
said	said	said
.	.	.
YES	yes	YES
!	!	!

THANK	thank	THANK
YOU	you	YOU
!	!	!

That	that	That
s	s	s
exactly	exact	exactly
it	it	it
!	!	!

Mr	mr	Mr
.	.	.
Robb	robb	Robb
is	is	is
letting	let	letting
the	the	the
cat	cat	cat
out	out	out
of	of	of
the	the	the
bag	bag	bag
that	that	that
fear	fear	fear
and	and	and
hate	hate	hate
is	is	is
the	the	the
core	core	core
of	of	of
conservatism	conservat	conservatism
,	,	,
a	a	a
core	core	core
that	that	that
Trump	trump	Trump
is	is	is
exploiting	exploit	exploiting
to	to	to
great	great	great
effect	effect	effect
.	.	.

This	this	This
,	,	,
as	as	a
I	i	I
keep	keep	keep
saying	say	saying
,	,	,
is	is	is
why	whi	why
the	the	the
Republican	republican	Republican
establishment	establish	establishment
is	is	is
so	so	so
mad	mad	mad
at	at	at
Trump	trump	Trump
.	.	.

They	they	They
don	don	don
t	t	t
mind	mind	mind
the	the	the
racism	racism	racism
,	,	,
they	they	they
mind	mind	mind
of	of	of
the	the	the
overt	overt	overt
nature	natur	nature
of	of	of
it	it	it
.	.	.

Without	without	Without
the	the	the
veneer	veneer	veneer
of	of	of
respectability	respect	respectability
,	,	,
Republicans	republican	Republicans
will	will	will
not	not	not
be	be	be
able	abl	able
to	to	to
pretend	pretend	pretend
they	they	they
re	re	re
not	not	not
the	the	the
party	parti	party
of	of	of
old	old	old
white	white	white
racists	racist	racist
.	.	.

The	the	The
corporate	corpor	corporate
media	media	medium
is	is	is
still	still	still
working	work	working
extra	extra	extra
hard	hard	hard
to	to	to
avoid	avoid	avoid
using	use	using
the	the	the
word	word	word
racism	racism	racism
when	when	when
talking	talk	talking
about	about	about
Trump	trump	Trump
s	s	s
inflammatory	inflammatori	inflammatory
rhetoric	rhetor	rhetoric
but	but	but
no	no	no
one	one	one
s	s	s
buying	buy	buying
even	even	even
that	that	that
little	littl	little
bit	bit	bit
of	of	of
pretense	pretens	pretense
.	.	.
Why	whi	Why
else	els	else
is	is	is
Trump	trump	Trump
so	so	so
popular	popular	popular
with	with	with
white	white	white
supremacists	supremacist	supremacist
?	?	?

He	he	He
s	s	s
feeding	feed	feeding
into	into	into
all	all	all
of	of	of
their	their	their
fears	fear	fear
and	and	and
that	that	that
helps	help	help
their	their	their
cause	caus	cause
.	.	.
America	america	America
is	is	is
no	no	no
longer	longer	longer
the	the	the
sole	sole	sole
property	properti	property
of	of	of
white	white	white
people	peopl	people
and	and	and
it	it	it
s	s	s
driving	drive	driving
whites	white	white
,	,	,
particularly	particular	particularly
conservative	conserv	conservative
whites	white	white
,	,	,
into	into	into
a	a	a
frenzy	frenzi	frenzy
of	of	of
fear	fear	fear
and	and	and
rage	rage	rage
.	.	.

Partly	part	Partly
because	becaus	because
they	they	they
expect	expect	expect
blacks	black	black
and	and	and
Latinos	latino	Latinos
to	to	to
treat	treat	treat
them	them	them
the	the	the
same	same	same
way	way	way
they	they	they
treated	treat	treated
blacks	black	black
and	and	and
Latinos	latino	Latinos
.	.	.

But	but	But
,	,	,
more	more	more
importantly	import	importantly
,	,	,
with	with	with
minorities	minor	minority
having	have	having
equal	equal	equal
or	or	or
greater	greater	greater
political	polit	political
power	power	power
,	,	,
white	white	white
people	peopl	people
are	are	are
going	go	going
to	to	to
be	be	be
forced	forc	forced
to	to	to
compete	compet	compete
on	on	on
a	a	a
level	level	level
economic	econom	economic
,	,	,
legal	legal	legal
and	and	and
social	social	social
playing	play	playing
field	field	field
.	.	.

For	for	For
people	peopl	people
who	who	who
are	are	are
utterly	utter	utterly
convinced	convinc	convinced
that	that	that
they	they	they
succeeded	succeed	succeeded
100	100	100
due	due	due
to	to	to
their	their	their
own	own	own
awesomeness	awesom	awesomeness
,	,	,
this	this	this
is	is	is
a	a	a
terrifying	terrifi	terrifying
prospect	prospect	prospect
.	.	.

America	america	America
s	s	s
ENTIRE	entir	ENTIRE
history	histori	history
has	has	ha
been	been	been
influenced	influenc	influenced
by	by	by
the	the	the
idea	idea	idea
that	that	that
white	white	white
people	peopl	people
are	are	are
inherently	inher	inherently
superior	superior	superior
.	.	.

It	it	It
will	will	will
be	be	be
quite	quit	quite
the	the	the
cultural	cultur	cultural
shock	shock	shock
to	to	to
find	find	find
out	out	out
that	that	that
without	without	without
the	the	the
system	system	system
rigged	rig	rigged
in	in	in
their	their	their
favor	favor	favor
,	,	,
whites	white	white
are	are	are
just	just	just
like	like	like
everyone	everyon	everyone
else	els	else
.	.	.
There	there	There
are	are	are
a	a	a
lot	lot	lot
of	of	of
white	white	white
people	peopl	people
who	who	who
will	will	will
grasp	grasp	grasp
at	at	at
any	ani	any
hope	hope	hope
of	of	of
stopping	stop	stopping
this	this	this
awful	aw	awful
future	futur	future
from	from	from
coming	come	coming
to	to	to
pass	pass	pas
and	and	and
Trump	trump	Trump
is	is	is
just	just	just
the	the	the
man	man	man
to	to	to
make	make	make
believe	believ	believe
he	he	he
can	can	can
do	do	do
it	it	it
!	!	!

White	white	White
power	power	power
,	,	,
indeed	inde	indeed
.	.	.
Feature	featur	Feature
image	imag	image
via	via	via
Heavy	heavi	Heavy
.	.	.
com	com	com

