Make	make	Make
America	america	America
Conservative	conserv	Conservative
again	again	again
.	.	.

There	there	There
really	realli	really
isn	isn	isn
t	t	t
any	ani	any
downside	downsid	downside
It	it	It
might	might	might
be	be	be
time	time	time
to	to	to
rethink	rethink	rethink
the	the	the
millennial	millenni	millennial
voter	voter	voter
.	.	.
A	a	A
new	new	new
paper	paper	paper
suggests	suggest	suggests
that	that	that
Americans	american	Americans
are	are	are
more	more	more
politically	polit	politically
polarized	polar	polarized
now	now	now
than	than	than
they	they	they
ve	ve	ve
been	been	been
in	in	in
the	the	the
past	past	past
46	46	46
years	year	year
,	,	,
and	and	and
millennials	millenni	millennials
are	are	are
guiding	guid	guiding
this	this	this
trend	trend	trend
.	.	.
The	the	The
young	young	young
adults	adult	adult
,	,	,
who	who	who
were	were	were
born	born	born
between	between	between
1980	1980	1980
and	and	and
1994	1994	1994
,	,	,
are	are	are
currently	current	currently
more	more	more
politically	polit	politically
polarized	polar	polarized
than	than	than
Generation	generat	Generation
Xers	xer	Xers
and	and	and
Baby	babi	Baby
Boomers	boomer	Boomers
,	,	,
according	accord	according
to	to	to
the	the	the
paper	paper	paper
,	,	,
which	which	which
was	was	wa
published	publish	published
in	in	in
the	the	the
journal	journal	journal
Personality	person	Personality
and	and	and
Social	social	Social
Psychology	psycholog	Psychology
Bulletin	bulletin	Bulletin
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

Additionally	addit	Additionally
,	,	,
millennials	millenni	millennials
are	are	are
more	more	more
likely	like	likely
to	to	to
identify	identifi	identify
as	as	a
conservative	conserv	conservative
than	than	than
either	either	either
Generation	generat	Generation
Xers	xer	Xers
or	or	or
Baby	babi	Baby
Boomers	boomer	Boomers
were	were	were
at	at	at
the	the	the
same	same	same
age	age	age
,	,	,
said	said	said
Jean	jean	Jean
Twenge	tweng	Twenge
,	,	,
professor	professor	professor
of	of	of
psychology	psycholog	psychology
at	at	at
San	san	San
Diego	diego	Diego
State	state	State
University	univers	University
and	and	and
lead	lead	lead
author	author	author
of	of	of
the	the	the
paper	paper	paper
.	.	.

High	high	High
school	school	school
seniors	senior	senior
are	are	are
more	more	more
likely	like	likely
to	to	to
identify	identifi	identify
as	as	a
political	polit	political
conservatives	conserv	conservative
now	now	now
compared	compar	compared
to	to	to
10	10	10
years	year	year
ago	ago	ago
.	.	.

Most	most	Most
surprising	surpris	surprising
,	,	,
more	more	more
identify	identifi	identify
as	as	a
conservatives	conserv	conservative
now	now	now
compared	compar	compared
to	to	to
the	the	the
1980s	1980s	1980s
,	,	,
presumably	presum	presumably
the	the	the
era	era	era
of	of	of
the	the	the
young	young	young
conservative	conserv	conservative
,	,	,
such	such	such
as	as	a
the	the	the
character	charact	character
Alex	alex	Alex
P	p	P
.	.	.

Keaton	keaton	Keaton
in	in	in
the	the	the
1980s	1980s	1980s
show	show	show
Family	famili	Family
Ties	tie	Ties
.	.	.

That	that	That
goes	goe	go
against	against	against
the	the	the
common	common	common
view	view	view
of	of	of
millennials	millenni	millennials
as	as	a
very	veri	very
liberal	liber	liberal
,	,	,
said	said	said
Twenge	tweng	Twenge
,	,	,
author	author	author
of	of	of
the	the	the
book	book	book
about	about	about
millennials	millenni	millennials
titled	titl	titled
Generation	generat	Generation
Me	me	Me
.	.	.
So	so	So
the	the	the
current	current	current
view	view	view
of	of	of
millennials	millenni	millennials
as	as	a
liberals	liber	liberal
might	might	might
be	be	be
due	due	due
to	to	to
their	their	their
age	age	age
young	young	young
people	peopl	people
are	are	are
more	more	more
likely	like	likely
to	to	to
be	be	be
liberal	liber	liberal
.	.	.

But	but	But
if	if	if
you	you	you
compare	compar	compare
young	young	young
people	peopl	people
now	now	now
to	to	to
young	young	young
people	peopl	people
in	in	in
previous	previous	previous
decades	decad	decade
,	,	,
those	those	those
now	now	now
are	are	are
more	more	more
conservative	conserv	conservative
,	,	,
she	she	she
said	said	said
.	.	.
The	the	The
data	data	data
showed	show	showed
that	that	that
,	,	,
as	as	a
entering	enter	entering
college	colleg	college
students	student	student
,	,	,
23	23	23
of	of	of
millennials	millenni	millennials
identified	identifi	identified
as	as	a
leaning	lean	leaning
far	far	far
right	right	right
,	,	,
compared	compar	compared
to	to	to
17	17	17
of	of	of
Baby	babi	Baby
Boomers	boomer	Boomers
and	and	and
22	22	22
of	of	of
Generation	generat	Generation
Xers	xer	Xers
.	.	.
Less	less	Less
than	than	than
half	half	half
47	47	47
of	of	of
millennials	millenni	millennials
identified	identifi	identified
as	as	a
middle	middl	middle
-of-the-road	-of-the-road	-of-the-road
,	,	,
compared	compar	compared
to	to	to
50	50	50
of	of	of
Baby	babi	Baby
Boomers	boomer	Boomers
and	and	and
more	more	more
than	than	than
half	half	half
53	53	53
of	of	of
Generation	generat	Generation
Xers	xer	Xers
.	.	.
Millennials	millenni	Millennials
have	have	have
surpassed	surpass	surpassed
Baby	babi	Baby
Boomers	boomer	Boomers
both	both	both
as	as	a
the	the	the
United	unit	United
States	state	States
largest	largest	largest
living	live	living
generation	generat	generation
and	and	and
as	as	a
the	the	the
largest	largest	largest
generation	generat	generation
in	in	in
the	the	the
American	american	American
electorate	elector	electorate
.	.	.

CNN	cnn	CNN

