Want	want	Want
to	to	to
take	take	take
part	part	part
in	in	in
an	an	an
opinion	opinion	opinion
poll	poll	poll
on	on	on
the	the	the
presidential	presidenti	presidential
election	elect	election
,	,	,
but	but	but
the	the	the
pollsters	pollster	pollster
never	never	never
call	call	call
you	you	you
?	?	?

There	there	There
s	s	s
an	an	an
app	app	app
for	for	for
that	that	that
.	.	.

It	it	It
s	s	s
called	call	called
Zip	zip	Zip
,	,	,
and	and	and
its	it	it
developer	develop	developer
claims	claim	claim
its	it	it
data	data	data
is	is	is
more	more	more
accurate	accur	accurate
than	than	than
that	that	that
of	of	of
any	ani	any
poll	poll	poll
because	becaus	because
it	it	it
s	s	s
not	not	not
a	a	a
poll	poll	poll
,	,	,
it	it	it
s	s	s
a	a	a
conversation	convers	conversation
.	.	.

It	it	It
s	s	s
also	also	also
100	100	100
percent	percent	percent
anonymous	anonym	anonymous
so	so	so
people	peopl	people
feel	feel	feel
more	more	more
like	like	like
telling	tell	telling
the	the	the
truth	truth	truth
.	.	.
Zip	zip	Zip
has	has	ha
Trump	trump	Trump
leading	lead	leading
64	64	64
percent	percent	percent
to	to	to
Hillary	hillari	Hillary
s	s	s
36	36	36
percent	percent	percent
.	.	.

Most	most	Most
of	of	of
the	the	the
traditional	tradit	traditional
polls	poll	poll
have	have	have
Hillary	hillari	Hillary
leading	lead	leading
Trump	trump	Trump
by	by	by
anywhere	anywher	anywhere
from	from	from
four	four	four
to	to	to
ten	ten	ten
points	point	point
right	right	right
now	now	now
.	.	.

Why	whi	Why
the	the	the
difference	differ	difference
?	?	?
Ric	ric	Ric
Milliti	milliti	Milliti
,	,	,
Zip	zip	Zip
s	s	s
developer	develop	developer
,	,	,
says	say	say
his	his	his
app	app	app
poses	pose	pose
questions	question	question
on	on	on
a	a	a
daily	daili	daily
basis	basi	basis
and	and	and
then	then	then
averages	averag	average
the	the	the
answers	answer	answer
of	of	of
100	100	100
,	,	,
000	000	000
users	user	user
.	.	.

He	he	He
believes	believ	belief
that	that	that
the	the	the
nature	natur	nature
of	of	of
his	his	his
app	app	app
means	mean	mean
he	he	he
gets	get	get
a	a	a
far	far	far
purer	purer	purer
result	result	result
than	than	than
the	the	the
traditional	tradit	traditional
polls	poll	poll
We	we	We
re	re	re
not	not	not
a	a	a
poll	poll	poll
.	.	.

We	we	We
re	re	re
a	a	a
conversation	convers	conversation
,	,	,
and	and	and
100	100	100
anonymous	anonym	anonymous
.	.	.

People	peopl	People
feel	feel	feel
comfortable	comfort	comfortable
answering	answer	answering
questions	question	question
without	without	without
fear	fear	fear
of	of	of
being	be	being
bullied	bulli	bullied
or	or	or
being	be	being
called	call	called
a	a	a
racist	racist	racist
.	.	.

People	peopl	People
can	can	can
express	express	express
themselves	themselv	themselves
safely	safe	safely
,	,	,
and	and	and
you	you	you
get	get	get
a	a	a
pure	pure	pure
answer	answer	answer
.	.	.

Look	look	Look
at	at	at
some	some	some
of	of	of
the	the	the
questions	question	question
,	,	,
though	though	though
New	new	New
polls	poll	poll
suggest	suggest	suggest
Trump	trump	Trump
is	is	is
getting	get	getting
crushed	crush	crushed
by	by	by
Clinton	clinton	Clinton
.	.	.

Do	do	Do
they	they	they
reflect	reflect	reflect
how	how	how
you	you	you
are	are	are
going	go	going
to	to	to
vote	vote	vote
?	?	?

That	that	That
s	s	s
the	the	the
question	question	question
that	that	that
puts	put	put
Trump	trump	Trump
ahead	ahead	ahead
of	of	of
Hillary	hillari	Hillary
by	by	by
a	a	a
full	full	full
28	28	28
points	point	point
.	.	.

California	california	California
,	,	,
who	who	who
you	you	you
voting	vote	voting
for	for	for
?	?	?

For	for	For
this	this	this
one	one	one
,	,	,
Trump	trump	Trump
got	got	got
55	55	55
,	,	,
compared	compar	compared
to	to	to
45	45	45
for	for	for
Hillary	hillari	Hillary
the	the	the
latest	latest	latest
poll	poll	poll
from	from	from
Public	public	Public
Policy	polici	Policy
Polling	poll	Polling
has	has	ha
Hillary	hillari	Hillary
leading	lead	leading
Trump	trump	Trump
by	by	by
16	16	16
percent	percent	percent
in	in	in
that	that	that
state	state	state
.	.	.

What	what	What
do	do	do
you	you	you
honestly	honest	honestly
think	think	think
Trump	trump	Trump
meant	meant	meant
by	by	by
saying	say	saying
The	the	The
2nd	2nd	2nd
amendment	amend	amendment
people	peopl	people
can	can	can
do	do	do
something	someth	something
about	about	about
Hillary	hillari	Hillary
?	?	?
'	'	'
63	63	63
percent	percent	percent
said	said	said
