Most	most	Most
Americans	american	Americans
are	are	are
perplexed	perplex	perplexed
that	that	that
the	the	the
frontrunner	frontrunn	frontrunner
of	of	of
a	a	a
major	major	major
party	parti	party
for	for	for
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
is	is	is
a	a	a
guy	guy	guy
like	like	like
Donald	donald	Donald
Trump	trump	Trump
,	,	,
with	with	with
the	the	the
even	even	even
less	less	le
impressive	impress	impressive
and	and	and
quite	quit	quite
creepy	creepi	creepy
Ted	ted	Ted
Cruz	cruz	Cruz
coming	come	coming
in	in	in
at	at	at
second	second	second
.	.	.
These	these	These
last	last	last
few	few	few
months	month	month
have	have	have
also	also	also
left	left	left
much	much	much
of	of	of
the	the	the
world	world	world
questioning	question	questioning
how	how	how
America	america	America
,	,	,
which	which	which
has	has	ha
historically	histor	historically
stood	stood	stood
for	for	for
many	mani	many
good	good	good
things	thing	thing
,	,	,
can	can	can
have	have	have
someone	someon	someone
like	like	like
Donald	donald	Donald
Trump	trump	Trump
on	on	on
the	the	the
cusp	cusp	cusp
of	of	of
the	the	the
Republican	republican	Republican
nomination	nomin	nomination
.	.	.
Yet	yet	Yet
,	,	,
despite	despit	despite
the	the	the
fact	fact	fact
that	that	that
Trump	trump	Trump
has	has	ha
truly	truli	truly
shown	shown	shown
the	the	the
ugly	ugli	ugly
side	side	side
of	of	of
America	america	America
,	,	,
there	there	there
s	s	s
also	also	also
a	a	a
wonderful	wonder	wonderful
and	and	and
inspiring	inspir	inspiring
side	side	side
,	,	,
with	with	with
great	great	great
values	valu	value
that	that	that
are	are	are
inherent	inher	inherent
in	in	in
a	a	a
great	great	great
people	peopl	people
.	.	.
That	that	That
was	was	wa
all	all	all
on	on	on
display	display	display
in	in	in
a	a	a
powerful	power	powerful
message	messag	message
that	that	that
New	new	New
York	york	York
voters	voter	voter
,	,	,
who	who	who
will	will	will
be	be	be
going	go	going
to	to	to
the	the	the
polls	poll	poll
on	on	on
April	april	April
19th	19th	19th
,	,	,
sent	sent	sent
to	to	to
Donald	donald	Donald
Trump	trump	Trump
,	,	,
America	america	America
,	,	,
and	and	and
the	the	the
world	world	world
.	.	.
Simply	simpli	Simply
stated	state	stated
,	,	,
the	the	the
message	messag	message
was	was	wa
that	that	that
Donald	donald	Donald
Trump	trump	Trump
s	s	s
values	valu	value
are	are	are
not	not	not
the	the	the
values	valu	value
of	of	of
America	america	America
.	.	.
Watch	watch	Watch
video	video	video
here	here	here
youtube	youtub	youtube
https://www.youtube.com/watch?v=iPY1vQoT5wU]	https://www.youtube.com/watch?v=ipy1vqot5wu]	https://www.youtube.com/watch?v=iPY1vQoT5wU]
While	while	While
it	it	it
s	s	s
true	true	true
that	that	that
America	america	America
has	has	ha
many	mani	many
problems	problem	problem
to	to	to
overcome	overcom	overcome
like	like	like
racism	racism	racism
,	,	,
income	incom	income
equality	equal	equality
,	,	,
we	we	we
are	are	are
a	a	a
society	societi	society
that	that	that
dehumanizes	dehuman	dehumanizes
women	women	woman
,	,	,
and	and	and
our	our	our
politicians	politician	politician
religiously	religi	religiously
support	support	support
apartheid	apartheid	apartheid
and	and	and
racism	racism	racism
in	in	in
Israel	israel	Israel
,	,	,
we	we	we
are	are	are
a	a	a
work	work	work
in	in	in
progress	progress	progress
and	and	and
we	we	we
can	can	can
be	be	be
better	better	better
and	and	and
many	mani	many
of	of	of
us	us	u
truly	truli	truly
work	work	work
to	to	to
be	be	be
better	better	better
.	.	.
Donald	donald	Donald
Trump	trump	Trump
and	and	and
the	the	the
rest	rest	rest
of	of	of
the	the	the
GOP	gop	GOP
clowns	clown	clown
running	run	running
for	for	for
the	the	the
nomination	nomin	nomination
are	are	are
all	all	all
that	that	that
s	s	s
ugly	ugli	ugly
in	in	in
America	america	America
.	.	.
It	it	It
s	s	s
an	an	an
America	america	America
that	that	that
the	the	the
majority	major	majority
of	of	of
us	us	u
try	tri	try
to	to	to
improve	improv	improve
.	.	.
Having	have	Having
one	one	one
of	of	of
these	these	these
people	peopl	people
as	as	a
president	presid	president
would	would	would
not	not	not
only	onli	only
normalize	normal	normalize
this	this	this
ugliness	ugli	ugliness
,	,	,
but	but	but
it	it	it
will	will	will
make	make	make
it	it	it
worse	wors	worse
.	.	.
That	that	That
s	s	s
why	whi	why
it	it	it
s	s	s
vital	vital	vital
that	that	that
the	the	the
majority	major	majority
of	of	of
the	the	the
American	american	American
people	peopl	people
,	,	,
who	who	who
actually	actual	actually
reject	reject	reject
these	these	these
clowns	clown	clown
,	,	,
go	go	go
out	out	out
and	and	and
vote	vote	vote
come	come	come
November	novemb	November
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screenshot	screenshot	screenshot
.	.	.
