Don	don	Don
t	t	t
compare	compar	compare
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
to	to	to
the	the	the
KKK	kkk	KKK
or	or	or
Daily	daili	Daily
Show	show	Show
host	host	host
Trevor	trevor	Trevor
Noah	noah	Noah
will	will	will
rip	rip	rip
you	you	you
a	a	a
new	new	new
one	one	one
.	.	.
Just	just	Just
ask	ask	ask
Tomi	tomi	Tomi
Lahren	lahren	Lahren
.	.	.
White	white	White
nationalist	nationalist	nationalist
darling	darl	darling
Tomi	tomi	Tomi
Lahren	lahren	Lahren
has	has	ha
frequently	frequent	frequently
used	use	used
her	her	her
show	show	show
on	on	on
The	the	The
Blaze	blaze	Blaze
to	to	to
whine	whine	whine
about	about	about
and	and	and
attack	attack	attack
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
,	,	,
going	go	going
so	so	so
far	far	far
as	as	a
to	to	to
compare	compar	compare
the	the	the
organization	organ	organization
to	to	to
the	the	the
KKK	kkk	KKK
.	.	.
Of	of	Of
course	cours	course
,	,	,
unlike	unlik	unlike
the	the	the
KKK	kkk	KKK
,	,	,
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
protesters	protest	protester
do	do	do
not	not	not
hide	hide	hide
like	like	like
cowards	coward	coward
under	under	under
sheets	sheet	sheet
and	and	and
they	they	they
do	do	do
not	not	not
lynch	lynch	lynch
people	peopl	people
.	.	.
They	they	They
are	are	are
also	also	also
not	not	not
racist	racist	racist
like	like	like
the	the	the
KKK	kkk	KKK
because	becaus	because
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
is	is	is
inclusive	inclus	inclusive
and	and	and
works	work	work
with	with	with
law	law	law
enforcement	enforc	enforcement
.	.	.
It	it	It
s	s	s
true	true	true
that	that	that
some	some	some
protesters	protest	protester
go	go	go
too	too	too
far	far	far
by	by	by
rioting	riot	rioting
and	and	and
looting	loot	looting
,	,	,
but	but	but
most	most	most
of	of	of
the	the	the
time	time	time
they	they	they
are	are	are
unaffiliated	unaffili	unaffiliated
with	with	with
the	the	the
group	group	group
.	.	.
So	so	So
when	when	when
Lahren	lahren	Lahren
appeared	appear	appeared
on	on	on
the	the	the
Daily	daili	Daily
Show	show	Show
for	for	for
an	an	an
interview	interview	interview
with	with	with
Trevor	trevor	Trevor
Noah	noah	Noah
on	on	on
Wednesday	wednesday	Wednesday
night	night	night
,	,	,
the	the	the
fireworks	firework	firework
were	were	were
sure	sure	sure
to	to	to
fly	fli	fly
but	but	but
Lahren	lahren	Lahren
was	was	wa
the	the	the
one	one	one
who	who	who
got	got	got
burned	burn	burned
.	.	.
For	for	For
somebody	somebodi	somebody
who	who	who
is	is	is
not	not	not
racist	racist	racist
,	,	,
you	you	you
have	have	have
to	to	to
spend	spend	spend
a	a	a
lot	lot	lot
of	of	of
time	time	time
saying	say	saying
I	i	I
am	am	am
not	not	not
racist	racist	racist
,	,	,
Noah	noah	Noah
pointed	point	pointed
out	out	out
.	.	.
Lahren	lahren	Lahren
responded	respond	responded
by	by	by
labeling	label	labeling
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
as	as	a
a	a	a
group	group	group
of	of	of
cop	cop	cop
killers	killer	killer
who	who	who
are	are	are
violent	violent	violent
and	and	and
racist	racist	racist
against	against	against
white	white	white
people	peopl	people
just	just	just
because	becaus	because
of	of	of
the	the	the
actions	action	action
of	of	of
a	a	a
few	few	few
people	peopl	people
who	who	who
claimed	claim	claimed
to	to	to
be	be	be
with	with	with
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
.	.	.
Noah	noah	Noah
struck	struck	struck
back	back	back
by	by	by
hitting	hit	hitting
Lahren	lahren	Lahren
with	with	with
her	her	her
own	own	own
words	word	word
.	.	.
You	you	You
re	re	re
the	the	the
same	same	same
person	person	person
who	who	who
argued	argu	argued
on	on	on
your	your	your
show	show	show
that	that	that
just	just	just
because	becaus	because
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
supporters	support	supporter
from	from	from
the	the	the
KKK	kkk	KKK
doesn	doesn	doesn
t	t	t
mean	mean	mean
he	he	he
s	s	s
in	in	in
the	the	the
KKK	kkk	KKK
,	,	,
he	he	he
said	said	said
.	.	.
As	as	As
Lahren	lahren	Lahren
