By	by	By
now	now	now
most	most	most
of	of	of
us	us	u
know	know	know
that	that	that
anytime	anytim	anytime
a	a	a
member	member	member
of	of	of
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
gets	get	get
confronted	confront	confronted
about	about	about
one	one	one
of	of	of
their	their	their
leader	leader	leader
s	s	s
disgusting	disgust	disgusting
policies	polici	policy
,	,	,
it	it	it
does	doe	doe
not	not	not
go	go	go
well	well	well
for	for	for
them	them	them
.	.	.

Wednesday	wednesday	Wednesday
night	night	night
s	s	s
segment	segment	segment
of	of	of
The	the	The
Rachel	rachel	Rachel
Maddow	maddow	Maddow
Show	show	Show
was	was	wa
no	no	no
different	differ	different
host	host	host
Rachel	rachel	Rachel
Maddow	maddow	Maddow
grilled	grill	grilled
Trump	trump	Trump
s	s	s
new	new	new
campaign	campaign	campaign
manager	manag	manager
Kellyanne	kellyann	Kellyanne
Conway	conway	Conway
for	for	for
a	a	a
solid	solid	solid
40	40	40
minutes	minut	minute
.	.	.
Maddow	maddow	Maddow
made	made	made
sure	sure	sure
to	to	to
take	take	take
full	full	full
advantage	advantag	advantage
of	of	of
the	the	the
fact	fact	fact
that	that	that
she	she	she
had	had	had
a	a	a
Trump	trump	Trump
operative	oper	operative
right	right	right
in	in	in
front	front	front
of	of	of
her	her	her
,	,	,
and	and	and
she	she	she
didn	didn	didn
t	t	t
waste	wast	waste
a	a	a
second	second	second
.	.	.

For	for	For
six	six	six
intense	intens	intense
minutes	minut	minute
of	of	of
the	the	the
interview	interview	interview
,	,	,
Maddow	maddow	Maddow
confronted	confront	confronted
Conway	conway	Conway
about	about	about
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
s	s	s
total	total	total
and	and	and
complete	complet	complete
Muslim	muslim	Muslim
ban	ban	ban
,	,	,
which	which	which
he	he	he
d	d	d
suggested	suggest	suggested
in	in	in
December	decemb	December
.	.	.

Bringing	bring	Bringing
up	up	up
the	the	the
fact	fact	fact
that	that	that
Trump	trump	Trump
had	had	had
partially	partial	partially
backtracked	backtrack	backtracked
and	and	and
flip	flip	flip
-flopped	-flop	-flopped
on	on	on
the	the	the
idea	idea	idea
,	,	,
Maddow	maddow	Maddow
asked	ask	asked
Conway	conway	Conway
if	if	if
Trump	trump	Trump
still	still	still
intends	intend	intends
to	to	to
enforce	enforc	enforce
that	that	that
policy	polici	policy
.	.	.

Conway	conway	Conway
s	s	s
response	respons	response
was	was	wa
just	just	just
like	like	like
all	all	all
of	of	of
Trump	trump	Trump
s	s	s
indirect	indirect	indirect
and	and	and
avoidant	avoid	avoidant
.	.	.
Conway	conway	Conway
said	said	said
that	that	that
Trump	trump	Trump
had	had	had
clarified	clarifi	clarified
his	his	his
proposal	propos	proposal
recently	recent	recently
,	,	,
but	but	but
that	that	that
it	it	it
had	had	had
also	also	also
stayed	stay	stayed
the	the	the
same	same	same
.	.	.

While	while	While
many	mani	many
interviewers	interview	interviewer
might	might	might
have	have	have
accepted	accept	accepted
that	that	that
answer	answer	answer
and	and	and
moved	move	moved
on	on	on
,	,	,
Maddow	maddow	Maddow
let	let	let
Conway	conway	Conway
know	know	know
that	that	that
this	this	this
wasn	wasn	wasn
t	t	t
going	go	going
to	to	to
be	be	be
that	that	that
kind	kind	kind
of	of	of
interview	interview	interview
.	.	.

Maddow	maddow	Maddow
wouldn	wouldn	wouldn
t	t	t
let	let	let
it	it	it
go	go	go
,	,	,
and	and	and
pressed	press	pressed
her	her	her
There	there	There
s	s	s
a	a	a
reason	reason	reason
why	whi	why
we	we	we
keep	keep	keep
not	not	not
moving	move	moving
on	on	on
from	from	from
this	this	this
stuff	stuff	stuff
.	.	.

December	decemb	December
7	7	7
,	,	,
when	when	when
he	he	he
made	made	made
this	this	this
statement	statement	statement
,	,	,
it	it	it
was	was	wa
like	like	like
every	everi	every
political	polit	political
firework	firework	firework
went	went	went
off	off	off
at	at	at
once	onc	once
.	.	.

Because	becaus	Because
nobody	nobodi	nobody
could	could	could
believe	believ	believe
he	he	he
was	was	wa
saying	say	saying
,	,	,
if	if	if
you	you	you
are	are	are
from	from	from
a	a	a
specific	specif	specific
religion	religion	religion
,	,	,
you	you	you
re	re	re
not	not	not
allowed	allow	allowed
to	to	to
come	come	come
here	here	here
.	.	.

If	if	If
that	that	that
s	s	s
no	no	no
longer	longer	longer
the	the	the
case	case	case
,	,	,
that	that	that
s	s	s
a	a	a
big	big	big
deal	deal	deal
.	.	.

Maddow	maddow	Maddow
also	also	also
fired	fire	fired
off	off	off
several	sever	several
of	of	of
Trump	trump	Trump
s	s	s
previous	previous	previous
offenses	offens	offense
such	such	such
as	as	a
his	his	his
racist	racist	racist
,	,	,
inappropriate	inappropri	inappropriate
attacks	attack	attack
on	on	on
the	the	the
Khan	khan	Khan
family	famili	family
and	and	and
the	the	the
Curiel	curiel	Curiel
family	famili	family
,	,	,
stating	state	stating
that	that	that
out	out	out
of	of	of
both	both	both
of	of	of
the	the	the
responses	respons	response
Conway	conway	Conway
was	was	wa
trying	tri	trying
to	to	to
give	give	give
her	her	her
,	,	,
only	onli	only
one	one	one
of	of	of
them	them	them
can	can	can
be	be	be
true	true	true
In	in	In
the	the	the
same	same	same
way	way	way
that	that	that
his	his	his
statement	statement	statement
of	of	of
regret	regret	regret
,	,	,
if	if	if
it	it	it
s	s	s
meant	meant	meant
to	to	to
apply	appli	apply
to	to	to
the	the	the
Khan	khan	Khan
family	famili	family
,	,	,
the	the	the
Curiel	curiel	Curiel
family	famili	family
,	,	,
we	we	we
can	can	can
t	t	t
give	give	give
him	him	him
credit	credit	credit
to	to	to
that	that	that
,	,	,
unless	unless	unless
he	he	he
tells	tell	tell
us	us	u
that	that	that
he	he	he
s	s	s
communicated	communic	communicated
that	that	that
to	to	to
them	them	them
.	.	.

This	this	This
is	is	is
stuff	stuff	stuff
of	of	of
his	his	his
own	own	own
making	make	making
.	.	.

If	if	If
you	you	you
want	want	want
the	the	the
campaign	campaign	campaign
to	to	to
not	not	not
be	be	be
about	about	about
this	this	this
stuff	stuff	stuff
anymore	anymor	anymore
,	,	,
he	he	he
s	s	s
the	the	the
one	one	one
who	who	who
has	has	ha
to	to	to
end	end	end
those	those	those
controversies	controversi	controversy
.	.	.

You	you	You
re	re	re
in	in	in
a	a	a
position	posit	position
of	of	of
trying	tri	trying
to	to	to
defend	defend	defend
what	what	what
he	he	he
said	said	said
last	last	last
week	week	week
,	,	,
and	and	and
not	not	not
refer	refer	refer
to	to	to
what	what	what
he	he	he
said	said	said
in	in	in
December	decemb	December
,	,	,
but	but	but
only	onli	only
one	one	one
of	of	of
them	them	them
can	can	can
be	be	be
true	true	true
.	.	.

Conway	conway	Conway
responded	respond	responded
by	by	by
not	not	not
answering	answer	answering
the	the	the
question	question	question
and	and	and
accusing	accus	accusing
Democratic	democrat	Democratic
nominee	nomine	nominee
Hillary	hillari	Hillary
Clinton	clinton	Clinton
of	of	of
flip	flip	flip
-flopping	-flop	-flopping
over	over	over
20	20	20
times	time	time
.	.	.

Conway	conway	Conway
also	also	also
threw	threw	threw
in	in	in
an	an	an
attack	attack	attack
about	about	about
the	the	the
Clinton	clinton	Clinton
Foundation	foundat	Foundation
,	,	,
accusing	accus	accusing
the	the	the
former	former	former
secretary	secretari	secretary
of	of	of
state	state	state
of	of	of
corruption	corrupt	corruption
.	.	.

Maddow	maddow	Maddow
once	onc	once
again	again	again
put	put	put
Conway	conway	Conway
back	back	back
on	on	on
task	task	task
,	,	,
But	but	But
your	your	your
own	own	own
campaign	campaign	campaign
is	is	is
about	about	about
your	your	your
own	own	own
candidate	candid	candidate
,	,	,
right	right	right
?	?	?
Conway	conway	Conway
said	said	said
No	no	No
.	.	.
There	there	There
s	s	s
a	a	a
choice	choic	choice
.	.	.

yes	yes	yes
,	,	,
this	this	this
campaign	campaign	campaign
is	is	is
about	about	about
two	two	two
candidates	candid	candidate
.	.	.

If	if	If
I	i	I
can	can	can
say	say	say
one	one	one
thing	thing	thing
about	about	about
the	the	the
coverage	coverag	coverage
,	,	,
it	it	it
s	s	s
not	not	not
that	that	that
it	it	it
s	s	s
biased	bias	biased
or	or	or
slanted	slant	slanted
.	.	.

It	it	It
s	s	s
incomplete	incomplet	incomplete
.	.	.

It	it	It
s	s	s
a	a	a
referendum	referendum	referendum
of	of	of
Donald	donald	Donald
Trump	trump	Trump
,	,	,
like	like	like
you	you	you
re	re	re
going	go	going
to	to	to
the	the	the
ballot	ballot	ballot
box	box	box
and	and	and
it	it	it
s	s	s
going	go	going
to	to	to
be	be	be
a	a	a
big	big	big
picture	pictur	picture
of	of	of
Donald	donald	Donald
Trump	trump	Trump
with	with	with
a	a	a
light	light	light
.	.	.

You	you	You
either	either	either
put	put	put
a	a	a
black	black	black
x	x	x
over	over	over
him	him	him
,	,	,
or	or	or
you	you	you
say	say	say
yay	yay	yay
.	.	.

Maddow	maddow	Maddow
reminded	remind	reminded
Conway	conway	Conway
that	that	that
one	one	one
candidate	candid	candidate
is	is	is
planning	plan	planning
on	on	on
banning	ban	banning
people	peopl	people
from	from	from
the	the	the
United	unit	United
States	state	States
.	.	.

When	when	When
Conway	conway	Conway
accused	accus	accused
Clinton	clinton	Clinton
of	of	of
hiding	hide	hiding
,	,	,
Maddow	maddow	Maddow
dropped	drop	dropped
this	this	this
truth	truth	truth
bomb	bomb	bomb
Not	not	Not
doing	do	doing
press	press	press
conferences	confer	conference
is	is	is
one	one	one
thing	thing	thing
.	.	.

But	but	But
proposing	propos	proposing
a	a	a
ban	ban	ban
on	on	on
people	peopl	people
coming	come	coming
to	to	to
the	the	the
United	unit	United
States	state	States
over	over	over
a	a	a
specific	specif	specific
religion	religion	religion
Conway	conway	Conway
said	said	said
that	that	that
Maddow	maddow	Maddow
could	could	could
bring	bring	bring
her	her	her
cameras	camera	camera
to	to	to
interview	interview	interview
The	the	The
Donald	donald	Donald
himself	himself	himself
,	,	,
but	but	but
it	it	it
s	s	s
doubtful	doubt	doubtful
that	that	that
Trump	trump	Trump
would	would	would
rise	rise	rise
to	to	to
the	the	the
challenge	challeng	challenge
especially	especi	especially
after	after	after
watching	watch	watching
Maddow	maddow	Maddow
destroy	destroy	destroy
Conway	conway	Conway
in	in	in
this	this	this
interview	interview	interview
.	.	.
You	you	You
can	can	can
watch	watch	watch
this	this	this
segment	segment	segment
below	below	below
Featured	featur	Featured
image	imag	image
is	is	is
a	a	a
screenshot	screenshot	screenshot

