Amateur	amateur	Amateur
president	presid	president
Donald	donald	Donald
Trump	trump	Trump
isn	isn	isn
t	t	t
concerned	concern	concerned
in	in	in
the	the	the
least	least	least
about	about	about
the	the	the
rising	rise	rising
costs	cost	cost
associated	associ	associated
with	with	with
his	his	his
regular	regular	regular
trips	trip	trip
to	to	to
his	his	his
Mar	mar	Mar
-a-Lago	-a-lago	-a-Lago
resort	resort	resort
in	in	in
Palm	palm	Palm
Beach	beach	Beach
,	,	,
Florida	florida	Florida
,	,	,
White	white	White
House	hous	House
press	press	press
secretary	secretari	secretary
Sean	sean	Sean
Spicer	spicer	Spicer
said	said	said
during	dure	during
a	a	a
press	press	press
briefing	brief	briefing
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
A	a	A
reporter	report	reporter
asked	ask	asked
if	if	if
Trump	trump	Trump
has	has	ha
any	ani	any
concerns	concern	concern
about	about	about
the	the	the
pushback	pushback	pushback
from	from	from
Florida	florida	Florida
residents	resid	resident
and	and	and
taxpayers	taxpay	taxpayer
about	about	about
the	the	the
costs	cost	cost
of	of	of
his	his	his
trips	trip	trip
there	there	there
.	.	.
No	no	No
,	,	,
he	he	he
feels	feel	feel
great	great	great
,	,	,
Spicer	spicer	Spicer
replied	repli	replied
.	.	.
Spicer	spicer	Spicer
tried	tri	tried
to	to	to
defend	defend	defend
Trump	trump	Trump
by	by	by
saying	say	saying
that	that	that
his	his	his
boss	boss	bos
stayed	stay	stayed
in	in	in
Washington	washington	Washington
,	,	,
D	d	D
.	.	.
C	c	C
.	.	.
,	,	,
last	last	last
weekend	weekend	weekend
and	and	and
said	said	said
that	that	that
the	the	the
alleged	alleg	alleged
president	presid	president
plans	plan	plan
to	to	to
remain	remain	remain
in	in	in
town	town	town
this	this	this
weekend	weekend	weekend
as	as	a
well	well	well
,	,	,
according	accord	according
to	to	to
MSN	msn	MSN
.	.	.
Trump	trump	Trump
has	has	ha
spent	spent	spent
at	at	at
least	least	least
five	five	five
weekends	weekend	weekend
at	at	at
Mar	mar	Mar
-a-Lago	-a-lago	-a-Lago
since	sinc	since
his	his	his
inauguration	inaugur	inauguration
only	onli	only
nine	nine	nine
weeks	week	week
ago	ago	ago
.	.	.
The	the	The
former	former	former
reality	realiti	reality
show	show	show
star	star	star
repeatedly	repeat	repeatedly
criticized	critic	criticized
former	former	former
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
for	for	for
going	go	going
on	on	on
golf	golf	golf
outings	outing	outing
and	and	and
or	or	or
taking	take	taking
vacations	vacat	vacation
.	.	.
However	howev	However
,	,	,
if	if	if
Trump	trump	Trump
continues	continu	continues
taking	take	taking
weekend	weekend	weekend
vacations	vacat	vacation
at	at	at
his	his	his
current	current	current
pace	pace	pace
,	,	,
he	he	he
is	is	is
set	set	set
to	to	to
outspend	outspend	outspend
President	presid	President
Obama	obama	Obama
s	s	s
entire	entir	entire
eight	eight	eight
years	year	year
of	of	of
vacation	vacat	vacation
costs	cost	cost
in	in	in
just	just	just
under	under	under
one	one	one
year	year	year
.	.	.
Spicer	spicer	Spicer
,	,	,
however	howev	however
,	,	,
explained	explain	explained
recently	recent	recently
that	that	that
it	it	it
s	s	s
alright	alright	alright
for	for	for
Trump	trump	Trump
to	to	to
go	go	go
on	on	on
golf	golf	golf
trips	trip	trip
but	but	but
not	not	not
Obama	obama	Obama
because	becaus	because
the	the	the
current	current	current
occupant	occup	occupant
of	of	of
the	the	the
White	white	White
House	hous	House
conducts	conduct	conduct
meetings	meet	meeting
while	while	while
he	he	he
s	s	s
golfing	golf	golfing
.	.	.
Business	busi	Business
owners	owner	owner
near	near	near
Mar	mar	Mar
-a-Lago	-a-lago	-a-Lago
are	are	are
going	go	going
broke	broke	broke
because	becaus	because
of	of	of
Trump	trump	Trump
s	s	s
frequent	frequent	frequent
visits	visit	visit
.	.	.
The	the	The
cost	cost	cost
of	of	of
Trump	trump	Trump
s	s	s
visits	visit	visit
to	to	to
the	the	the
area	area	area
is	is	is
costing	cost	costing
the	the	the
state	state	state
a	a	a
ton	ton	ton
of	of	of
money	money	money
.	.	.
That	that	That
means	mean	mean
,	,	,
like	like	like
the	the	the
wall	wall	wall
,	,	,
the	the	the
taxpayers	taxpay	taxpayer
are	are	are
footing	foot	footing
the	the	the
bill	bill	bill
.	.	.
