Scott	scott	Scott
Baio	baio	Baio
made	made	made
an	an	an
appearance	appear	appearance
on	on	on
Fox	fox	Fox
Business	busi	Business
where	where	where
the	the	the
actor	actor	actor
and	and	and
Donald	donald	Donald
Trump	trump	Trump
supporter	support	supporter
insinuated	insinu	insinuated
that	that	that
President	presid	President
Obama	obama	Obama
is	is	is
a	a	a
Muslim	muslim	Muslim
and	and	and
a	a	a
terrorist	terrorist	terrorist
sympathizer	sympath	sympathizer
.	.	.

Baio	baio	Baio
said	said	said
during	dure	during
the	the	the
interview	interview	interview
I	i	I
can	can	can
t	t	t
tell	tell	tell
whether	whether	whether
he	he	he
is	is	is
dumb	dumb	dumb
,	,	,
a	a	a
Muslim	muslim	Muslim
,	,	,
or	or	or
a	a	a
Muslim	muslim	Muslim
sympathizer	sympath	sympathizer
I	i	I
don	don	don
t	t	t
think	think	think
he	he	he
is	is	is
dumb	dumb	dumb
.	.	.

Chachi	chachi	Chachi
s	s	s
Muslim	muslim	Muslim
sympathizer	sympath	sympathizer
comment	comment	comment
is	is	is
particularly	particular	particularly
troubling	troubl	troubling
.	.	.

It	it	It
seems	seem	seems
that	that	that
what	what	what
he	he	he
meant	meant	meant
to	to	to
say	say	say
is	is	is
that	that	that
President	presid	President
Obama	obama	Obama
is	is	is
a	a	a
terrorist	terrorist	terrorist
sympathizer	sympath	sympathizer
.	.	.

I	i	I
m	m	m
not	not	not
entirely	entir	entirely
sure	sure	sure
what	what	what
a	a	a
Muslim	muslim	Muslim
sympathizer	sympath	sympathizer
is	is	is
,	,	,
though	though	though
I	i	I
have	have	have
to	to	to
admit	admit	admit
I	i	I
feel	feel	feel
particularly	particular	particularly
sympathetic	sympathet	sympathetic
towards	toward	towards
the	the	the
1	1	1
.	.	.
6	6	6
billion	billion	billion
Muslims	muslim	Muslims
out	out	out
there	there	there
who	who	who
are	are	are
not	not	not
violent	violent	violent
terrorists	terrorist	terrorist
but	but	but
are	are	are
still	still	still
demonized	demon	demonized
by	by	by
xenophobic	xenophob	xenophobic
right	right	right
-wingers	-winger	-wingers
such	such	such
as	as	a
Baio	baio	Baio
.	.	.

I	i	I
don	don	don
t	t	t
know	know	know
what	what	what
the	the	the
endgame	endgam	endgame
is	is	is
for	for	for
liberals	liber	liberal
to	to	to
continue	continu	continue
these	these	these
policies	polici	policy
.	.	.

.	.	.

.	.	.

Is	is	Is
it	it	it
to	to	to
totally	total	totally
eliminate	elimin	eliminate
the	the	the
United	unit	United
States	state	States
as	as	a
it	it	it
was	was	wa
created	creat	created
and	and	and
founded	found	founded
and	and	and
as	as	a
it	it	it
is	is	is
now	now	now
?	?	?

It	it	It
s	s	s
hard	hard	hard
to	to	to
tell	tell	tell
exactly	exact	exactly
what	what	what
policies	polici	policy
Baio	baio	Baio
is	is	is
talking	talk	talking
about	about	about
.	.	.

He	he	He
mentions	mention	mention
that	that	that
Hillary	hillari	Hillary
Clinton	clinton	Clinton
wants	want	want
to	to	to
increase	increas	increase
something	someth	something
by	by	by
500	500	500
so	so	so
we	we	we
can	can	can
assume	assum	assume
he	he	he
is	is	is
talking	talk	talking
about	about	about
immigration	immigr	immigration
.	.	.

Though	though	Though
that	that	that
statistic	statist	statistic
is	is	is
completely	complet	completely
absurd	absurd	absurd
.	.	.

In	in	In
fact	fact	fact
,	,	,
more	more	more
immigrants	immigr	immigrant
have	have	have
been	been	been
deported	deport	deported
under	under	under
Obama	obama	Obama
than	than	than
any	ani	any
other	other	other
president	presid	president
in	in	in
the	the	the
history	histori	history
of	of	of
the	the	the
United	unit	United
States	state	States
by	by	by
far	far	far
.	.	.

These	these	These
mass	mass	mass
deportations	deport	deportation
are	are	are
one	one	one
of	of	of
the	the	the
major	major	major
criticisms	critic	criticism
the	the	the
left	left	left
has	has	ha
had	had	had
of	of	of
the	the	the
Obama	obama	Obama
administration	administr	administration
.	.	.

It	it	It
is	is	is
one	one	one
part	part	part
of	of	of
Obama	obama	Obama
s	s	s
legacy	legaci	legacy
that	that	that
very	veri	very
