In	in	In
a	a	a
direct	direct	direct
assault	assault	assault
on	on	on
the	the	the
free	free	free
press	press	press
,	,	,
one	one	one
of	of	of
Donald	donald	Donald
Trump	trump	Trump
s	s	s
top	top	top
advisers	advis	adviser
literally	liter	literally
called	call	called
for	for	for
putting	put	putting
the	the	the
editor	editor	editor
of	of	of
the	the	the
New	new	New
York	york	York
Times	time	Times
in	in	in
jail	jail	jail
for	for	for
publishing	publish	publishing
Trump	trump	Trump
s	s	s
tax	tax	tax
returns	return	return
.	.	.
As	as	As
you	you	you
may	may	may
recall	recal	recall
,	,	,
the	the	the
New	new	New
York	york	York
Times	time	Times
came	came	came
into	into	into
possession	possess	possession
of	of	of
Trump	trump	Trump
s	s	s
1995	1995	1995
tax	tax	tax
return	return	return
that	that	that
showed	show	showed
he	he	he
wrote	wrote	wrote
off	off	off
a	a	a
900	900	900
million	million	million
business	busi	business
loss	loss	loss
that	that	that
may	may	may
have	have	have
allowed	allow	allowed
him	him	him
to	to	to
not	not	not
not	not	not
any	ani	any
federal	feder	federal
income	incom	income
taxes	tax	tax
for	for	for
two	two	two
decades	decad	decade
.	.	.
Trump	trump	Trump
notoriously	notori	notoriously
refused	refus	refused
to	to	to
release	releas	release
his	his	his
tax	tax	tax
returns	return	return
throughout	throughout	throughout
the	the	the
entire	entir	entire
campaign	campaign	campaign
so	so	so
it	it	it
was	was	wa
only	onli	only
a	a	a
matter	matter	matter
of	of	of
time	time	time
before	befor	before
a	a	a
media	media	medium
platform	platform	platform
got	got	got
hold	hold	hold
of	of	of
them	them	them
and	and	and
published	publish	published
them	them	them
for	for	for
everyone	everyon	everyone
to	to	to
see	see	see
.	.	.
After	after	After
all	all	all
,	,	,
it	it	it
s	s	s
the	the	the
duty	duti	duty
of	of	of
the	the	the
free	free	free
press	press	press
to	to	to
get	get	get
information	inform	information
to	to	to
the	the	the
people	peopl	people
,	,	,
and	and	and
most	most	most
Americans	american	Americans
wanted	want	wanted
Trump	trump	Trump
to	to	to
release	releas	release
his	his	his
tax	tax	tax
documents	document	document
.	.	.
