Once	onc	Once
again	again	again
,	,	,
a	a	a
Republican	republican	Republican
rape	rape	rape
comment	comment	comment
surfaces	surfac	surface
,	,	,
and	and	and
it	it	it
s	s	s
from	from	from
the	the	the
campaign	campaign	campaign
manager	manag	manager
of	of	of
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
.	.	.
Donald	donald	Donald
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
has	has	ha
been	been	been
full	full	full
of	of	of
sexism	sexism	sexism
and	and	and
misogyny	misogyni	misogyny
,	,	,
so	so	so
it	it	it
was	was	wa
only	onli	only
a	a	a
matter	matter	matter
of	of	of
time	time	time
before	befor	before
his	his	his
third	third	third
campaign	campaign	campaign
manager	manag	manager
Kellyanne	kellyann	Kellyanne
Conway	conway	Conway
made	made	made
her	her	her
own	own	own
offensive	offens	offensive
comment	comment	comment
about	about	about
rape	rape	rape
.	.	.
In	in	In
2013	2013	2013
,	,	,
despite	despit	despite
Republicans	republican	Republicans
being	be	being
advised	advis	advised
to	to	to
keep	keep	keep
their	their	their
mouths	mouth	mouth
shut	shut	shut
about	about	about
women	women	woman
and	and	and
rape	rape	rape
,	,	,
Conway	conway	Conway
appeared	appear	appeared
in	in	in
a	a	a
panel	panel	panel
discussion	discuss	discussion
to	to	to
talk	talk	talk
about	about	about
women	women	woman
in	in	in
the	the	the
military	militari	military
.	.	.

At	at	At
some	some	some
point	point	point
,	,	,
Conway	conway	Conway
used	use	used
rape	rape	rape
as	as	a
an	an	an
analogy	analog	analogy
even	even	even
though	though	though
rape	rape	rape
was	was	wa
not	not	not
part	part	part
of	of	of
the	the	the
discussion	discuss	discussion
.	.	.
Conway	conway	Conway
blamed	blame	blamed
women	women	woman
for	for	for
being	be	being
raped	rape	raped
because	becaus	because
they	they	they
are	are	are
not	not	not
as	as	a
physically	physic	physically
strong	strong	strong
as	as	a
men	men	men
and	and	and
that	that	that
rape	rape	rape
would	would	would
not	not	not
exist	exist	exist
if	if	if
only	onli	only
women	women	woman
were	were	were
not	not	not
so	so	so
weak	weak	weak
.	.	.

If	if	If
we	we	we
were	were	were
physiologically	physiolog	physiologically
not	not	not
mentally	mental	mentally
,	,	,
emotionally	emot	emotionally
,	,	,
professionally	profession	professionally
equal	equal	equal
to	to	to
men	men	men
,	,	,
if	if	if
we	we	we
were	were	were
physiologically	physiolog	physiologically
as	as	a
strong	strong	strong
as	as	a
men	men	men
,	,	,
rape	rape	rape
would	would	would
not	not	not
exist	exist	exist
,	,	,
Conway	conway	Conway
said	said	said
.	.	.

You	you	You
would	would	would
be	be	be
able	abl	able
to	to	to
defend	defend	defend
yourself	yourself	yourself
and	and	and
fight	fight	fight
him	him	him
off	off	off
.	.	.

Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
.	.	.

Conway	conway	Conway
s	s	s
rape	rape	rape
comment	comment	comment
is	is	is
at	at	at
the	the	the
2	2	2
minute	minut	minute
mark	mark	mark
.	.	.
Conway	conway	Conway
s	s	s
comment	comment	comment
assumes	assum	assumes
that	that	that
all	all	all
rapes	rape	rape
can	can	can
be	be	be
prevented	prevent	prevented
simply	simpli	simply
by	by	by
being	be	being
physically	physic	physically
strong	strong	strong
.	.	.

Unfortunately	unfortun	Unfortunately
,	,	,
rapists	rapist	rapist
have	have	have
many	mani	many
tricks	trick	trick
to	to	to
incapacitate	incapacit	incapacitate
their	their	their
victims	victim	victim
,	,	,
including	includ	including
date	date	date
rape	rape	rape
drugs	drug	drug
.	.	.

Being	be	Being
strong	strong	strong
also	also	also
does	doe	doe
not	not	not
work	work	work
very	veri	very
well	well	well
if	if	if
a	a	a
rapist	rapist	rapist
has	has	ha
their	their	their
victim	victim	victim
at	at	at
knifepoint	knifepoint	knifepoint
or	or	or
gunpoint	gunpoint	gunpoint
.	.	.
Instead	instead	Instead
of	of	of
blaming	blame	blaming
rapists	rapist	rapist
,	,	,
Conway	conway	Conway
openly	open	openly
blamed	blame	blamed
women	women	woman
for	for	for
