Welcome	welcom	Welcome
to	to	to
Trump	trump	Trump
s	s	s
America	america	America
,	,	,
a	a	a
.	.	.
k	k	k
.	.	.
a	a	a
.	.	.
Trumplandia	trumplandia	Trumplandia
.	.	.
People	peopl	People
are	are	are
saying	say	saying
it	it	it
s	s	s
not	not	not
going	go	going
to	to	to
be	be	be
that	that	that
bad	bad	bad
,	,	,
everything	everyth	everything
will	will	will
be	be	be
okay	okay	okay
,	,	,
etc	etc	etc
.	.	.
,	,	,
without	without	without
realizing	realiz	realizing
just	just	just
what	what	what
Trump	trump	Trump
s	s	s
rise	rise	rise
has	has	ha
already	alreadi	already
unleashed	unleash	unleashed
here	here	here
.	.	.
Now	now	Now
,	,	,
with	with	with
his	his	his
win	win	win
,	,	,
haters	hater	hater
,	,	,
bigots	bigot	bigot
and	and	and
white	white	white
supremacists	supremacist	supremacist
are	are	are
more	more	more
likely	like	likely
to	to	to
openly	open	openly
express	express	express
their	their	their
hate	hate	hate
since	sinc	since
Trump	trump	Trump
has	has	ha
made	made	made
doing	do	doing
so	so	so
okay	okay	okay
in	in	in
America	america	America
.	.	.
That	that	That
s	s	s
sorely	sore	sorely
evident	evid	evident
at	at	at
Maple	mapl	Maple
Grove	grove	Grove
Senior	senior	Senior
High	high	High
School	school	School
,	,	,
where	where	where
students	student	student
arrived	arriv	arrived
only	onli	only
to	to	to
find	find	find
a	a	a
classroom	classroom	classroom
door	door	door
vandalized	vandal	vandalized
with	with	with
epithets	epithet	epithet
and	and	and
white	white	white
supremacist	supremacist	supremacist
messages	messag	message
.	.	.
How	how	How
do	do	do
we	we	we
know	know	know
this	this	this
is	is	is
because	becaus	because
of	of	of
Trump	trump	Trump
?	?	?
Take	take	Take
a	a	a
look	look	look
The	the	The
rest	rest	rest
of	of	of
the	the	the
door	door	door
reads	read	read
,	,	,
#fuckallporchmonkeys,	#fuckallporchmonkeys,	#fuckallporchmonkeys,
#whitesonly,	#whitesonly,	#whitesonly,
#whiteamerica,	#whiteamerica,	#whiteamerica,
Trump	trump	Trump
Train	train	Train
.	.	.
As	as	As
near	near	near
as	as	a
we	we	we
can	can	can
tell	tell	tell
,	,	,
the	the	the
very	veri	very
bottom	bottom	bottom
reads	read	read
,	,	,
Blacks	black	Blacks
,	,	,
in	in	in
an	an	an
oval	oval	oval
with	with	with
an	an	an
X	x	X
through	through	through
it	it	it
.	.	.
This	this	This
is	is	is
how	how	how
we	we	we
know	know	know
Trump	trump	Trump
and	and	and
his	his	his
win	win	win
inspired	inspir	inspired
this	this	this
.	.	.
You	you	You
can	can	can
see	see	see
that	that	that
the	the	the
man	man	man
who	who	who
posted	post	posted
the	the	the
image	imag	image
to	to	to
Facebook	facebook	Facebook
,	,	,
Fred	fred	Fred
Ndip	ndip	Ndip
,	,	,
says	say	say
his	his	his
son	son	son
no	no	no
longer	longer	longer
feels	feel	feel
safe	safe	safe
at	at	at
school	school	school
.	.	.
Indeed	inde	Indeed
,	,	,
he	he	he
may	may	may
not	not	not
be	be	be
,	,	,
and	and	and
like	like	like
many	mani	many
parents	parent	parent
whose	whose	whose
children	children	child
will	will	will
start	start	start
experiencing	experienc	experiencing
this	this	this
,	,	,
Ndip	ndip	Ndip
doesn	doesn	doesn
t	t	t
know	know	know
what	what	what
to	to	to
tell	tell	tell
him	him	him
.	.	.
This	this	This
is	is	is
what	what	what
we	we	we
re	re	re
faced	face	faced
with	with	with
.	.	.
Children	children	Children
and	and	and
teens	teen	teen
who	who	who
already	alreadi	already
face	face	face
the	the	the
sharpest	sharpest	sharpest
,	,	,
worst	worst	worst
bullying	bulli	bullying
because	becaus	because
of	of	of
who	who	who
they	they	they
