Monday	monday	Monday
s	s	s
hearing	hear	hearing
on	on	on
voter	voter	voter
suppression	suppress	suppression
and	and	and
election	elect	election
fraud	fraud	fraud
in	in	in
Arizona	arizona	Arizona
s	s	s
Presidential	presidenti	Presidential
Preference	prefer	Preference
Election	elect	Election
revealed	reveal	revealed
a	a	a
slew	slew	slew
of	of	of
failures	failur	failure
,	,	,
which	which	which
took	took	took
place	place	place
at	at	at
virtually	virtual	virtually
every	everi	every
level	level	level
of	of	of
government	govern	government
,	,	,
all	all	all
of	of	of
which	which	which
contributed	contribut	contributed
to	to	to
the	the	the
state	state	state
s	s	s
March	march	March
22	22	22
election	elect	election
fiasco	fiasco	fiasco
.	.	.
At	at	At
the	the	the
top	top	top
of	of	of
the	the	the
list	list	list
of	of	of
people	peopl	people
to	to	to
blame	blame	blame
is	is	is
the	the	the
state	state	state
s	s	s
legislature	legislatur	legislature
,	,	,
which	which	which
failed	fail	failed
to	to	to
provide	provid	provide
funding	fund	funding
for	for	for
Arizona	arizona	Arizona
s	s	s
Presidential	presidenti	Presidential
Preference	prefer	Preference
Election	elect	Election
in	in	in
the	the	the
state	state	state
s	s	s
2015	2015	2015
budget	budget	budget
.	.	.

Although	although	Although
the	the	the
legislature	legislatur	legislature
made	made	made
promises	promis	promise
to	to	to
fix	fix	fix
the	the	the
budget	budget	budget
,	,	,
that	that	that
fix	fix	fix
never	never	never
happened	happen	happened
.	.	.
In	in	In
Maricopa	maricopa	Maricopa
County	counti	County
,	,	,
where	where	where
voter	voter	voter
suppression	suppress	suppression
issues	issu	issue
were	were	were
the	the	the
most	most	most
obvious	obvious	obvious
on	on	on
election	elect	election
night	night	night
,	,	,
the	the	the
number	number	number
of	of	of
polling	poll	polling
places	place	place
was	was	wa
slashed	slash	slashed
from	from	from
400	400	400
in	in	in
2008	2008	2008
,	,	,
to	to	to
200	200	200
in	in	in
2012	2012	2012
.	.	.

But	but	But
in	in	in
2016	2016	2016
,	,	,
Maricopa	maricopa	Maricopa
County	counti	County
Recorder	record	Recorder
Helen	helen	Helen
Purcell	purcel	Purcell
slashed	slash	slashed
that	that	that
number	number	number
again	again	again
,	,	,
leaving	leav	leaving
just	just	just
60	60	60
polling	poll	polling
sites	site	site
open	open	open
for	for	for
an	an	an
area	area	area
that	that	that
has	has	ha
a	a	a
population	popul	population
of	of	of
more	more	more
than	than	than
four	four	four
million	million	million
people	peopl	people
.	.	.
But	but	But
it	it	it
wasn	wasn	wasn
t	t	t
just	just	just
the	the	the
lack	lack	lack
of	of	of
polling	poll	polling
locations	locat	location
that	that	that
contributed	contribut	contributed
to	to	to
the	the	the
tremendously	tremend	tremendously
long	long	long
lines	line	line
.	.	.

The	the	The
locations	locat	location
that	that	that
were	were	were
open	open	open
were	were	were
inappropriately	inappropri	inappropriately
small	small	small
,	,	,
some	some	some
with	with	with
as	as	a
few	few	few
as	as	a
six	six	six
voting	vote	voting
booths	booth	booth
on	on	on
site	site	site
.	.	.
Worse	wors	Worse
,	,	,
as	as	a
thousands	thousand	thousand
of	of	of
voters	voter	voter
waited	wait	waited
in	in	in
line	line	line
outside	outsid	outside
the	the	the
polling	poll	polling
locations	locat	location
,	,	,
half	half	half
the	the	the
voting	vote	voting
booths	booth	booth
were	were	were
purposely	purpos	purposely
left	left	left
empty	empti	empty
by	by	by
poll	poll	poll
workers	worker	worker
,	,	,
who	who	who
trickled	trickl	trickled
voters	voter	voter
in	in	in
as	as	a
slowly	slowli	slowly
as	as	a
possible	possibl	possible
.	.	.
During	dure	During
the	the	the
hearing	hear	hearing
,	,	,
angry	angri	angry
Maricopa	maricopa	Maricopa
County	counti	County
residents	resid	resident
told	told	told
stories	stori	story
of	of	of
being	be	being
forced	forc	forced
to	to	to
wait	wait	wait
more	more	more
than	than	than
six	six	six
hours	hour	hour
to	to	to
cast	cast	cast
a	a	a
ballot	ballot	ballot
in	in	in
the	the	the
Presidential	presidenti	Presidential
Preference	prefer	Preference
Election	elect	Election
.	.	.

Some	some	Some
talked	talk	talked
about	about	about
how	how	how
the	the	the
incredibly	incred	incredibly
long	long	long
lines	line	line
and	and	and
lack	lack	lack
of	of	of
accommodations	accommod	accommodation
for	for	for
people	peopl	people
with	with	with
disabilities	disabl	disability
made	made	made
it	it	it
impossible	imposs	impossible
for	for	for
them	them	them
to	to	to
cast	cast	cast
a	a	a
ballot	ballot	ballot
at	at	at
all	all	all
.	.	.
A	a	A
poll	poll	poll
worker	worker	worker
testified	testifi	testified
that	that	that
the	the	the
system	system	system
in	in	in
her	her	her
district	district	district
attempted	attempt	attempted
to	to	to
force	forc	force
her	her	her
to	to	to
give	give	give
Republican	republican	Republican
ballots	ballot	ballot
to	to	to
Democratic	democrat	Democratic
voters	voter	voter
throughout	throughout	throughout
the	the	the
day	day	day
.	.	.

To	to	To
her	her	her
credit	credit	credit
,	,	,
she	she	she
gave	gave	gave
those	those	those
voters	voter	voter
paper	paper	paper
ballots	ballot	ballot
and	and	and
recorded	record	recorded
every	everi	every
person	person	person
that	that	that
was	was	wa
impacted	impact	impacted
by	by	by
the	the	the
supposed	suppos	supposed
system	system	system
failure	failur	failure
.	.	.
Secretary	secretari	Secretary
of	of	of
State	state	State
Michele	michel	Michele
Reagan	reagan	Reagan
testified	testifi	testified
about	about	about
what	what	what
she	she	she
claims	claim	claim
were	were	were
multiple	multipl	multiple
unintended	unintend	unintended
failures	failur	failure
which	which	which
occurred	occur	occurred
on	on	on
the	the	the
Secretary	secretari	Secretary
of	of	of
State	state	State
s	s	s
website	websit	website
.	.	.
Those	those	Those
mishaps	mishap	mishap
ranged	rang	ranged
from	from	from
the	the	the
