President	presid	President
Donald	donald	Donald
Trump	trump	Trump
told	told	told
his	his	his
account	account	account
of	of	of
a	a	a
private	privat	private
dinner	dinner	dinner
he	he	he
had	had	had
with	with	with
James	jame	James
Comey	comey	Comey
to	to	to
Lester	lester	Lester
Holt	holt	Holt
but	but	but
now	now	now
it	it	it
appears	appear	appears
a	a	a
lot	lot	lot
more	more	more
happened	happen	happened
that	that	that
he	he	he
didn	didn	didn
t	t	t
mention	mention	mention
and	and	and
a	a	a
lot	lot	lot
of	of	of
what	what	what
he	he	he
said	said	said
went	went	went
on	on	on
,	,	,
didn	didn	didn
t	t	t
.	.	.
According	accord	According
to	to	to
Trump	trump	Trump
,	,	,
the	the	the
dinner	dinner	dinner
was	was	wa
set	set	set
for	for	for
Comey	comey	Comey
to	to	to
ask	ask	ask
to	to	to
keep	keep	keep
his	his	his
job	job	job
.	.	.
On	on	On
its	it	it
face	face	face
,	,	,
this	this	this
is	is	is
farcical	farcic	farcical
.	.	.
The	the	The
FBI	fbi	FBI
Director	director	Director
is	is	is
appointed	appoint	appointed
for	for	for
terms	term	term
of	of	of
ten	ten	ten
years	year	year
so	so	so
Comey	comey	Comey
didn	didn	didn
t	t	t
have	have	have
to	to	to
ask	ask	ask
Trump	trump	Trump
to	to	to
stay	stay	stay
on	on	on
.	.	.
Secondly	second	Secondly
,	,	,
Trump	trump	Trump
claims	claim	claim
he	he	he
asked	ask	asked
Comedy	comedi	Comedy
about	about	about
any	ani	any
investigation	investig	investigation
into	into	into
the	the	the
president	presid	president
and	and	and
that	that	that
the	the	the
answer	answer	answer
was	was	wa
,	,	,
You	you	You
are	are	are
not	not	not
under	under	under
investigation	investig	investigation
.	.	.
That	that	That
doesn	doesn	doesn
t	t	t
make	make	make
any	ani	any
more	more	more
sense	sens	sense
.	.	.
Comey	comey	Comey
s	s	s
side	side	side
of	of	of
the	the	the
story	stori	story
is	is	is
a	a	a
lot	lot	lot
different	differ	different
.	.	.
According	accord	According
to	to	to
the	the	the
New	new	New
York	york	York
Times	time	Times
,	,	,
As	as	As
they	they	they
ate	ate	ate
,	,	,
the	the	the
president	presid	president
and	and	and
Mr	mr	Mr
.	.	.
Comey	comey	Comey
made	made	made
small	small	small
talk	talk	talk
about	about	about
the	the	the
election	elect	election
and	and	and
the	the	the
crowd	crowd	crowd
sizes	size	size
at	at	at
Mr	mr	Mr
.	.	.
Trump	trump	Trump
s	s	s
rallies	ralli	rally
.	.	.
The	the	The
president	presid	president
then	then	then
turned	turn	turned
the	the	the
conversation	convers	conversation
to	to	to
whether	whether	whether
Mr	mr	Mr
.	.	.
Comey	comey	Comey
would	would	would
pledge	pledg	pledge
his	his	his
loyalty	loyalti	loyalty
to	to	to
him	him	him
.	.	.
When	when	When
Comey	comey	Comey
refused	refus	refused
to	to	to
offer	offer	offer
such	such	such
a	a	a
pledge	pledg	pledge
,	,	,
Trump	trump	Trump
persisted	persist	persisted
.	.	.
While	while	While
Comey	comey	Comey
did	did	did
say	say	say
he	he	he
would	would	would
be	be	be
honest	honest	honest
with	with	with
Trump	trump	Trump
,	,	,
the	the	the
New	new	New
York	york	York
Times	time	Times
is	is	is
reporting	report	reporting
that	that	that
,	,	,
Mr	mr	Mr
.	.	.
Comey	comey	Comey
declined	declin	declined
to	to	to
make	make	make
that	that	that
pledge	pledg	pledge
.	.	.
Instead	instead	Instead
,	,	,
Mr	mr	Mr
.	.	.
Comey	comey	Comey
has	has	ha
recounted	recount	recounted
to	to	to
others	other	others
,	,	,
he	he	he
told	told	told
Mr	mr	Mr
.	.	.
Trump	trump	Trump
that	that	that
he	he	he
would	would	would
always	alway	always
be	be	be
honest	honest	honest
with	with	with
him	him	him
,	,	,
but	but	but
that	that	that
he	he	he
was	was	wa
not	not	not
reliable	reliabl	reliable
in	in	in
the	the	the
conventional	convent	conventional
political	polit	political
sense	sens	sense
.	.	.
Loyalty	loyalti	Loyalty
has	has	ha
always	alway	always
been	been	been
super	super	super
important	import	important
to	to	to
Trump	trump	Trump
throughout	throughout	throughout
his	his	his
life	life	life
.	.	.
As	as	As
a	a	a
businessman	businessman	businessman
,	,	,
it	it	it
makes	make	make
sense	sens	sense
.	.	.
You	you	You
need	need	need
to	to	to
know	know	know
that	that	that
your	your	your
proprietary	proprietari	proprietary
information	inform	information
is	is	is
going	go	going
to	to	to
stay	stay	stay
private	privat	private
.	.	.
When	when	When
you	you	you
are	are	are
the	the	the
leader	leader	leader
of	of	of
the	the	the
United	unit	United
States	state	States
or	or	or
any	ani	any
other	other	other
country	countri	country
,	,	,
this	this	this
is	is	is
not	not	not
the	the	the
same	same	same
thing	thing	thing
.	.	.
It	it	It
reeks	reek	reek
of	of	of
dictatorship	dictatorship	dictatorship
.	.	.
Of	of	Of
course	cours	course
,	,	,
the	the	the
White	white	White
House	hous	House
is	is	is
pushing	push	pushing
back	back	back
hard	hard	hard
on	on	on
the	the	the
claims	claim	claim
that	that	that
the	the	the
dinner	dinner	dinner
in	in	in
question	question	question
was	was	wa
not	not	not
the	the	the
way	way	way
Comey	comey	Comey
describes	describ	describes
it	it	it
.	.	.
