Okay	okay	Okay
,	,	,
let	let	let
s	s	s
address	address	address
this	this	this
Hillary	hillari	Hillary
might	might	might
win	win	win
the	the	the
popular	popular	popular
vote	vote	vote
,	,	,
isn	isn	isn
t	t	t
that	that	that
Electoral	elector	Electoral
College	colleg	College
situation	situat	situation
just	just	just
awful	aw	awful
thing	thing	thing
head	head	head
on	on	on
.	.	.
No	no	No
,	,	,
it	it	it
s	s	s
not	not	not
awful	aw	awful
.	.	.

It	it	It
s	s	s
great	great	great
,	,	,
and	and	and
it	it	it
protects	protect	protects
the	the	the
importance	import	importance
of	of	of
your	your	your
vote	vote	vote
.	.	.

It	it	It
s	s	s
also	also	also
uniquely	uniqu	uniquely
American	american	American
and	and	and
demonstrates	demonstr	demonstrates
yet	yet	yet
again	again	again
the	the	the
once	onc	once
-in-creation	-in-creat	-in-creation
brilliance	brillianc	brilliance
of	of	of
the	the	the
Founding	found	Founding
Fathers	father	Fathers
.	.	.
First	first	First
of	of	of
all	all	all
,	,	,
she	she	she
s	s	s
probably	probabl	probably
not	not	not
going	go	going
to	to	to
win	win	win
the	the	the
actual	actual	actual
number	number	number
of	of	of
votes	vote	vote
cast	cast	cast
.	.	.

She	she	She
may	may	may
win	win	win
the	the	the
number	number	number
of	of	of
votes	vote	vote
counted	count	counted
,	,	,
but	but	but
not	not	not
the	the	the
votes	vote	vote
cast	cast	cast
.	.	.
States	state	States
don	don	don
t	t	t
count	count	count
their	their	their
absentee	absente	absentee
ballots	ballot	ballot
unless	unless	unless
the	the	the
number	number	number
of	of	of
outstanding	outstand	outstanding
absentee	absente	absentee
ballots	ballot	ballot
is	is	is
larger	larger	larger
than	than	than
the	the	the
state	state	state
margin	margin	margin
of	of	of
difference	differ	difference
.	.	.

If	if	If
there	there	there
is	is	is
a	a	a
margin	margin	margin
of	of	of
1	1	1
,	,	,
000	000	000
votes	vote	vote
counted	count	counted
and	and	and
there	there	there
are	are	are
1	1	1
,	,	,
300	300	300
absentee	absente	absentee
ballots	ballot	ballot
outstanding	outstand	outstanding
,	,	,
then	then	then
the	the	the
state	state	state
tabulates	tabul	tabulates
those	those	those
.	.	.

If	if	If
the	the	the
number	number	number
of	of	of
outstanding	outstand	outstanding
absentee	absente	absentee
ballots	ballot	ballot
wouldn	wouldn	wouldn
t	t	t
influence	influenc	influence
the	the	the
election	elect	election
results	result	result
,	,	,
then	then	then
the	the	the
absentee	absente	absentee
ballots	ballot	ballot
aren	aren	aren
t	t	t
counted	count	counted
.	.	.
Who	who	Who
votes	vote	vote
by	by	by
absentee	absente	absentee
ballot	ballot	ballot
?	?	?

Students	student	Students
overseas	oversea	overseas
,	,	,
the	the	the
military	militari	military
,	,	,
businesspeople	businesspeopl	businesspeople
on	on	on
trips	trip	trip
,	,	,
etc	etc	etc
.	.	.

The	the	The
historical	histor	historical
breakout	breakout	breakout
for	for	for
absentee	absente	absentee
ballots	ballot	ballot
is	is	is
about	about	about
67	67	67
-33	-33	-33
Republican	republican	Republican
.	.	.

In	in	In
2000	2000	2000
,	,	,
when	when	when
Al	al	Al
Gore	gore	Gore
won	won	won
the	the	the
popular	popular	popular
vote	vote	vote
nationally	nation	nationally
by	by	by
500	500	500
,	,	,
000	000	000
votes	vote	vote
and	and	and
the	the	the
liberal	liber	liberal
media	media	medium
screamed	scream	screamed
bloody	bloodi	bloody
murder	murder	murder
,	,	,
there	there	there
were	were	were
2	2	2
million	million	million
absentee	absente	absentee
ballots	ballot	ballot
in	in	in
California	california	California
alone	alon	alone
.	.	.

A	a	A
67	67	67
-33	-33	-33
breakout	breakout	breakout
of	of	of
those	those	those
yields	yield	yield
a	a	a
1	1	1
.	.	.
33	33	33
-	-	-
to	to	to
0	0	0
.	.	.
667	667	667
-million	-million	-million
Republican	republican	Republican
vote	vote	vote
advantage	advantag	advantage
,	,	,
so	so	so
Bush	bush	Bush
would	would	would
have	have	have
gotten	gotten	gotten
a	a	a
667	667	667
,	,	,
000	000	000
-vote	-vote	-vote
margin	margin	margin
from	from	from
California	california	California
s	s	s
uncounted	uncount	uncounted
absentee	absente	absentee
ballots	ballot	ballot
