Fox	fox	Fox
News	news	News
host	host	host
Sean	sean	Sean
Hannity	hanniti	Hannity
is	is	is
having	have	having
a	a	a
Twitter	twitter	Twitter
meltdown	meltdown	meltdown
after	after	after
Time	time	Time
called	call	called
out	out	out
Donald	donald	Donald
Trump	trump	Trump
for	for	for
claiming	claim	claiming
that	that	that
the	the	the
magazine	magazin	magazine
called	call	called
him	him	him
regarding	regard	regarding
the	the	the
Person	person	Person
of	of	of
the	the	the
Year	year	Year
award	award	award
and	and	and
that	that	that
he	he	he
declined	declin	declined
the	the	the
offer	offer	offer
.	.	.
Time	time	Time
magazine	magazin	magazine
corrected	correct	corrected
Trump	trump	Trump
in	in	in
a	a	a
tweet	tweet	tweet
,	,	,
writing	write	writing
,	,	,
The	the	The
President	presid	President
is	is	is
incorrect	incorrect	incorrect
about	about	about
how	how	how
we	we	we
choose	choos	choose
Person	person	Person
of	of	of
the	the	the
Year	year	Year
.	.	.
TIME	time	TIME
does	doe	doe
not	not	not
comment	comment	comment
on	on	on
our	our	our
choice	choic	choice
until	until	until
publication	public	publication
,	,	,
which	which	which
is	is	is
December	decemb	December
6	6	6
.	.	.
The	the	The
magazine	magazin	magazine
calling	call	calling
out	out	out
Trump	trump	Trump
was	was	wa
too	too	too
much	much	much
to	to	to
bear	bear	bear
for	for	for
Trump	trump	Trump
cult	cult	cult
member	member	member
Sean	sean	Sean
Hannity	hanniti	Hannity
who	who	who
called	call	called
it	it	it
bullshit	bullshit	bullshit
just	just	just
hours	hour	hour
after	after	after
Time	time	Time
denied	deni	denied
the	the	the
former	former	former
reality	realiti	reality
show	show	show
star	star	star
s	s	s
bizarre	bizarr	bizarre
claim	claim	claim
.	.	.
I	i	I
call	call	call
total	total	total
Bullshit	bullshit	Bullshit
on	on	on
Time	time	Time
.	.	.
Answer	answer	Answer
the	the	the
question	question	question
;	;	;
did	did	did
you	you	you
or	or	or
did	did	did
you	you	you
not	not	not
call	call	call
the	the	the
WH	wh	WH
and	and	and
say	say	say
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
@POTUS	@potus	@POTUS
was	was	wa
being	be	being
considered	consid	considered
for	for	for
person	person	person
of	of	of
the	the	the
year	year	year
and	and	and
ask	ask	ask
for	for	for
an	an	an
interview	interview	interview
?	?	?
Hannity	hanniti	Hannity
tweeted	tweet	tweeted
Friday	friday	Friday
.	.	.
I	i	I
call	call	call
total	total	total
Bullshit	bullshit	Bullshit
on	on	on
Time	time	Time
.	.	.
Answer	answer	Answer
the	the	the
question	question	question
;	;	;
did	did	did
you	you	you
or	or	or
did	did	did
you	you	you
not	not	not
call	call	call
the	the	the
WH	wh	WH
and	and	and
say	say	say
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
@POTUS	@potus	@POTUS
was	was	wa
being	be	being
considered	consid	considered
for	for	for
person	person	person
of	of	of
the	the	the
year	year	year
and	and	and
ask	ask	ask
for	for	for
an	an	an
interview	interview	interview
?	?	?
https://t.co/DaqfDBsr0V	https://t.co/daqfdbsr0v	https://t.co/DaqfDBsr0V
Sean	sean	Sean
Hannity	hanniti	Hannity
@seanhannity	@seanhann	@seanhannity
November	novemb	November
25	25	25
,	,	,
2017And	2017and	2017And
again	again	again
.	.	.
So	so	So
@Time	@time	@Time
is	is	is
worse	wors	worse
than	than	than
Fake	fake	Fake
News	news	News
@CNN	@cnn	@CNN
.	.	.
The	the	The
coming	come	coming
ice	ice	ice
age	age	age
,	,	,
The	the	The
Big	big	Big
Cool	cool	Cool
