Seldom	seldom	Seldom
in	in	in
life	life	life
do	do	do
you	you	you
come	come	come
across	across	across
someone	someon	someone
so	so	so
dumb	dumb	dumb
that	that	that
they	they	they
literally	liter	literally
make	make	make
you	you	you
cringe	cring	cringe
,	,	,
but	but	but
alas	ala	ala
,	,	,
Sarah	sarah	Sarah
Palin	palin	Palin
is	is	is
one	one	one
of	of	of
those	those	those
people	peopl	people
.	.	.
And	and	And
if	if	if
her	her	her
general	general	general
presence	presenc	presence
doesn	doesn	doesn
t	t	t
make	make	make
you	you	you
cringe	cring	cringe
then	then	then
hearing	hear	hearing
her	her	her
speak	speak	speak
will	will	will
,	,	,
but	but	but
if	if	if
that	that	that
still	still	still
doesn	doesn	doesn
t	t	t
do	do	do
it	it	it
to	to	to
you	you	you
,	,	,
just	just	just
wait	wait	wait
until	until	until
you	you	you
hear	hear	hear
what	what	what
she	she	she
has	has	ha
to	to	to
say	say	say
.	.	.
In	in	In
her	her	her
latest	latest	latest
bout	bout	bout
of	of	of
idiocy	idioci	idiocy
,	,	,
she	she	she
took	took	took
to	to	to
her	her	her
favorite	favorit	favorite
pastime	pastim	pastime
of	of	of
posting	post	posting
on	on	on
Facebook	facebook	Facebook
for	for	for
her	her	her
imbecilic	imbecil	imbecilic
following	follow	following
.	.	.
What	what	What
is	is	is
it	it	it
that	that	that
she	she	she
posted	post	posted
this	this	this
time	time	time
?	?	?
Well	well	Well
,	,	,
Palin	palin	Palin
posted	post	posted
an	an	an
image	imag	image
of	of	of
her	her	her
new	new	new
BFF	bff	BFF
Donald	donald	Donald
Trump	trump	Trump
with	with	with
a	a	a
quote	quot	quote
by	by	by
none	none	none
other	other	other
than	than	than
Mahatma	mahatma	Mahatma
Gandhi	gandhi	Gandhi
.	.	.
Yes	yes	Yes
,	,	,
really	realli	really
,	,	,
that	that	that
Gandhi	gandhi	Gandhi
.	.	.
This	this	This
is	is	is
the	the	the
quote	quot	quote
she	she	she
used	use	used
First	first	First
they	they	they
ignore	ignor	ignore
you	you	you
,	,	,
then	then	then
they	they	they
laugh	laugh	laugh
at	at	at
you	you	you
,	,	,
then	then	then
they	they	they
fight	fight	fight
you	you	you
,	,	,
then	then	then
you	you	you
win	win	win
.	.	.
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
span	span	span
class	class	class
mceItemHidden	mceitemhidden	mceItemHidden
data	data	data
-mce-bogus	-mce-bogus	-mce-bogus
1	1	1
span	span	span
span	span	span
lt	lt	lt
;	;	;
span	span	span
gt	gt	gt
;	;	;
lt	lt	lt
;	;	;
span	span	span
gt	gt	gt
;	;	;
lt	lt	lt
;	;	;
span	span	span
gt	gt	gt
;	;	;
lt	lt	lt
;	;	;
span	span	span
gt	gt	gt
;	;	;
lt	lt	lt
;	;	;
span	span	span
gt	gt	gt
;	;	;
lt	lt	lt
;	;	;
span	span	span
gt	gt	gt
;	;	;
function	function	function
d	d	d
,	,	,
s	s	s
,	,	,
id	id	id
var	var	var
js	js	j
,	,	,
span	span	span
class	class	class
mceItemHidden	mceitemhidden	mceItemHidden
data	data	data
-mce-bogus	-mce-bogus	-mce-bogus
1	1	1
span	span	span
class	class	class
hiddenSpellError	hiddenspellerror	hiddenSpellError
pre	pre	pre
data	data	data
-mce-bogus	-mce-bogus	-mce-bogus
1	1	1
fjs	fjs	fjs
span	span	span
span	span	span
d	d	d
.	.	.
getElementsByTagName	getelementsbytagnam	getElementsByTagName
s	s	s
0	0	0
;	;	;
if	if	if
d	d	d
.	.	.
getElementById	getelementbyid	getElementById
id	id	id
return	return	return
;	;	;
js	js	j
d	d	d
.	.	.
createElement	createel	createElement
s	s	s
;	;	;
js	js	j
.	.	.
id	id	id
id	id	id
;	;	;
js	js	j
.	.	.
src	src	src
connect	connect	connect
.	.	.
facebook	facebook	facebook
.	.	.
net	net	net
en_US	en_us	en_US
sdk	sdk	sdk
.	.	.
js	js	j
"#xfbml=1&amp;version=v2.3"";"	"#xfbml=1&amp;version=v2.3"";"	"#xfbml=1&amp;version=v2.3"";"
span	span	span
class	class	class
hiddenSpellError	hiddenspellerror	hiddenSpellError
pre	pre	pre
data	data	data
-mce-bogus	-mce-bogus	-mce-bogus
1	1	1
fjs	fjs	fjs
span	span	span
.	.	.
parentNode	parentnod	parentNode
.	.	.
insertBefore	insertbefor	insertBefore
js	js	j
,	,	,
fjs	fjs	fjs
;	;	;
document	document	document
,	,	,
'script'	script	'script'
,	,	,
'	'	'
span	span	span
class	class	class
hiddenSpellError	hiddenspellerror	hiddenSpellError
pre	pre	pre
data	data	data
-mce-bogus	-mce-bogus	-mce-bogus
1	1	1
facebook	facebook	facebook
-jssdk	-jssdk	-jssdk
span	span	span
'	'	'
;	;	;
gt	gt	gt
;	;	;
Posted	post	Posted
by	by	by
Sarah	sarah	Sarah
Palin	palin	Palin
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
February	februari	February
24	24	24
,	,	,
2016This	2016this	2016This
quote	quot	quote
has	has	ha
long	long	long
been	been	been
used	use	used
by	by	by
civil	civil	civil
rights	right	right
pioneers	pioneer	pioneer
in	in	in
their	their	their
quest	quest	quest
for	for	for
justice	justic	justice
and	and	and
equality	equal	equality
.	.	.
For	for	For
Palin	palin	Palin
to	to	to
equate	equat	equate
the	the	the
bombastic	bombast	bombastic
and	and	and
racist	racist	racist
Trump	trump	Trump
to	to	to
that	that	that
of	of	of
not	not	not
only	onli	only
Gandhi	gandhi	Gandhi
,	,	,
but	but	but
those	those	those
who	who	who
have	have	have
long	long	long
been	been	been
fighting	fight	fighting
for	for	for
justice	justic	justice
,	,	,
is	is	is
not	not	not
only	onli	only
inaccurate	inaccur	inaccurate
,	,	,
but	but	but
outright	outright	outright
disgusting	disgust	disgusting
.	.	.
Trump	trump	Trump
is	is	is
exactly	exact	exactly
opposite	opposit	opposite
of	of	of
everything	everyth	everything
Gandhi	gandhi	Gandhi
stood	stood	stood
for	for	for
.	.	.
She	she	She
s	s	s
trying	tri	trying
to	to	to
say	say	say
that	that	that
no	no	no
one	one	one
took	took	took
Trump	trump	Trump
seriously	serious	seriously
and	and	and
now	now	now
that	that	that
he	he	he
s	s	s
the	the	the
likely	like	likely
GOP	gop	GOP
nominee	nomine	nominee
he	he	he
may	may	may
go	go	go
on	on	on
to	to	to
win	win	win
.	.	.
However	howev	However
,	,	,
what	what	what
she	she	she
doesn	doesn	doesn
t	t	t
get	get	get
,	,	,
is	is	is
the	the	the
fact	fact	fact
that	that	that
Trump	trump	Trump
,	,	,
as	as	a
well	well	well
as	as	a
herself	herself	herself
,	,	,
are	are	are
still	still	still
jokes	joke	joke
not	not	not
to	to	to
be	be	be
taken	taken	taken
seriously	serious	seriously
.	.	.
Their	their	Their
brand	brand	brand
of	of	of
politics	polit	politics
is	is	is
toxic	toxic	toxic
not	not	not
only	onli	only
to	to	to
the	the	the
GOP	gop	GOP
,	,	,
but	but	but
to	to	to
the	the	the
nation	nation	nation
and	and	and
the	the	the
world	world	world
.	.	.
Her	her	Her
idiocy	idioci	idiocy
really	realli	really
knows	know	know
no	no	no
bounds	bound	bound
,	,	,
and	and	and
by	by	by
equating	equat	equating
Trump	trump	Trump
to	to	to
Gandhi	gandhi	Gandhi
she	she	she
proves	prove	prof
,	,	,
yet	yet	yet
again	again	again
,	,	,
how	how	how
truly	truli	truly
stupid	stupid	stupid
she	she	she
is	is	is
.	.	.
Featured	featur	Featured
image	imag	image
Flickr	flickr	Flickr
