Laura	laura	Laura
Ingraham	ingraham	Ingraham
reported	report	reported
to	to	to
Sean	sean	Sean
Hannity	hanniti	Hannity
that	that	that
Republican	republican	Republican
leaders	leader	leader
don	don	don
t	t	t
want	want	want
the	the	the
border	border	border
wall	wall	wall
built	built	built
and	and	and
are	are	are
actively	activ	actively
working	work	working
against	against	against
Preisdent	preisdent	Preisdent
Trump	trump	Trump
One	one	One
thing	thing	thing
I	i	I
know	know	know
for	for	for
sure	sure	sure
,	,	,
Sean	sean	Sean
,	,	,
is	is	is
that	that	that
we	we	we
have	have	have
way	way	way
too	too	too
many	mani	many
people	peopl	people
on	on	on
Capitol	capitol	Capitol
Hill	hill	Hill
who	who	who
are	are	are
not	not	not
on	on	on
the	the	the
president	presid	president
s	s	s
side	side	side
of	of	of
this	this	this
.	.	.
I	i	I
m	m	m
talking	talk	talking
Republicans	republican	Republicans
.	.	.
So	so	So
I	i	I
have	have	have
no	no	no
doubt	doubt	doubt
in	in	in
my	my	my
mind	mind	mind
that	that	that
Donald	donald	Donald
Trump	trump	Trump
wants	want	want
this	this	this
wall	wall	wall
to	to	to
be	be	be
built	built	built
.	.	.
Congress	congress	Congress
has	has	ha
to	to	to
appropriate	appropri	appropriate
the	the	the
money	money	money
.	.	.
I	i	I
heard	heard	heard
over	over	over
two	two	two
months	month	month
ago	ago	ago
that	that	that
GOP	gop	GOP
leadership	leadership	leadership
,	,	,
the	the	the
most	most	most
senior	senior	senior
senators	senat	senator
on	on	on
Capitol	capitol	Capitol
Hill	hill	Hill
,	,	,
and	and	and
I	i	I
heard	heard	heard
it	it	it
from	from	from
someone	someon	someone
who	who	who
was	was	wa
in	in	in
the	the	the
room	room	room
with	with	with
them	them	them
,	,	,
they	they	they
were	were	were
laughing	laugh	laughing
at	at	at
an	an	an
idea	idea	idea
a	a	a
wall	wall	wall
would	would	would
ever	ever	ever
get	get	get
built	built	built
.	.	.
Out	out	Out
loud	loud	loud
laughing	laugh	laughing
.	.	.
They	they	They
were	were	were
recently	recent	recently
telling	tell	telling
that	that	that
source	sourc	source
of	of	of
mine	mine	mine
,	,	,
Don	don	Don
t	t	t
worry	worri	worry
,	,	,
it	it	it
s	s	s
not	not	not
going	go	going
to	to	to
happen	happen	happen
.	.	.
In	in	In
the	the	the
mean	mean	mean
time	time	time
,	,	,
Lou	lou	Lou
Dobbs	dobb	Dobbs
gives	give	give
a	a	a
classic	classic	classic
take	take	take
down	down	down
of	of	of
Paul	paul	Paul
Ryan	ryan	Ryan
Yes	yes	Yes
,	,	,
just	just	just
get	get	get
out	out	out
of	of	of
the	the	the
way	way	way
!	!	!
BORDER	border	BORDER
RANCHERS	rancher	RANCHERS
VOUCH	vouch	VOUCH
FOR	for	FOR
BUILDING	build	BUILDING
THE	the	THE
WALL	wall	WALL
Fred	fred	Fred
Davis	davi	Davis
and	and	and
John	john	John
Ladd	ladd	Ladd
are	are	are
two	two	two
Arizona	arizona	Arizona
ranchers	rancher	rancher
who	who	who
were	were	were
guests	guest	guest
on	on	on
Fox	fox	Fox
Friends	friend	Friends
to	to	to
tell	tell	tell
their	their	their
story	stori	story
of	of	of
what	what	what
its	it	it
like	like	like
to	to	to
be	be	be
on	on	on
the	the	the
front	front	front
lines	line	line
at	at	at
the	the	the
border	border	border
REPORT	report	REPORT
THE	the	THE
COST	cost	COST
TO	to	TO
YOU	you	YOU
FOR	for	FOR
NOT	not	NOT
BUILDING	build	BUILDING
THE	the	THE
WALL	wall	WALL
Note	note	Note
that	that	that
this	this	this
report	report	report
is	is	is
from	from	from
2013	2013	2013
!	!	!
The	the	The
Fiscal	fiscal	Fiscal
Burden	burden	Burden
of	of	of
Illegal	illeg	Illegal
Immigration	immigr	Immigration
on	on	on
United	unit	United
States	state	States
TaxpayersThis	taxpayersthi	TaxpayersThis
report	report	report
estimates	estim	estimate
the	the	the
annual	annual	annual
costs	cost	cost
of	of	of
illegal	illeg	illegal
immigration	immigr	immigration
at	at	at
the	the	the
federal	feder	federal
,	,	,
state	state	state
and	and	and
local	local	local
level	level	level
to	to	to
be	be	be
about	about	about
113	113	113
billion	billion	billion
;	;	;
nearly	near	nearly
29	29	29
billion	billion	billion
at	at	at
the	the	the
federal	feder	federal
level	level	level
and	and	and
84	84	84
billion	billion	billion
at	at	at
the	the	the
state	state	state
and	and	and
local	local	local
level	level	level
.	.	.
The	the	The
study	studi	study
also	also	also
estimates	estim	estimate
tax	tax	tax
collections	collect	collection
from	from	from
illegal	illeg	illegal
alien	alien	alien
workers	worker	worker
,	,	,
both	both	both
those	those	those
in	in	in
the	the	the
above	abov	above
-ground	-ground	-ground
economy	economi	economy
and	and	and
those	those	those
in	in	in
the	the	the
underground	underground	underground
economy	economi	economy
.	.	.
Those	those	Those
receipts	receipt	receipt
do	do	do
not	not	not
come	come	come
close	close	close
to	to	to
the	the	the
level	level	level
of	of	of
expenditures	expenditur	expenditure
and	and	and
,	,	,
in	in	in
any	ani	any
case	case	case
,	,	,
are	are	are
misleading	mislead	misleading
as	as	a
an	an	an
offset	offset	offset
because	becaus	because
over	over	over
time	time	time
unemployed	unemploy	unemployed
and	and	and
underemployed	underemploy	underemployed
U	u	U
.	.	.
S	s	S
.	.	.
workers	worker	worker
would	would	would
replace	replac	replace
illegal	illeg	illegal
alien	alien	alien
workers	worker	worker
.	.	.
Key	key	Key
FindingsIllegal	findingsilleg	FindingsIllegal
immigration	immigr	immigration
costs	cost	cost
U	u	U
.	.	.
S	s	S
.	.	.
taxpayers	taxpay	taxpayer
about	about	about
113	113	113
billion	billion	billion
a	a	a
year	year	year
at	at	at
the	the	the
federal	feder	federal
,	,	,
state	state	state
and	and	and
local	local	local
level	level	level
.	.	.
The	the	The
bulk	bulk	bulk
of	of	of
the	the	the
costs	cost	cost
some	some	some
84	84	84
billion	billion	billion
are	are	are
absorbed	absorb	absorbed
by	by	by
state	state	state
and	and	and
local	local	local
governments	govern	government
.	.	.
The	the	The
annual	annual	annual
outlay	outlay	outlay
that	that	that
illegal	illeg	illegal
aliens	alien	alien
cost	cost	cost
U	u	U
.	.	.
S	s	S
.	.	.
taxpayers	taxpay	taxpayer
is	is	is
an	an	an
average	averag	average
amount	amount	amount
per	per	per
native	nativ	native
-headed	-head	-headed
household	household	household
of	of	of
1	1	1
,	,	,
117	117	117
.	.	.
The	the	The
fiscal	fiscal	fiscal
impact	impact	impact
per	per	per
household	household	household
varies	vari	varies
considerably	consider	considerably
because	becaus	because
the	the	the
greatest	greatest	greatest
share	share	share
of	of	of
the	the	the
burden	burden	burden
falls	fall	fall
on	on	on
state	state	state
and	and	and
local	local	local
taxpayers	taxpay	taxpayer
whose	whose	whose
burden	burden	burden
depends	depend	depends
on	on	on
the	the	the
size	size	size
of	of	of
the	the	the
illegal	illeg	illegal
alien	alien	alien
population	popul	population
in	in	in
that	that	that
localityEducation	localityeduc	localityEducation
for	for	for
the	the	the
children	children	child
of	of	of
illegal	illeg	illegal
aliens	alien	alien
constitutes	constitut	constitutes
the	the	the
single	singl	single
largest	largest	largest
cost	cost	cost
to	to	to
taxpayers	taxpay	taxpayer
,	,	,
at	at	at
an	an	an
annual	annual	annual
price	price	price
tag	tag	tag
of	of	of
nearly	near	nearly
52	52	52
billion	billion	billion
.	.	.
Nearly	near	Nearly
all	all	all
of	of	of
those	those	those
costs	cost	cost
are	are	are
absorbed	absorb	absorbed
by	by	by
state	state	state
and	and	and
local	local	local
governments	govern	government
.	.	.
At	at	At
the	the	the
federal	feder	federal
level	level	level
,	,	,
about	about	about
one	one	one
-third	-third	-third
of	of	of
outlays	outlay	outlay
are	are	are
matched	match	matched
by	by	by
tax	tax	tax
collections	collect	collection
from	from	from
illegal	illeg	illegal
aliens	alien	alien
.	.	.
At	at	At
the	the	the
state	state	state
and	and	and
local	local	local
level	level	level
,	,	,
an	an	an
average	averag	average
of	of	of
less	less	le
than	than	than
5	5	5
percent	percent	percent
of	of	of
the	the	the
public	public	public
costs	cost	cost
associated	associ	associated
with	with	with
illegal	illeg	illegal
immigration	immigr	immigration
is	is	is
recouped	recoup	recouped
through	through	through
taxes	tax	tax
collected	collect	collected
from	from	from
illegal	illeg	illegal
aliens	alien	alien
.	.	.
Most	most	Most
illegal	illeg	illegal
aliens	alien	alien
do	do	do
not	not	not
pay	pay	pay
income	incom	income
taxes	tax	tax
.	.	.
Among	among	Among
those	those	those
who	who	who
do	do	do
,	,	,
much	much	much
of	of	of
the	the	the
revenues	revenu	revenue
collected	collect	collected
are	are	are
refunded	refund	refunded
to	to	to
the	the	the
illegal	illeg	illegal
aliens	alien	alien
when	when	when
they	they	they
file	file	file
tax	tax	tax
returns	return	return
.	.	.
Many	mani	Many
are	are	are
also	also	also
claiming	claim	claiming
tax	tax	tax
credits	credit	credit
resulting	result	resulting
in	in	in
payments	payment	payment
from	from	from
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Treasury	treasuri	Treasury
.	.	.
With	with	With
many	mani	many
state	state	state
budgets	budget	budget
in	in	in
deficit	deficit	deficit
,	,	,
policymakers	policymak	policymakers
have	have	have
an	an	an
obligation	oblig	obligation
to	to	to
look	look	look
for	for	for
ways	way	way
to	to	to
reduce	reduc	reduce
the	the	the
fiscal	fiscal	fiscal
burden	burden	burden
of	of	of
illegal	illeg	illegal
migration	migrat	migration
.	.	.
California	california	California
,	,	,
facing	face	facing
a	a	a
budget	budget	budget
deficit	deficit	deficit
of	of	of
14	14	14
.	.	.
4	4	4
billion	billion	billion
in	in	in
2010	2010	2010
-2011	-2011	-2011
,	,	,
is	is	is
hit	hit	hit
with	with	with
an	an	an
estimated	estim	estimated
21	21	21
.	.	.
8	8	8
billion	billion	billion
in	in	in
annual	annual	annual
expenditures	expenditur	expenditure
on	on	on
illegal	illeg	illegal
aliens	alien	alien
.	.	.
New	new	New
York	york	York
s	s	s
6	6	6
.	.	.
8	8	8
billion	billion	billion
deficit	deficit	deficit
is	is	is
smaller	smaller	smaller
than	than	than
its	it	it
9	9	9
.	.	.
5	5	5
billion	billion	billion
in	in	in
yearly	year	yearly
illegal	illeg	illegal
alien	alien	alien
costs	cost	cost
.	.	.
The	the	The
report	report	report
examines	examin	examines
the	the	the
likely	like	likely
consequences	consequ	consequence
if	if	if
an	an	an
amnesty	amnesti	amnesty
for	for	for
the	the	the
illegal	illeg	illegal
alien	alien	alien
population	popul	population
were	were	were
adopted	adopt	adopted
similar	similar	similar
to	to	to
the	the	the
one	one	one
adopted	adopt	adopted
in	in	in
1986	1986	1986
.	.	.
The	the	The
report	report	report
notes	note	note
that	that	that
while	while	while
tax	tax	tax
collections	collect	collection
from	from	from
the	the	the
