Lois	loi	Lois
Lerner	lerner	Lerner
s	s	s
criminal	crimin	criminal
behavior	behavior	behavior
with	with	with
the	the	the
IRS	ir	IRS
targeting	target	targeting
of	of	of
conservatives	conserv	conservative
was	was	wa
just	just	just
a	a	a
test	test	test
run	run	run
Here	here	Here
s	s	s
a	a	a
little	littl	little
reminder	remind	reminder
for	for	for
anyone	anyon	anyone
who	who	who
doesn	doesn	doesn
t	t	t
believe	believ	believe
that	that	that
what	what	what
the	the	the
left	left	left
really	realli	really
wants	want	want
is	is	is
a	a	a
totalitarian	totalitarian	totalitarian
state	state	state
in	in	in
which	which	which
opposition	opposit	opposition
to	to	to
its	it	it
agenda	agenda	agenda
is	is	is
a	a	a
crime	crime	crime
.	.	.
New	new	New
York	york	York
s	s	s
Attorney	attorney	Attorney
General	general	General
Eric	eric	Eric
Schneiderman	schneiderman	Schneiderman
is	is	is
extreme	extrem	extreme
even	even	even
by	by	by
left	left	left
-wing	-wing	-wing
standards	standard	standard
.	.	.
He	he	He
s	s	s
a	a	a
radical	radic	radical
who	who	who
ran	ran	ran
by	by	by
promising	promis	promising
that	that	that
violent	violent	violent
racist	racist	racist
thug	thug	thug
Al	al	Al
Sharpton	sharpton	Sharpton
would	would	would
have	have	have
an	an	an
annex	annex	annex
in	in	in
Albany	albani	Albany
if	if	if
he	he	he
won	won	won
.	.	.
Now	now	Now
Schneiderman	schneiderman	Schneiderman
and	and	and
a	a	a
few	few	few
left	left	left
-wing	-wing	-wing
congressmembers	congressmemb	congressmembers
have	have	have
come	come	come
up	up	up
with	with	with
a	a	a
great	great	great
idea	idea	idea
.	.	.
Charge	charg	Charge
Exxon	exxon	Exxon
with	with	with
securities	secur	security
fraud	fraud	fraud
for	for	for
not	not	not
disclosing	disclos	disclosing
the	the	the
risks	risk	risk
of	of	of
Global	global	Global
Warming	warm	Warming
.	.	.
Whether	whether	Whether
on	on	on
not	not	not
any	ani	any
charges	charg	charge
happen	happen	happen
,	,	,
this	this	this
is	is	is
a	a	a
foot	foot	foot
in	in	in
the	the	the
door	door	door
for	for	for
an	an	an
agenda	agenda	agenda
list	list	list
that	that	that
goes	goe	go
well	well	well
beyond	beyond	beyond
Global	global	Global
Warming	warm	Warming
.	.	.
After	after	After
energy	energi	energy
companies	compani	company
that	that	that
aren	aren	aren
t	t	t
paying	pay	paying
protection	protect	protection
money	money	money
to	to	to
Al	al	Al
Gore	gore	Gore
,	,	,
gun	gun	gun
manufacturers	manufactur	manufacturer
can	can	can
be	be	be
hit	hit	hit
with	with	with
charges	charg	charge
for	for	for
not	not	not
disclosing	disclos	disclosing
the	the	the
risks	risk	risk
of	of	of
gun	gun	gun
violence	violenc	violence
.	.	.
Private	privat	Private
prisons	prison	prison
can	can	can
be	be	be
hit	hit	hit
for	for	for
not	not	not
disclosing	disclos	disclosing
the	the	the
risks	risk	risk
of	of	of
failing	fail	failing
to	to	to
back	back	back
sentencing	sentenc	sentencing
reforms	reform	reform
.	.	.
Educational	educ	Educational
companies	compani	company
can	can	can
be	be	be
hit	hit	hit
with	with	with
charges	charg	charge
for	for	for
not	not	not
disclosing	disclos	disclosing
the	the	the
risks	risk	risk
of	of	of
not	not	not
adopting	adopt	adopting
Common	common	Common
Core	core	Core
.	.	.
Basically	basic	Basically
any	ani	any
company	compani	company
that	that	that
disagrees	disagre	disagrees
with	with	with
a	a	a
left	left	left
-wing	-wing	-wing
policy	polici	policy
can	can	can
be	be	be
hit	hit	hit
with	with	with
civil	civil	civil
and	and	and
criminal	crimin	criminal
charges	charg	charge
.	.	.
It	it	It
helps	help	help
if	if	if
the	the	the
company	compani	company
,	,	,
like	like	like
Exxon	exxon	Exxon
,	,	,
at	at	at
one	one	one
point	point	point
employed	employ	employed
kooks	kook	kook
who	who	who
claimed	claim	claimed
the	the	the
sky	sky	sky
was	was	wa
falling	fall	falling
.	.	.
But	but	But
that	that	that
just	just	just
makes	make	make
the	the	the
case	case	case
easier	easier	easier
.	.	.
If	if	If
the	the	the
executives	execut	executive
