Buckle	buckl	Buckle
up	up	up
America	america	America
Obama	obama	Obama
still	still	still
has	has	ha
6	6	6
months	month	month
to	to	to
fundamentally	fundament	fundamentally
transform	transform	transform
America	america	America
.	.	.
If	if	If
the	the	the
media	media	medium
and	and	and
#NeverTrump	#nevertrump	#NeverTrump
crowd	crowd	crowd
manages	manag	manages
to	to	to
convince	convinc	convince
voters	voter	voter
to	to	to
support	support	support
Crooked	crook	Crooked
Hillary	hillari	Hillary
,	,	,
it	it	it
will	will	will
be	be	be
the	the	the
end	end	end
of	of	of
America	america	America
as	as	a
we	we	we
know	know	know
it	it	it
Who	who	Who
will	will	will
be	be	be
vetting	vet	vetting
the	the	the
unlimited	unlimit	unlimited
number	number	number
of	of	of
potential	potenti	potential
terrorists	terrorist	terrorist
refugees	refuge	refugee
Obama	obama	Obama
is	is	is
bringing	bring	bringing
to	to	to
America	america	America
?	?	?
The	the	The
White	white	White
House	hous	House
announced	announc	announced
last	last	last
week	week	week
that	that	that
it	it	it
is	is	is
launching	launch	launching
a	a	a
Call	call	Call
to	to	to
Action	action	Action
asking	ask	asking
private	privat	private
businesses	busi	business
to	to	to
help	help	help
with	with	with
the	the	the
resettlement	resettl	resettlement
of	of	of
refugees	refuge	refugee
.	.	.
This	this	This
could	could	could
be	be	be
done	done	done
without	without	without
regard	regard	regard
to	to	to
the	the	the
government	govern	government
cap	cap	cap
of	of	of
85	85	85
,	,	,
000	000	000
total	total	total
refugees	refuge	refugee
,	,	,
including	includ	including
10	10	10
,	,	,
000	000	000
Syrian	syrian	Syrian
refugees	refuge	refugee
,	,	,
in	in	in
2016	2016	2016
.	.	.
Fifteen	fifteen	Fifteen
founding	found	founding
corporations	corpor	corporation
have	have	have
teamed	team	teamed
up	up	up
with	with	with
the	the	the
Obama	obama	Obama
administration	administr	administration
on	on	on
the	the	the
effort	effort	effort
.	.	.
These	these	These
are	are	are
Accenture	accentur	Accenture
,	,	,
Airbnb	airbnb	Airbnb
,	,	,
Chobani	chobani	Chobani
,	,	,
Coursera	coursera	Coursera
,	,	,
Goldman	goldman	Goldman
Sachs	sach	Sachs
,	,	,
Google	googl	Google
,	,	,
HP	hp	HP
,	,	,
IBM	ibm	IBM
,	,	,
JPMorgan	jpmorgan	JPMorgan
Chase	chase	Chase
Co	co	Co
.	.	.
,	,	,
LinkedIn	linkedin	LinkedIn
,	,	,
Microsoft	microsoft	Microsoft
,	,	,
Mastercard	mastercard	Mastercard
,	,	,
UPS	up	UPS
,	,	,
TripAdvisor	tripadvisor	TripAdvisor
,	,	,
and	and	and
Western	western	Western
Union	union	Union
.	.	.
The	the	The
Call	call	Call
to	to	to
Action	action	Action
initiative	initi	initiative
is	is	is
not	not	not
only	onli	only
to	to	to
help	help	help
refugees	refuge	refugee
in	in	in
the	the	the
United	unit	United
States	state	States
,	,	,
but	but	but
all	all	all
over	over	over
the	the	the
world	world	world
.	.	.
In	in	In
Europe	europ	Europe
for	for	for
example	exampl	example
,	,	,
Mastercard	mastercard	Mastercard
worked	work	worked
with	with	with
Mercy	merci	Mercy
Corps	corp	Corps
to	to	to
distribute	distribut	distribute
prepaid	prepaid	prepaid
debit	debit	debit
cards	card	card
to	to	to
eligible	elig	eligible
refugees	refuge	refugee
traveling	travel	traveling
through	through	through
Serbia	serbia	Serbia
.	.	.
Approximately	approxim	Approximately
75	75	75
,	,	,
000	000	000
was	was	wa
distributed	distribut	distributed
to	to	to
nearly	near	nearly
400	400	400
families	famili	family
and	and	and
individuals	individu	individual
.	.	.
The	the	The
three	three	three
main	main	main
facets	facet	facet
of	of	of
this	this	this
private	privat	private
partnership	partnership	partnership
program	program	program
are	are	are
education	educ	education
,	,	,
employment	employ	employment
,	,	,
and	and	and
enablement	enabl	enablement
.	.	.
Education	educ	Education
includes	includ	includes
facilitating	facilit	facilitating
refugee	refuge	refugee
children	children	child
and	and	and
young	young	young
adults	adult	adult
education	educ	education
by	by	by
ensuring	ensur	ensuring
that	that	that
refugee	refuge	refugee
students	student	student
can	can	can
access	access	access
schools	school	school
of	of	of
all	all	all
levels	level	level
.	.	.
The	the	The
employment	employ	employment
facet	facet	facet
includes	includ	includes
increasing	increas	increasing
employment	employ	employment
opportunities	opportun	opportunity
for	for	for
refugees	refuge	refugee
.	.	.
Through	through	Through
those	those	those
two	two	two
parts	part	part
of	of	of
the	the	the
initiative	initi	initiative
refugees	refuge	refugee
can	can	can
be	be	be
settled	settl	settled
in	in	in
the	the	the
United	unit	United
States	state	States
without	without	without
limit	limit	limit
as	as	a
they	they	they
wouldn	wouldn	wouldn
t	t	t
fall	fall	fall
under	under	under
the	the	the
purview	purview	purview
of	of	of
the	the	the
government	govern	government
cap	cap	cap
on	on	on
refugee	refuge	refugee
resettlement	resettl	resettlement
.	.	.
Through	through	Through
work	work	work
and	and	and
education	educ	education
visas	visa	visa
refugees	refuge	refugee
would	would	would
not	not	not
actually	actual	actually
be	be	be
considered	consid	considered
as	as	a
refugees	refuge	refugee
for	for	for
their	their	their
immigration	immigr	immigration
status	status	status
.	.	.
One	one	One
of	of	of
the	the	the
companies	compani	company
already	alreadi	already
partnered	partner	partnered
with	with	with
the	the	the
Obama	obama	Obama
administration	administr	administration
,	,	,
Chobani	chobani	Chobani
,	,	,
currently	current	currently
has	has	ha
a	a	a
work	work	work
force	forc	force
in	in	in
the	the	the
United	unit	United
States	state	States
that	that	that
is	is	is
roughly	rough	roughly
30	30	30
percent	percent	percent
resettled	resettl	resettled
refugees	refuge	refugee
.	.	.
A	a	A
White	white	White
House	hous	House
fact	fact	fact
sheet	sheet	sheet
states	state	state
66	66	66
percent	percent	percent
of	of	of
refugees	refuge	refugee
are	are	are
of	of	of
working	work	working
age	age	age
.	.	.
Outside	outsid	Outside
of	of	of
employment	employ	employment
and	and	and
education	educ	education
,	,	,
under	under	under
the	the	the
enablement	enabl	enablement
part	part	part
of	of	of
the	the	the
initiative	initi	initiative
,	,	,
the	the	the
White	white	White
House	hous	House
mentions	mention	mention
that	that	that
companies	compani	company
can	can	can
help	help	help
refugees	refuge	refugee
get	get	get
access	access	access
to	to	to
financial	financi	financial
services	servic	service
,	,	,
technology	technolog	technology
,	,	,
housing	hous	housing
and	and	and
transport	transport	transport
.	.	.
This	this	This
also	also	also
includes	includ	includes
covering	cover	covering
costs	cost	cost
of	of	of
charter	charter	charter
flight	flight	flight
to	to	to
bring	bring	bring
resettled	resettl	resettled
refugees	refuge	refugee
to	to	to
the	the	the
United	unit	United
States	state	States
or	or	or
to	to	to
another	anoth	another
country	countri	country
of	of	of
resettlement	resettl	resettlement
.	.	.
