At	at	At
this	this	this
point	point	point
,	,	,
America	america	America
has	has	ha
become	becom	become
quite	quit	quite
familiar	familiar	familiar
with	with	with
Donald	donald	Donald
Trump	trump	Trump
and	and	and
his	his	his
antics	antic	antic
.	.	.

He	he	He
continues	continu	continues
to	to	to
show	show	show
his	his	his
racism	racism	racism
and	and	and
misogyny	misogyni	misogyny
on	on	on
a	a	a
level	level	level
unseen	unseen	unseen
in	in	in
the	the	the
US	us	US
political	polit	political
world	world	world
since	sinc	since
Jim	jim	Jim
Crow	crow	Crow
existed	exist	existed
,	,	,
when	when	when
politicians	politician	politician
were	were	were
unchecked	uncheck	unchecked
by	by	by
political	polit	political
correctness	correct	correctness
.	.	.

In	in	In
his	his	his
latest	latest	latest
showdown	showdown	showdown
with	with	with
Megyn	megyn	Megyn
Kelly	kelli	Kelly
,	,	,
Trump	trump	Trump
has	has	ha
decided	decid	decided
to	to	to
turn	turn	turn
tail	tail	tail
and	and	and
run	run	run
from	from	from
the	the	the
debates	debat	debate
.	.	.

Whoopi	whoopi	Whoopi
Goldberg	goldberg	Goldberg
,	,	,
however	howev	however
,	,	,
has	has	ha
a	a	a
message	messag	message
for	for	for
Trump	trump	Trump
.	.	.

On	on	On
ABC	abc	ABC
s	s	s
the	the	the
view	view	view
,	,	,
she	she	she
said	said	said
You	you	You
re	re	re
a	a	a
coward	coward	coward
,	,	,
Donald	donald	Donald
.	.	.

You	you	You
re	re	re
a	a	a
coward	coward	coward
.	.	.

If	if	If
you	you	you
re	re	re
gonna	gonna	gonna
be	be	be
President	presid	President
of	of	of
the	the	the
United	unit	United
States	state	States
,	,	,
you	you	you
have	have	have
to	to	to
go	go	go
and	and	and
talk	talk	talk
to	to	to
the	the	the
people	peopl	people
you	you	you
may	may	may
not	not	not
like	like	like
.	.	.

youtube	youtub	youtube
https://www.youtube.com/watch?v=ZAlM_vT_frc]	https://www.youtube.com/watch?v=zalm_vt_frc]	https://www.youtube.com/watch?v=ZAlM_vT_frc]
Coward	coward	Coward
is	is	is
definitely	definit	definitely
the	the	the
right	right	right
word	word	word
to	to	to
describe	describ	describe
Trump	trump	Trump
,	,	,
not	not	not
only	onli	only
for	for	for
skipping	skip	skipping
the	the	the
debates	debat	debate
but	but	but
for	for	for
being	be	being
too	too	too
afraid	afraid	afraid
of	of	of
doing	do	doing
what	what	what
s	s	s
right	right	right
.	.	.

Since	sinc	Since
the	the	the
controversy	controversi	controversy
with	with	with
Kelly	kelli	Kelly
,	,	,
tens	ten	ten
of	of	of
thousands	thousand	thousand
of	of	of
male	male	male
Trump	trump	Trump
supporters	support	supporter
have	have	have
taken	taken	taken
to	to	to
twitter	twitter	twitter
to	to	to
call	call	call
Kelly	kelli	Kelly
some	some	some
of	of	of
the	the	the
worst	worst	worst
names	name	name
.	.	.

Bitch	bitch	Bitch
,	,	,
for	for	for
example	exampl	example
,	,	,
was	was	wa
tweeted	tweet	tweeted
423	423	423
times	time	time
and	and	and
counting	count	counting
.	.	.

Trump	trump	Trump
doesn	doesn	doesn
t	t	t
have	have	have
the	the	the
courage	courag	courage
nor	nor	nor
the	the	the
integrity	integr	integrity
to	to	to
tell	tell	tell
his	his	his
supporters	support	supporter
to	to	to
have	have	have
more	more	more
class	class	class
.	.	.

In	in	In
addition	addit	addition
,	,	,
Trump	trump	Trump
has	has	ha
shown	shown	shown
a	a	a
tendency	tendenc	tendency
of	of	of
being	be	being
afraid	afraid	afraid
of	of	of
strong	strong	strong
women	women	woman
besides	besid	besides
Kelly	kelli	Kelly
so	so	so
hes	hes	he
reacts	react	reacts
stupidly	stupid	stupidly
on	on	on
multiple	multipl	multiple
occasions	occas	occasion
.	.	.
Joy	joy	Joy
Behar	behar	Behar
of	of	of
the	the	the
View	view	View
pointed	point	pointed
out	out	out
that	that	that
when	when	when
women	women	woman
criticize	critic	criticize
him	him	him
,	,	,
Trump	trump	Trump
has	has	ha
a	a	a
tendency	tendenc	tendency
to	to	to
go	go	go
ballistic	ballist	ballistic
.	.	.

The	the	The
minute	minut	minute
a	a	a
woman	woman	woman
does	doe	doe
something	someth	something
to	to	to
him	him	him
,	,	,
it	it	it
makes	make	make
his	his	his
hair	hair	hair
stand	stand	stand
up	up	up
straight	straight	straight
,	,	,
said	said	said
Behar	behar	Behar
,	,	,
describing	describ	describing
Trump	trump	Trump
s	s	s
harsh	harsh	harsh
reaction	reaction	reaction
to	to	to
her	her	her
criticism	critic	criticism
of	of	of
his	his	his
hair	hair	hair
as	as	a
opposed	oppos	opposed
to	to	to
his	his	his
silence	silenc	silence
when	when	when
men	men	men
criticized	critic	criticized
him	him	him
.	.	.
Referring	refer	Referring
to	to	to
Kelly	kelli	Kelly
s	s	s
questions	question	question
and	and	and
statements	statement	statement
to	to	to
Trump	trump	Trump
during	dure	during
the	the	the
debates	debat	debate
,	,	,
Goldberg	goldberg	Goldberg
said	said	said
She	she	She
didn	didn	didn
t	t	t
just	just	just
attack	attack	attack
Trump	trump	Trump
with	with	with
just	just	just
stuff	stuff	stuff
she	she	she
made	made	made
up	up	up
.	.	.

This	this	This
is	is	is
stuff	stuff	stuff
she	she	she
said	said	said
back	back	back
to	to	to
him	him	him
.	.	.

This	this	This
is	is	is
stuff	stuff	stuff
he	he	he
said	said	said
and	and	and
he	he	he
couldn	couldn	couldn
t	t	t
take	take	take
it	it	it
.	.	.

She	she	She
got	got	got
under	under	under
his	his	his
skin	skin	skin
and	and	and
he	he	he
cut	cut	cut
and	and	and
ran	ran	ran
.	.	.

Only	onli	Only
a	a	a
coward	coward	coward
cuts	cut	cut
and	and	and
runs	run	run
.	.	.

It	it	It
s	s	s
been	been	been
apparent	appar	apparent
for	for	for
a	a	a
while	while	while
that	that	that
Trump	trump	Trump
is	is	is
a	a	a
certified	certifi	certified
coward	coward	coward
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Wikimedia	wikimedia	Wikimedia
Commons	common	Commons

