This	this	This
is	is	is
not	not	not
the	the	the
first	first	first
time	time	time
Putin	putin	Putin
has	has	ha
warned	warn	warned
the	the	the
US	us	US
to	to	to
hurry	hurri	hurry
up	up	up
with	with	with
its	it	it
release	releas	release
of	of	of
Hillary	hillari	Hillary
s	s	s
emails	email	email
.	.	.
Biden	biden	Biden
better	better	better
get	get	get
the	the	the
emergency	emerg	emergency
campaign	campaign	campaign
team	team	team
ready	readi	ready
.	.	.
If	if	If
Putin	putin	Putin
releases	releas	release
the	the	the
unedited	unedit	unedited
,	,	,
corrupt	corrupt	corrupt
version	version	version
of	of	of
Hillary	hillari	Hillary
s	s	s
highly	high	highly
classified	classifi	classified
emails	email	email
,	,	,
Crooked	crook	Crooked
Hillary	hillari	Hillary
will	will	will
not	not	not
likely	like	likely
be	be	be
able	abl	able
to	to	to
overcome	overcom	overcome
the	the	the
damage	damag	damage
that	that	that
will	will	will
be	be	be
done	done	done
to	to	to
what	what	what
s	s	s
left	left	left
of	of	of
her	her	her
reputation	reput	reputation
.	.	.
Reliable	reliabl	Reliable
intelligence	intellig	intelligence
sources	sourc	source
in	in	in
the	the	the
West	west	West
have	have	have
indicated	indic	indicated
that	that	that
warnings	warn	warning
had	had	had
been	been	been
received	receiv	received
that	that	that
the	the	the
Russian	russian	Russian
Government	govern	Government
could	could	could
in	in	in
the	the	the
near	near	near
future	futur	future
release	releas	release
the	the	the
text	text	text
of	of	of
email	email	email
messages	messag	message
intercepted	intercept	intercepted
from	from	from
U	u	U
.	.	.
S	s	S
.	.	.
Presidential	presidenti	Presidential
candidate	candid	candidate
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
private	privat	private
e	e	e
-mail	-mail	-mail
server	server	server
from	from	from
the	the	the
time	time	time
she	she	she
was	was	wa
U	u	U
.	.	.
S	s	S
.	.	.
Secretary	secretari	Secretary
of	of	of
State	state	State
.	.	.
The	the	The
release	releas	release
would	would	would
,	,	,
the	the	the
messaging	messag	messaging
indicated	indic	indicated
,	,	,
prove	prove	prove
that	that	that
Secretary	secretari	Secretary
Clinton	clinton	Clinton
had	had	had
,	,	,
in	in	in
fact	fact	fact
,	,	,
laid	laid	laid
open	open	open
U	u	U
.	.	.
S	s	S
.	.	.
secrets	secret	secret
to	to	to
foreign	foreign	foreign
interception	intercept	interception
by	by	by
putting	put	putting
highly	high	highly
-classified	-classifi	-classified
Government	govern	Government
reports	report	report
onto	onto	onto
a	a	a
private	privat	private
server	server	server
in	in	in
violation	violat	violation
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
law	law	law
,	,	,
and	and	and
that	that	that
,	,	,
as	as	a
suspected	suspect	suspected
,	,	,
the	the	the
server	server	server
had	had	had
been	been	been
targeted	target	targeted
and	and	and
hacked	hack	hacked
by	by	by
foreign	foreign	foreign
intelligence	intellig	intelligence
services	servic	service
.	.	.
The	the	The
reports	report	report
indicated	indic	indicated
that	that	that
the	the	the
decision	decis	decision
as	as	a
to	to	to
whether	whether	whether
to	to	to
reveal	reveal	reveal
the	the	the
intercepts	intercept	intercept
would	would	would
be	be	be
made	made	made
by	by	by
Russian	russian	Russian
Federation	feder	Federation
President	presid	President
Vladimir	vladimir	Vladimir
Putin	putin	Putin
,	,	,
and	and	and
it	it	it
was	was	wa
possible	possibl	possible
that	that	that
the	the	the
release	releas	release
would	would	would
,	,	,
if	if	if
made	made	made
,	,	,
be	be	be
through	through	through
a	a	a
third	third	third
party	parti	party
,	,	,
such	such	such
as	as	a
Wikileaks	wikileak	Wikileaks
.	.	.
The	the	The
apparent	appar	apparent
message	messag	message
from	from	from
Moscow	moscow	Moscow
,	,	,
through	through	through
the	the	the
intelligence	intellig	intelligence
community	communiti	community
,	,	,
seemed	seem	seemed
to	to	to
indicate	indic	indicate
frustration	frustrat	frustration
with	with	with
the	the	the
pace	pace	pace
of	of	of
the	the	the
official	offici	official
U	u	U
.	.	.
S	s	S
.	.	.
Department	depart	Department
of	of	of
Justice	justic	Justice
investigation	investig	investigation
into	into	into
the	the	the
so	so	so
-called	-call	-called
server	server	server
scandal	scandal	scandal
,	,	,
which	which	which
seemed	seem	seemed
to	to	to
offer	offer	offer
prima	prima	prima
facie	faci	facie
evidence	evid	evidence
that	that	that
U	u	U
.	.	.
S	s	S
.	.	.
law	law	law
had	had	had
been	been	been
violated	violat	violated
by	by	by
Mrs	mrs	Mrs
Clinton	clinton	Clinton
s	s	s
decision	decis	decision
to	to	to
use	use	use
a	a	a
private	privat	private
server	server	server
through	through	through
which	which	which
to	to	to
conduct	conduct	conduct
official	offici	official
and	and	and
often	often	often
highly	high	highly
-secret	-secret	-secret
communications	communic	communication
during	dure	during
her	her	her
time	time	time
as	as	a
Secretary	secretari	Secretary
of	of	of
State	state	State
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
Sources	sourc	Sources
indicated	indic	indicated
that	that	that
the	the	the
extensive	extens	extensive
Deptartment	deptart	Deptartment
of	of	of
Justice	justic	Justice
probe	probe	probe
was	was	wa
more	more	more
focused	focus	focused
on	on	on
the	the	the
possibility	possibl	possibility
that	that	that
the	the	the
private	privat	private
server	server	server
was	was	wa
used	use	used
to	to	to
protect	protect	protect
messaging	messag	messaging
in	in	in
which	which	which
Secretary	secretari	Secretary
Clinton	clinton	Clinton
allegedly	alleg	allegedly
discussed	discuss	discussed
quid	quid	quid
pro	pro	pro
quo	quo	quo
transactions	transact	transaction
with	with	with
private	privat	private
donors	donor	donor
to	to	to
the	the	the
Clinton	clinton	Clinton
Foundation	foundat	Foundation
in	in	in
exchange	exchang	exchange
for	for	for
influence	influenc	influence
on	on	on
U	u	U
.	.	.
S	s	S
.	.	.
policy	polici	policy
.	.	.
The	the	The
Russian	russian	Russian
possession	possess	possession
of	of	of
the	the	the
intercepts	intercept	intercept
,	,	,
however	howev	however
,	,	,
was	was	wa
designed	design	designed
also	also	also
to	to	to
show	show	show
that	that	that
,	,	,
apart	apart	apart
from	from	from
violating	violat	violating
U	u	U
.	.	.
S	s	S
.	.	.
law	law	law
in	in	in
the	the	the
fundamental	fundament	fundamental
handling	handl	handling
of	of	of
classified	classifi	classified
documents	document	document
which	which	which
Sec	sec	Sec
.	.	.
Clinton	clinton	Clinton
had	had	had
alleged	alleg	alleged
was	was	wa
no	no	no
worse	wors	worse
than	than	than
the	the	the
mishandling	mishandl	mishandling
of	of	of
a	a	a
few	few	few
documents	document	document
by	by	by
CIA	cia	CIA
Director	director	Director
David	david	David
Petraeus	petraeus	Petraeus
or	or	or
Clinton	clinton	Clinton
s	s	s
National	nation	National
Security	secur	Security
Advisor	advisor	Advisor
Sandy	sandi	Sandy
Berger	berger	Berger
,	,	,
the	the	the
traffic	traffic	traffic
included	includ	included
highly	high	highly
-classified	-classifi	-classified
materials	materi	material
which	which	which
had	had	had
their	their	their
classification	classif	classification
headers	header	header
stripped	strip	stripped
.	.	.
Russian	russian	Russian
and	and	and
other	other	other
sources	sourc	source
had	had	had
indicated	indic	indicated
frustration	frustrat	frustration
with	with	with
the	the	the
pace	pace	pace
of	of	of
the	the	the
Justice	justic	Justice
Dept	dept	Dept
.	.	.
probe	probe	probe
,	,	,
and	and	and
its	it	it
avoidance	avoid	avoidance
of	of	of
the	the	the
national	nation	national
security	secur	security
aspects	aspect	aspect
of	of	of
intelligence	intellig	intelligence
handling	handl	handling
.	.	.
This	this	This
meant	meant	meant
that	that	that
the	the	the
topic	topic	topic
would	would	would
be	be	be
suppressed	suppress	suppressed
by	by	by
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Barack	barack	Barack
Obama	obama	Obama
Administration	administr	Administration
so	so	so
that	that	that
it	it	it
would	would	would
not	not	not
be	be	be
a	a	a
factor	factor	factor
in	in	in
the	the	the
current	current	current
U	u	U
.	.	.
S	s	S
.	.	.
Presidential	presidenti	Presidential
election	elect	election
campaign	campaign	campaign
,	,	,
in	in	in
which	which	which
President	presid	President
Obama	obama	Obama
had	had	had
endorsed	endors	endorsed
Mrs	mrs	Mrs
Clinton	clinton	Clinton
.	.	.
via	via	via
Oilprice	oilpric	Oilprice
.	.	.
com	com	com
