Though	though	Though
they	they	they
are	are	are
officially	offici	officially
non	non	non
-profit	-profit	-profit
organizations	organ	organization
,	,	,
Catholic	cathol	Catholic
Charities	chariti	Charities
,	,	,
Lutheran	lutheran	Lutheran
Social	social	Social
Services	servic	Services
,	,	,
and	and	and
several	sever	several
other	other	other
Christian	christian	Christian
organizations	organ	organization
are	are	are
profiting	profit	profiting
from	from	from
lucrative	lucrat	lucrative
contracts	contract	contract
with	with	with
the	the	the
federal	feder	federal
government	govern	government
to	to	to
resettle	resettl	resettle
refugees	refuge	refugee
in	in	in
the	the	the
United	unit	United
States	state	States
.	.	.
Of	of	Of
the	the	the
100	100	100
,	,	,
000	000	000
refugees	refuge	refugee
resettled	resettl	resettled
in	in	in
the	the	the
United	unit	United
States	state	States
in	in	in
2014	2014	2014
under	under	under
the	the	the
Refugee	refuge	Refugee
Resettlement	resettl	Resettlement
program	program	program
,	,	,
an	an	an
estimated	estim	estimated
40	40	40
percent	percent	percent
were	were	were
Muslims	muslim	Muslims
.	.	.
BreitbartAs	breitbarta	BreitbartAs
of	of	of
August	august	August
29	29	29
,	,	,
2016	2016	2016
,	,	,
224	224	224
new	new	new
Syrian	syrian	Syrian
refugee	refuge	refugee
arrivals	arriv	arrival
have	have	have
been	been	been
reported	report	reported
.	.	.
That	that	That
lifts	lift	lift
the	the	the
total	total	total
this	this	this
fiscal	fiscal	fiscal
year	year	year
to	to	to
10	10	10
,	,	,
126	126	126
,	,	,
of	of	of
whom	whom	whom
52	52	52
or	or	or
0	0	0
.	.	.
51	51	51
percent	percent	percent
are	are	are
Christians	christian	Christians
;	;	;
and	and	and
9	9	9
,	,	,
945	945	945
or	or	or
98	98	98
.	.	.
2	2	2
percent	percent	percent
,	,	,
are	are	are
Sunni	sunni	Sunni
Muslims	muslim	Muslims
.	.	.
The	the	The
Obama	obama	Obama
administration	administr	administration
s	s	s
goal	goal	goal
was	was	wa
to	to	to
admit	admit	admit
10	10	10
,	,	,
000	000	000
Syrian	syrian	Syrian
refugees	refuge	refugee
in	in	in
the	the	the
fiscal	fiscal	fiscal
year	year	year
.	.	.
The	the	The
number	number	number
of	of	of
Christians	christian	Christians
among	among	among
the	the	the
10	10	10
,	,	,
000	000	000
was	was	wa
less	less	le
than	than	than
half	half	half
of	of	of
one	one	one
percent	percent	percent
.	.	.
Of	of	Of
the	the	the
9	9	9
,	,	,
902	902	902
before	befor	before
Monday	monday	Monday
s	s	s
arrivals	arriv	arrival
,	,	,
just	just	just
47	47	47
0	0	0
.	.	.
47	47	47
percent	percent	percent
are	are	are
Christians	christian	Christians
,	,	,
according	accord	according
to	to	to
State	state	State
Department	depart	Department
Refugee	refuge	Refugee
Processing	process	Processing
Center	center	Center
data	data	data
.	.	.
The	the	The
vast	vast	vast
majority	major	majority
of	of	of
the	the	the
Syrian	syrian	Syrian
refugees	refuge	refugee
permitted	permit	permitted
to	to	to
resettle	resettl	resettle
in	in	in
the	the	the
United	unit	United
States	state	States
are	are	are
Sunni	sunni	Sunni
Muslims	muslim	Muslims
9	9	9
,	,	,
726	726	726
of	of	of
the	the	the
9	9	9
,	,	,
902	902	902
,	,	,
or	or	or
98	98	98
.	.	.
2	2	2
percent	percent	percent
.	.	.
Another	anoth	Another
20	20	20
are	are	are
Shi	shi	Shi
a	a	a
Muslims	muslim	Muslims
,	,	,
and	and	and
a	a	a
further	further	further
85	85	85
are	are	are
identified	identifi	identified
in	in	in
the	the	the
data	data	data
simply	simpli	simply
as	as	a
Muslims	muslim	Muslims
.	.	.
CNS	cns	CNS
NewsIn	newsin	NewsIn
an	an	an
exclusive	exclus	exclusive
interview	interview	interview
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
was	was	wa
asked	ask	asked
by	by	by
David	david	David
Brody	brodi	Brody
of	of	of
Christian	christian	Christian
Broadcasting	broadcast	Broadcasting
News	news	News
if	if	if
he	he	he
considers	consid	considers
it	it	it
a	a	a
priority	prioriti	priority
to	to	to
bring	bring	bring
persecuted	persecut	persecuted
Christians	christian	Christians
over	over	over
to	to	to
the	the	the
US	us	US
from	from	from
Syria	syria	Syria
.	.	.
Trump	trump	Trump
responded	respond	responded
,	,	,
You	you	You
know	know	know
,	,	,
if	if	if
you	you	you
were	were	were
a	a	a
Christian	christian	Christian
in	in	in
Syria	syria	Syria
it	it	it
was	was	wa
impossible	imposs	impossible
,	,	,
at	at	at
least	least	least
very	veri	very
,	,	,
very	veri	very
tough	tough	tough
to	to	to
get	get	get
in	in	in
to	to	to
.	.	.
If	if	If
you	you	you
were	were	were
a	a	a
Muslim	muslim	Muslim
