Mikhail	mikhail	Mikhail
Baryshnikov	baryshnikov	Baryshnikov
is	is	is
one	one	one
of	of	of
the	the	the
greatest	greatest	greatest
ballet	ballet	ballet
dancers	dancer	dancer
of	of	of
all	all	all
time	time	time
.	.	.
Hailing	hail	Hailing
from	from	from
the	the	the
Soviet	soviet	Soviet
Union	union	Union
,	,	,
he	he	he
was	was	wa
born	born	born
during	dure	during
the	the	the
Cold	cold	Cold
War	war	War
and	and	and
knows	know	know
exactly	exact	exactly
what	what	what
Soviet	soviet	Soviet
Russia	russia	Russia
was	was	wa
like	like	like
and	and	and
continues	continu	continues
to	to	to
be	be	be
like	like	like
today	today	today
under	under	under
Vladamir	vladamir	Vladamir
Putin	putin	Putin
.	.	.
Baryshnikov	baryshnikov	Baryshnikov
was	was	wa
already	alreadi	already
a	a	a
world	world	world
-reknowned	-reknown	-reknowned
ballet	ballet	ballet
dancer	dancer	dancer
when	when	when
he	he	he
chose	chose	chose
to	to	to
escape	escap	escape
the	the	the
communist	communist	communist
hellscape	hellscap	hellscape
to	to	to
live	live	live
in	in	in
America	america	America
,	,	,
where	where	where
he	he	he
continues	continu	continues
to	to	to
proudly	proud	proudly
live	live	live
today	today	today
.	.	.
He	he	He
has	has	ha
never	never	never
endorsed	endors	endorsed
a	a	a
political	polit	political
candidate	candid	candidate
beyond	beyond	beyond
doing	do	doing
his	his	his
civic	civic	civic
duty	duti	duty
by	by	by
exercising	exercis	exercising
his	his	his
right	right	right
to	to	to
vote	vote	vote
,	,	,
but	but	but
this	this	this
election	elect	election
is	is	is
different	differ	different
.	.	.
In	in	In
Donald	donald	Donald
Trump	trump	Trump
,	,	,
Baryshnikov	baryshnikov	Baryshnikov
sees	see	see
a	a	a
man	man	man
who	who	who
is	is	is
too	too	too
close	close	close
to	to	to
Russia	russia	Russia
and	and	and
Putin	putin	Putin
.	.	.
He	he	He
sees	see	see
a	a	a
man	man	man
who	who	who
would	would	would
make	make	make
America	america	America
closely	close	closely
resemble	resembl	resemble
the	the	the
old	old	old
Soviet	soviet	Soviet
Union	union	Union
where	where	where
freedom	freedom	freedom
of	of	of
speech	speech	speech
is	is	is
stymied	stymi	stymied
and	and	and
tyranny	tyranni	tyranny
rules	rule	rule
.	.	.
He	he	He
sees	see	see
a	a	a
man	man	man
who	who	who
would	would	would
close	close	close
America	america	America
off	off	off
to	to	to
the	the	the
rest	rest	rest
of	of	of
the	the	the
world	world	world
and	and	and
a	a	a
man	man	man
who	who	who
would	would	would
stamp	stamp	stamp
out	out	out
any	ani	any
opposition	opposit	opposition
against	against	against
him	him	him
under	under	under
his	his	his
boot	boot	boot
heel	heel	heel
.	.	.
And	and	And
that	that	that
s	s	s
why	whi	why
Baryshnikov	baryshnikov	Baryshnikov
has	has	ha
chosen	chosen	chosen
to	to	to
endorse	endors	endorse
Hillary	hillari	Hillary
Clinton	clinton	Clinton
for	for	for
president	presid	president
in	in	in
a	a	a
video	video	video
he	he	he
released	releas	released
on	on	on
Wednesday	wednesday	Wednesday
along	along	along
with	with	with
a	a	a
written	written	written
statement	statement	statement
.	.	.
While	while	While
watching	watch	watching
the	the	the
presidential	presidenti	presidential
election	elect	election
unfold	unfold	unfold
,	,	,
and	and	and
hearing	hear	hearing
Donald	donald	Donald
Trump	trump	Trump
s	s	s
flirtations	flirtat	flirtation
with	with	with
the	the	the
Kremlin	kremlin	Kremlin
,	,	,
I	i	I
feel	feel	feel
compelled	compel	compelled
to	to	to
add	add	add
my	my	my
voice	voic	voice
to	to	to
the	the	the
mix	mix	mix
specifically	specif	specifically
regarding	regard	regarding
immigration	immigr	immigration
something	someth	something
I	i	I
am	am	am
obviously	obvious	obviously
familiar	familiar	familiar
with	with	with
.	.	.
I	i	I
have	have	have
never	never	never
publicly	public	publicly
endorsed	endors	endorsed
a	a	a
political	polit	political
candidate	candid	candidate
before	befor	before
,	,	,
or	or	or
inserted	insert	inserted
myself	myself	myself
into	into	into
politics	polit	politics
in	in	in
any	ani	any
way	way	way
other	other	other
than	than	than
by	by	by
voting	vote	voting
,	,	,
but	but	but
this	this	this
video	video	video
is	is	is
a	a	a
direct	direct	direct
call	call	call
to	to	to
action	action	action
We	we	We
must	must	must
elect	elect	elect
Hillary	hillari	Hillary
Clinton	clinton	Clinton
as	as	a
president	presid	president
in	in	in
November	novemb	November
.	.	.
Forty	forti	Forty
two	two	two
years	year	year
ago	ago	ago
I	i	I
left	left	left
a	a	a
country	countri	country
that	that	that
built	built	built
walls	wall	wall
to	to	to
come	come	come
to	to	to
a	a	a
place	place	place
without	without	without
them	them	them
,	,	,
Baryshnikov	baryshnikov	Baryshnikov
said	said	said
in	in	in
the	the	the
video	video	video
.	.	.
But	but	But
today	today	today
,	,	,
as	as	a
a	a	a
citizen	citizen	citizen
of	of	of
the	the	the
United	unit	United
States	state	States
,	,	,
for	for	for
the	the	the
first	first	first
time	time	time
,	,	,
I	i	I
m	m	m
hearing	hear	hearing
rhetoric	rhetor	rhetoric
that	that	that
reminds	remind	reminds
me	me	me
of	of	of
the	the	the
Soviet	soviet	Soviet
Union	union	Union
of	of	of
my	my	my
youth	youth	youth
,	,	,
where	where	where
it	it	it
was	was	wa
a	a	a
crime	crime	crime
,	,	,
and	and	and
continues	continu	continues
to	to	to
be	be	be
,	,	,
a	a	a
crime	crime	crime
to	to	to
be	be	be
different	differ	different
.	.	.
Baryshnikov	baryshnikov	Baryshnikov
referred	refer	referred
to	to	to
Trump	trump	Trump
as	as	a
a	a	a
dangerous	danger	dangerous
totalitarian	totalitarian	totalitarian
opportunist	opportunist	opportunist
and	and	and
went	went	went
on	on	on
to	to	to
voice	voic	voice
his	his	his
support	support	support
for	for	for
the	the	the
Democratic	democrat	Democratic
nominee	nomine	nominee
who	who	who
opposes	oppos	opposes
him	him	him
.	.	.
The	the	The
America	america	America
I	i	I
love	love	love
welcomes	welcom	welcome
people	peopl	people
of	of	of
all	all	all
nations	nation	nation
,	,	,
all	all	all
religions	religion	religion
,	,	,
and	and	and
supports	support	support
all	all	all
forms	form	form
of	of	of
human	human	human
expression	express	expression
.	.	.
America	america	America
welcomed	welcom	welcomed
me	me	me
,	,	,
an	an	an
immigrant	immigr	immigrant
,	,	,
and	and	and
that	that	that
welcome	welcom	welcome
has	has	ha
made	made	made
my	my	my
life	life	life
possible	possibl	possible
.	.	.
I	i	I
trust	trust	trust
her	her	her
to	to	to
lead	lead	lead
us	us	u
in	in	in
the	the	the
right	right	right
direction	direct	direction
,	,	,
to	to	to
protect	protect	protect
the	the	the
rights	right	right
of	of	of
all	all	all
citizens	citizen	citizen
,	,	,
and	and	and
to	to	to
provide	provid	provide
sane	sane	sane
,	,	,
steady	steadi	steady
leadership	leadership	leadership
in	in	in
a	a	a
complex	complex	complex
world	world	world
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
.	.	.
Donald	donald	Donald
Trump	trump	Trump
is	is	is
a	a	a
wannabe	wannab	wannabe
dictator	dictat	dictator
who	who	who
hates	hate	hate
facts	fact	fact
and	and	and
thinks	think	think
he	he	he
can	can	can
do	do	do
whatever	whatev	whatever
he	he	he
wants	want	want
and	and	and
say	say	say
whatever	whatev	whatever
he	he	he
wants	want	want
.	.	.
He	he	He
wants	want	want
to	to	to
oppress	oppress	oppress
people	peopl	people
based	base	based
on	on	on
their	their	their
race	race	race
and	and	and
their	their	their
religion	religion	religion
and	and	and
their	their	their
sexual	sexual	sexual
orientation	orient	orientation
.	.	.
He	he	He
treats	treat	treat
women	women	woman
like	like	like
objects	object	object
and	and	and
uses	use	us
fear	fear	fear
and	and	and
hate	hate	hate
to	to	to
advance	advanc	advance
his	his	his
agenda	agenda	agenda
.	.	.
This	this	This
sounds	sound	sound
frighteningly	frighten	frighteningly
a	a	a
lot	lot	lot
like	like	like
something	someth	something
you	you	you
would	would	would
find	find	find
in	in	in
the	the	the
Soviet	soviet	Soviet
Union	union	Union
.	.	.
But	but	But
while	while	while
Trump	trump	Trump
fits	fit	fit
in	in	in
with	with	with
Russia	russia	Russia
,	,	,
his	his	his
political	polit	political
agenda	agenda	agenda
runs	run	run
counter	counter	counter
to	to	to
American	american	American
values	valu	value
.	.	.
If	if	If
elected	elect	elected
president	presid	president
,	,	,
Trump	trump	Trump
would	would	would
destroy	destroy	destroy
those	those	those
values	valu	value
and	and	and
he	he	he
would	would	would
be	be	be
Putin	putin	Putin
s	s	s
puppet	puppet	puppet
.	.	.
And	and	And
then	then	then
conservative	conserv	conservative
fears	fear	fear
of	of	of
FEMA	fema	FEMA
camps	camp	camp
would	would	would
come	come	come
true	true	true
.	.	.
Except	except	Except
that	that	that
in	in	in
Russia	russia	Russia
they	they	they
call	call	call
them	them	them
gulags	gulag	gulag
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture
